종목명,등급,매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채
가상기업_CC+_61,CC+,10294,-596,-800,18579,13620,4959,516,-195,5967
가상기업_CC+_943,CC+,18137,-559,-482,24093,21279,2814,793,-199,14687
가상기업_CC+_488,CC+,22514,-536,-608,18630,14395,4235,659,-107,5293
가상기업_CC+_973,CC+,19635,-412,-763,24349,21615,2734,988,-7,8218
가상기업_CC+_762,CC+,19196,-925,-268,16090,13120,2970,862,-160,8427
가상기업_CC_446,CC,19641,-459,-415,9992,9481,511,560,-228,6540
가상기업_CC_124,CC,13815,-209,-131,11288,9506,1782,319,-110,3209
가상기업_CC_140,CC,12079,-786,-706,28713,24384,4329,336,-14,11597
가상기업_CC_480,CC,24162,-658,-189,26255,24309,1946,821,-194,13446
가상기업_CC_566,CC,17521,-647,-562,16321,13916,2405,418,-114,8362
가상기업_CC-_681,CC-,16594,-812,-165,26425,23844,2581,973,-68,16154
가상기업_CC-_768,CC-,11288,-499,-182,28034,25788,2246,391,-77,17624
가상기업_CC-_894,CC-,7967,-543,-532,29128,23104,6024,787,-143,8957
가상기업_CC-_712,CC-,11453,-883,-510,11016,10392,624,380,-203,3820
가상기업_CC-_873,CC-,20964,-490,-211,23422,20766,2656,675,-39,13106
가상기업_C+_475,C+,23409,-669,-165,23099,18911,4188,772,-218,11726
가상기업_C+_555,C+,22811,-572,-730,23317,22088,1229,207,-40,9176
가상기업_C+_189,C+,8721,-506,-224,9486,7049,2437,527,-132,4542
가상기업_C+_479,C+,15682,-249,-190,19060,15492,3568,551,-225,8251
가상기업_C+_26,C+,24109,-846,-414,13042,9476,3566,755,-235,3332
가상기업_C_497,C,7995,-400,-608,25344,19219,6125,537,-194,13028
가상기업_C_566,C,22543,-841,-588,12176,9432,2744,824,-25,6315
가상기업_C_679,C,15003,-745,-115,13677,10934,2743,208,-29,7428
가상기업_C_474,C,15535,-357,-785,11539,9663,1876,780,-124,5896
가상기업_C_797,C,19826,-860,-211,28731,27229,1502,995,-281,9447
가상기업_C-_887,C-,21932,-517,-379,13539,10660,2879,342,-240,4331
가상기업_C-_202,C-,12887,-965,-588,21688,17447,4241,337,-246,7420
가상기업_C-_20,C-,23782,-837,-668,29928,22672,7256,231,-3,12584
가상기업_C-_74,C-,21644,-436,-224,18214,15452,2762,329,-18,6306
가상기업_C-_657,C-,14556,-237,-791,25291,19488,5803,571,-289,7344
가상기업_CCC+_5,CCC+,8032,-686,-546,14761,13659,1102,327,-16,4404
가상기업_CCC+_135,CCC+,14697,-320,-252,15174,13282,1892,471,-254,4876
가상기업_CCC+_623,CCC+,10617,-883,-687,13195,9844,3351,463,-173,3525
가상기업_CCC+_210,CCC+,21973,-436,-707,29070,26234,2836,980,-300,11317
가상기업_CCC+_344,CCC+,16984,-860,-419,25728,20384,5344,420,-173,8178
가상기업_CCC-_282,CCC-,9209,-716,-488,20289,17737,2552,390,-190,9462
가상기업_CCC-_136,CCC-,20310,-767,-274,19315,14348,4967,951,-130,6466
가상기업_CCC-_58,CCC-,6237,-568,-286,21858,19179,2679,600,-282,11181
가상기업_CCC-_334,CCC-,23907,-320,-584,18123,16034,2089,421,-43,11169
가상기업_CCC-_823,CCC-,20067,-358,-738,9671,7157,2514,350,-164,2830
가상기업_CC+_398,CC+,17842,-620,-131,25490,22262,3228,891,-7,9137
가상기업_CC+_700,CC+,12769,-336,-607,10676,9801,875,926,-135,6400
가상기업_CC+_113,CC+,8352,-479,-411,19942,17416,2526,247,-49,8534
가상기업_CC+_883,CC+,7011,-913,-163,23384,21487,1897,402,-40,9184
가상기업_CC+_817,CC+,10372,-800,-521,19233,16790,2443,492,-279,6681
가상기업_CC-_194,CC-,16923,-578,-612,26211,24563,1648,797,-158,9285
가상기업_CC-_686,CC-,24963,-870,-121,8406,6131,2275,709,-194,2517
가상기업_CC-_84,CC-,19090,-415,-653,22370,15890,6480,434,-7,7756
가상기업_CC-_443,CC-,18743,-983,-407,23275,21335,1940,385,-282,10776
가상기업_CC-_243,CC-,7194,-905,-249,9841,7076,2765,659,-221,4328
가상기업_C+_616,C+,24807,-840,-126,18095,14876,3219,506,-154,9028
가상기업_C+_834,C+,19269,-673,-529,20755,18908,1847,279,-278,8242
가상기업_C+_10,C+,10964,-894,-616,22578,18085,4493,292,-146,11960
가상기업_C+_777,C+,16928,-816,-647,14334,10494,3840,330,-83,4831
가상기업_C+_697,C+,6728,-958,-560,8717,7701,1016,379,-65,4761
가상기업_C-_985,C-,21517,-215,-673,8914,6777,2137,740,-41,4682
가상기업_C-_993,C-,22050,-566,-544,16946,15312,1634,456,-290,7053
가상기업_C-_608,C-,13548,-974,-662,11396,9400,1996,208,-113,5409
가상기업_C-_96,C-,13046,-437,-729,22123,20916,1207,379,-283,10071
가상기업_C-_677,C-,7925,-728,-725,10263,8160,2103,953,-274,3213
