quarter,dong_code,dong_name,store_total,store_normal,store_franchise,industry_code,industry_name
20193,11440700,망원2동,103.0,92.0,11.0,CS100001,한식
20192,11440700,망원2동,102.0,91.0,11.0,CS100001,한식
20191,11440700,망원2동,105.0,93.0,12.0,CS100001,한식
20193,11440710,연남동,135.0,133.0,2.0,CS100001,한식
20192,11440710,연남동,135.0,133.0,2.0,CS100001,한식
20191,11440710,연남동,131.0,129.0,2.0,CS100001,한식
20193,11440720,성산1동,88.0,80.0,8.0,CS100001,한식
20192,11440720,성산1동,88.0,80.0,8.0,CS100001,한식
20191,11440720,성산1동,90.0,82.0,8.0,CS100001,한식
20193,11440730,성산2동,105.0,92.0,13.0,CS100001,한식
20192,11440730,성산2동,106.0,93.0,13.0,CS100001,한식
20191,11440730,성산2동,108.0,95.0,13.0,CS100001,한식
20193,11440740,상암동,299.0,243.0,56.0,CS100001,한식
20192,11440740,상암동,302.0,245.0,57.0,CS100001,한식
20191,11440740,상암동,295.0,238.0,57.0,CS100001,한식
20193,11440555,아현동,4.0,4.0,0.0,CS100002,중식
20192,11440555,아현동,5.0,5.0,0.0,CS100002,중식
20191,11440555,아현동,6.0,6.0,0.0,CS100002,중식
20193,11440565,공덕동,17.0,17.0,0.0,CS100002,중식
20192,11440565,공덕동,19.0,19.0,0.0,CS100002,중식
20191,11440565,공덕동,18.0,18.0,0.0,CS100002,중식
20193,11440585,도화동,13.0,11.0,2.0,CS100002,중식
20192,11440585,도화동,14.0,12.0,2.0,CS100002,중식
20191,11440585,도화동,14.0,12.0,2.0,CS100002,중식
20193,11440590,용강동,13.0,12.0,1.0,CS100002,중식
20192,11440590,용강동,13.0,12.0,1.0,CS100002,중식
20191,11440590,용강동,13.0,12.0,1.0,CS100002,중식
20193,11440600,대흥동,13.0,13.0,0.0,CS100002,중식
20192,11440600,대흥동,13.0,13.0,0.0,CS100002,중식
20191,11440600,대흥동,13.0,13.0,0.0,CS100002,중식
20193,11440610,염리동,3.0,2.0,1.0,CS100002,중식
20192,11440610,염리동,3.0,2.0,1.0,CS100002,중식
20191,11440610,염리동,4.0,3.0,1.0,CS100002,중식
20193,11440630,신수동,9.0,9.0,0.0,CS100002,중식
20192,11440630,신수동,10.0,10.0,0.0,CS100002,중식
20191,11440630,신수동,9.0,9.0,0.0,CS100002,중식
20193,11440655,서강동,19.0,18.0,1.0,CS100002,중식
20192,11440655,서강동,21.0,20.0,1.0,CS100002,중식
20191,11440655,서강동,21.0,20.0,1.0,CS100002,중식
20193,11440660,서교동,92.0,76.0,16.0,CS100002,중식
20192,11440660,서교동,96.0,81.0,15.0,CS100002,중식
20191,11440660,서교동,103.0,88.0,15.0,CS100002,중식
20193,11440680,합정동,17.0,14.0,3.0,CS100002,중식
20192,11440680,합정동,19.0,16.0,3.0,CS100002,중식
20191,11440680,합정동,19.0,16.0,3.0,CS100002,중식
20193,11440690,망원1동,12.0,11.0,1.0,CS100002,중식
20192,11440690,망원1동,13.0,12.0,1.0,CS100002,중식
20191,11440690,망원1동,12.0,11.0,1.0,CS100002,중식
20193,11440700,망원2동,14.0,14.0,0.0,CS100002,중식
20192,11440700,망원2동,14.0,14.0,0.0,CS100002,중식
20191,11440700,망원2동,16.0,16.0,0.0,CS100002,중식
20193,11440710,연남동,33.0,33.0,0.0,CS100002,중식
20192,11440710,연남동,34.0,34.0,0.0,CS100002,중식
20191,11440710,연남동,36.0,36.0,0.0,CS100002,중식
20193,11440720,성산1동,7.0,7.0,0.0,CS100002,중식
20192,11440720,성산1동,7.0,7.0,0.0,CS100002,중식
20191,11440720,성산1동,7.0,7.0,0.0,CS100002,중식
20193,11440730,성산2동,12.0,10.0,2.0,CS100002,중식
20192,11440730,성산2동,11.0,9.0,2.0,CS100002,중식
20191,11440730,성산2동,10.0,8.0,2.0,CS100002,중식
20193,11440740,상암동,29.0,24.0,5.0,CS100002,중식
20192,11440740,상암동,32.0,27.0,5.0,CS100002,중식
20191,11440740,상암동,36.0,29.0,7.0,CS100002,중식
20193,11440555,아현동,14.0,9.0,5.0,CS100003,일식
20192,11440555,아현동,15.0,10.0,5.0,CS100003,일식
20191,11440555,아현동,15.0,10.0,5.0,CS100003,일식
20193,11440565,공덕동,22.0,17.0,5.0,CS100003,일식
20192,11440565,공덕동,20.0,15.0,5.0,CS100003,일식
20191,11440565,공덕동,20.0,15.0,5.0,CS100003,일식
20193,11440585,도화동,17.0,13.0,4.0,CS100003,일식
20192,11440585,도화동,16.0,13.0,3.0,CS100003,일식
20191,11440585,도화동,17.0,14.0,3.0,CS100003,일식
20193,11440590,용강동,29.0,26.0,3.0,CS100003,일식
20192,11440590,용강동,30.0,26.0,4.0,CS100003,일식
20191,11440590,용강동,30.0,26.0,4.0,CS100003,일식
20193,11440600,대흥동,9.0,8.0,1.0,CS100003,일식
20192,11440600,대흥동,8.0,7.0,1.0,CS100003,일식
20191,11440600,대흥동,7.0,6.0,1.0,CS100003,일식
20193,11440610,염리동,9.0,7.0,2.0,CS100003,일식
20192,11440610,염리동,9.0,7.0,2.0,CS100003,일식
20191,11440610,염리동,10.0,8.0,2.0,CS100003,일식
20193,11440630,신수동,3.0,3.0,0.0,CS100003,일식
20192,11440630,신수동,3.0,3.0,0.0,CS100003,일식
20191,11440630,신수동,3.0,3.0,0.0,CS100003,일식
20193,11440655,서강동,41.0,35.0,6.0,CS100003,일식
20192,11440655,서강동,39.0,34.0,5.0,CS100003,일식
20191,11440655,서강동,37.0,32.0,5.0,CS100003,일식
20193,11440660,서교동,203.0,166.0,37.0,CS100003,일식
20192,11440660,서교동,197.0,161.0,36.0,CS100003,일식
20191,11440660,서교동,197.0,159.0,38.0,CS100003,일식
20193,11440680,합정동,38.0,34.0,4.0,CS100003,일식
20192,11440680,합정동,42.0,37.0,5.0,CS100003,일식
20191,11440680,합정동,41.0,36.0,5.0,CS100003,일식
20193,11440690,망원1동,26.0,24.0,2.0,CS100003,일식
20192,11440690,망원1동,29.0,27.0,2.0,CS100003,일식
20191,11440690,망원1동,26.0,25.0,1.0,CS100003,일식
20193,11440700,망원2동,7.0,7.0,0.0,CS100003,일식
20192,11440700,망원2동,8.0,8.0,0.0,CS100003,일식
20191,11440700,망원2동,7.0,7.0,0.0,CS100003,일식
20193,11440710,연남동,57.0,51.0,6.0,CS100003,일식
20192,11440710,연남동,58.0,51.0,7.0,CS100003,일식
20191,11440710,연남동,57.0,50.0,7.0,CS100003,일식
20193,11440720,성산1동,10.0,8.0,2.0,CS100003,일식
20192,11440720,성산1동,11.0,9.0,2.0,CS100003,일식
20191,11440720,성산1동,12.0,10.0,2.0,CS100003,일식
20193,11440730,성산2동,11.0,9.0,2.0,CS100003,일식
20192,11440730,성산2동,13.0,10.0,3.0,CS100003,일식
20191,11440730,성산2동,12.0,10.0,2.0,CS100003,일식
20193,11440740,상암동,63.0,56.0,7.0,CS100003,일식
20192,11440740,상암동,59.0,52.0,7.0,CS100003,일식
20191,11440740,상암동,59.0,51.0,8.0,CS100003,일식
20193,11440555,아현동,6.0,6.0,0.0,CS100004,양식
20192,11440555,아현동,6.0,6.0,0.0,CS100004,양식
20191,11440555,아현동,6.0,6.0,0.0,CS100004,양식
20193,11440565,공덕동,13.0,10.0,3.0,CS100004,양식
20192,11440565,공덕동,12.0,9.0,3.0,CS100004,양식
20191,11440565,공덕동,13.0,10.0,3.0,CS100004,양식
20193,11440585,도화동,17.0,15.0,2.0,CS100004,양식
20192,11440585,도화동,16.0,14.0,2.0,CS100004,양식
20191,11440585,도화동,17.0,15.0,2.0,CS100004,양식
20193,11440590,용강동,12.0,10.0,2.0,CS100004,양식
20192,11440590,용강동,12.0,10.0,2.0,CS100004,양식
20191,11440590,용강동,12.0,10.0,2.0,CS100004,양식
20193,11440600,대흥동,15.0,14.0,1.0,CS100004,양식
20192,11440600,대흥동,16.0,14.0,2.0,CS100004,양식
20191,11440600,대흥동,16.0,14.0,2.0,CS100004,양식
20193,11440610,염리동,10.0,9.0,1.0,CS100004,양식
20192,11440610,염리동,11.0,10.0,1.0,CS100004,양식
20191,11440610,염리동,11.0,10.0,1.0,CS100004,양식
20193,11440630,신수동,7.0,7.0,0.0,CS100004,양식
20192,11440630,신수동,8.0,8.0,0.0,CS100004,양식
20191,11440630,신수동,10.0,10.0,0.0,CS100004,양식
20193,11440655,서강동,57.0,57.0,0.0,CS100004,양식
20192,11440655,서강동,61.0,61.0,0.0,CS100004,양식
20191,11440655,서강동,59.0,59.0,0.0,CS100004,양식
20193,11440660,서교동,278.0,249.0,29.0,CS100004,양식
20192,11440660,서교동,293.0,263.0,30.0,CS100004,양식
20191,11440660,서교동,293.0,263.0,30.0,CS100004,양식
20193,11440680,합정동,59.0,52.0,7.0,CS100004,양식
20192,11440680,합정동,59.0,52.0,7.0,CS100004,양식
20191,11440680,합정동,56.0,49.0,7.0,CS100004,양식
20193,11440690,망원1동,41.0,40.0,1.0,CS100004,양식
20192,11440690,망원1동,42.0,41.0,1.0,CS100004,양식
20191,11440690,망원1동,44.0,43.0,1.0,CS100004,양식
20193,11440700,망원2동,6.0,6.0,0.0,CS100004,양식
20192,11440700,망원2동,5.0,5.0,0.0,CS100004,양식
20191,11440700,망원2동,4.0,4.0,0.0,CS100004,양식
20193,11440710,연남동,110.0,101.0,9.0,CS100004,양식
20192,11440710,연남동,112.0,103.0,9.0,CS100004,양식
20191,11440710,연남동,114.0,105.0,9.0,CS100004,양식
20193,11440720,성산1동,12.0,12.0,0.0,CS100004,양식
20192,11440720,성산1동,14.0,14.0,0.0,CS100004,양식
20191,11440720,성산1동,14.0,14.0,0.0,CS100004,양식
20193,11440730,성산2동,6.0,4.0,2.0,CS100004,양식
20192,11440730,성산2동,6.0,4.0,2.0,CS100004,양식
20191,11440730,성산2동,6.0,4.0,2.0,CS100004,양식
20193,11440740,상암동,41.0,34.0,7.0,CS100004,양식
20192,11440740,상암동,40.0,34.0,6.0,CS100004,양식
20191,11440740,상암동,39.0,33.0,6.0,CS100004,양식
20193,11440555,아현동,14.0,8.0,6.0,CS100005,제과
20192,11440555,아현동,14.0,8.0,6.0,CS100005,제과
20191,11440555,아현동,14.0,8.0,6.0,CS100005,제과
20193,11440565,공덕동,16.0,11.0,5.0,CS100005,제과
20192,11440565,공덕동,16.0,11.0,5.0,CS100005,제과
20191,11440565,공덕동,16.0,11.0,5.0,CS100005,제과
20193,11440585,도화동,16.0,9.0,7.0,CS100005,제과
20192,11440585,도화동,17.0,10.0,7.0,CS100005,제과
20191,11440585,도화동,17.0,10.0,7.0,CS100005,제과
20193,11440590,용강동,14.0,7.0,7.0,CS100005,제과
20192,11440590,용강동,14.0,7.0,7.0,CS100005,제과
20191,11440590,용강동,14.0,7.0,7.0,CS100005,제과
20193,11440600,대흥동,15.0,11.0,4.0,CS100005,제과
20192,11440600,대흥동,15.0,11.0,4.0,CS100005,제과
20191,11440600,대흥동,17.0,13.0,4.0,CS100005,제과
20193,11440610,염리동,13.0,12.0,1.0,CS100005,제과
20192,11440610,염리동,14.0,13.0,1.0,CS100005,제과
20191,11440610,염리동,14.0,13.0,1.0,CS100005,제과
20193,11440630,신수동,11.0,8.0,3.0,CS100005,제과
20192,11440630,신수동,12.0,9.0,3.0,CS100005,제과
20191,11440630,신수동,11.0,8.0,3.0,CS100005,제과
20193,11440655,서강동,30.0,25.0,5.0,CS100005,제과
20192,11440655,서강동,30.0,25.0,5.0,CS100005,제과
20191,11440655,서강동,27.0,22.0,5.0,CS100005,제과
20193,11440660,서교동,116.0,84.0,32.0,CS100005,제과
20192,11440660,서교동,114.0,84.0,30.0,CS100005,제과
20191,11440660,서교동,113.0,84.0,29.0,CS100005,제과
20193,11440680,합정동,23.0,18.0,5.0,CS100005,제과
20192,11440680,합정동,23.0,18.0,5.0,CS100005,제과
20191,11440680,합정동,23.0,18.0,5.0,CS100005,제과
20193,11440690,망원1동,25.0,23.0,2.0,CS100005,제과
20192,11440690,망원1동,25.0,23.0,2.0,CS100005,제과
20191,11440690,망원1동,25.0,23.0,2.0,CS100005,제과
20193,11440700,망원2동,18.0,15.0,3.0,CS100005,제과
20192,11440700,망원2동,20.0,17.0,3.0,CS100005,제과
20191,11440700,망원2동,19.0,16.0,3.0,CS100005,제과
20193,11440710,연남동,45.0,41.0,4.0,CS100005,제과
20192,11440710,연남동,48.0,43.0,5.0,CS100005,제과
20191,11440710,연남동,47.0,43.0,4.0,CS100005,제과
20193,11440720,성산1동,13.0,10.0,3.0,CS100005,제과
20192,11440720,성산1동,13.0,10.0,3.0,CS100005,제과
20191,11440720,성산1동,14.0,11.0,3.0,CS100005,제과
20193,11440730,성산2동,16.0,10.0,6.0,CS100005,제과
20192,11440730,성산2동,17.0,11.0,6.0,CS100005,제과
20191,11440730,성산2동,17.0,12.0,5.0,CS100005,제과
20193,11440740,상암동,27.0,17.0,10.0,CS100005,제과
20192,11440740,상암동,30.0,20.0,10.0,CS100005,제과
20191,11440740,상암동,28.0,18.0,10.0,CS100005,제과
20193,11440555,아현동,5.0,2.0,3.0,CS100006,패스트푸드
20192,11440555,아현동,7.0,3.0,4.0,CS100006,패스트푸드
20191,11440555,아현동,7.0,3.0,4.0,CS100006,패스트푸드
20193,11440565,공덕동,13.0,5.0,8.0,CS100006,패스트푸드
20192,11440565,공덕동,12.0,5.0,7.0,CS100006,패스트푸드
20191,11440565,공덕동,12.0,5.0,7.0,CS100006,패스트푸드
20193,11440585,도화동,12.0,5.0,7.0,CS100006,패스트푸드
20192,11440585,도화동,13.0,6.0,7.0,CS100006,패스트푸드
20191,11440585,도화동,13.0,6.0,7.0,CS100006,패스트푸드
20193,11440590,용강동,8.0,1.0,7.0,CS100006,패스트푸드
20192,11440590,용강동,8.0,1.0,7.0,CS100006,패스트푸드
20191,11440590,용강동,9.0,1.0,8.0,CS100006,패스트푸드
20193,11440600,대흥동,21.0,11.0,10.0,CS100006,패스트푸드
20192,11440600,대흥동,19.0,9.0,10.0,CS100006,패스트푸드
20191,11440600,대흥동,20.0,9.0,11.0,CS100006,패스트푸드
20193,11440610,염리동,10.0,4.0,6.0,CS100006,패스트푸드
20192,11440610,염리동,9.0,4.0,5.0,CS100006,패스트푸드
20191,11440610,염리동,10.0,5.0,5.0,CS100006,패스트푸드
20193,11440630,신수동,8.0,2.0,6.0,CS100006,패스트푸드
20192,11440630,신수동,8.0,2.0,6.0,CS100006,패스트푸드
20191,11440630,신수동,8.0,2.0,6.0,CS100006,패스트푸드
20193,11440655,서강동,17.0,13.0,4.0,CS100006,패스트푸드
20192,11440655,서강동,18.0,14.0,4.0,CS100006,패스트푸드
20191,11440655,서강동,18.0,14.0,4.0,CS100006,패스트푸드
20193,11440660,서교동,99.0,67.0,32.0,CS100006,패스트푸드
20192,11440660,서교동,102.0,69.0,33.0,CS100006,패스트푸드
20191,11440660,서교동,104.0,69.0,35.0,CS100006,패스트푸드
20193,11440680,합정동,19.0,14.0,5.0,CS100006,패스트푸드
20192,11440680,합정동,20.0,14.0,6.0,CS100006,패스트푸드
20191,11440680,합정동,20.0,14.0,6.0,CS100006,패스트푸드
20193,11440690,망원1동,17.0,8.0,9.0,CS100006,패스트푸드
20192,11440690,망원1동,17.0,8.0,9.0,CS100006,패스트푸드
20191,11440690,망원1동,17.0,8.0,9.0,CS100006,패스트푸드
20193,11440700,망원2동,11.0,7.0,4.0,CS100006,패스트푸드
20192,11440700,망원2동,11.0,7.0,4.0,CS100006,패스트푸드
20191,11440700,망원2동,10.0,6.0,4.0,CS100006,패스트푸드
20193,11440710,연남동,25.0,20.0,5.0,CS100006,패스트푸드
20192,11440710,연남동,23.0,19.0,4.0,CS100006,패스트푸드
20191,11440710,연남동,25.0,21.0,4.0,CS100006,패스트푸드
20193,11440720,성산1동,14.0,8.0,6.0,CS100006,패스트푸드
20192,11440720,성산1동,13.0,7.0,6.0,CS100006,패스트푸드
20191,11440720,성산1동,13.0,6.0,7.0,CS100006,패스트푸드
20193,11440730,성산2동,9.0,4.0,5.0,CS100006,패스트푸드
20192,11440730,성산2동,9.0,4.0,5.0,CS100006,패스트푸드
20191,11440730,성산2동,10.0,5.0,5.0,CS100006,패스트푸드
20193,11440740,상암동,26.0,11.0,15.0,CS100006,패스트푸드
20192,11440740,상암동,26.0,11.0,15.0,CS100006,패스트푸드
20191,11440740,상암동,30.0,12.0,18.0,CS100006,패스트푸드
20193,11440555,아현동,12.0,6.0,6.0,CS100007,치킨
20192,11440555,아현동,14.0,7.0,7.0,CS100007,치킨
20191,11440555,아현동,14.0,8.0,6.0,CS100007,치킨
20193,11440565,공덕동,27.0,9.0,18.0,CS100007,치킨
20192,11440565,공덕동,26.0,9.0,17.0,CS100007,치킨
20191,11440565,공덕동,25.0,8.0,17.0,CS100007,치킨
20193,11440585,도화동,23.0,9.0,14.0,CS100007,치킨
20192,11440585,도화동,20.0,8.0,12.0,CS100007,치킨
20191,11440585,도화동,19.0,7.0,12.0,CS100007,치킨
20193,11440590,용강동,12.0,5.0,7.0,CS100007,치킨
20192,11440590,용강동,12.0,5.0,7.0,CS100007,치킨
20191,11440590,용강동,12.0,5.0,7.0,CS100007,치킨
20193,11440600,대흥동,16.0,8.0,8.0,CS100007,치킨
20192,11440600,대흥동,14.0,7.0,7.0,CS100007,치킨
20191,11440600,대흥동,13.0,7.0,6.0,CS100007,치킨
20193,11440610,염리동,7.0,5.0,2.0,CS100007,치킨
20192,11440610,염리동,6.0,4.0,2.0,CS100007,치킨
20191,11440610,염리동,6.0,4.0,2.0,CS100007,치킨
20193,11440630,신수동,13.0,6.0,7.0,CS100007,치킨
20192,11440630,신수동,14.0,6.0,8.0,CS100007,치킨
20191,11440630,신수동,13.0,5.0,8.0,CS100007,치킨
20193,11440655,서강동,17.0,7.0,10.0,CS100007,치킨
20192,11440655,서강동,19.0,7.0,12.0,CS100007,치킨
20191,11440655,서강동,18.0,6.0,12.0,CS100007,치킨
20193,11440660,서교동,66.0,29.0,37.0,CS100007,치킨
20192,11440660,서교동,65.0,29.0,36.0,CS100007,치킨
20191,11440660,서교동,67.0,29.0,38.0,CS100007,치킨
20193,11440680,합정동,13.0,4.0,9.0,CS100007,치킨
20192,11440680,합정동,13.0,4.0,9.0,CS100007,치킨
20191,11440680,합정동,12.0,4.0,8.0,CS100007,치킨
20193,11440690,망원1동,20.0,8.0,12.0,CS100007,치킨
20192,11440690,망원1동,21.0,9.0,12.0,CS100007,치킨
20191,11440690,망원1동,21.0,10.0,11.0,CS100007,치킨
20193,11440700,망원2동,20.0,7.0,13.0,CS100007,치킨
20192,11440700,망원2동,20.0,7.0,13.0,CS100007,치킨
20191,11440700,망원2동,19.0,6.0,13.0,CS100007,치킨
20193,11440710,연남동,10.0,4.0,6.0,CS100007,치킨
20192,11440710,연남동,9.0,3.0,6.0,CS100007,치킨
20191,11440710,연남동,9.0,3.0,6.0,CS100007,치킨
20193,11440720,성산1동,9.0,2.0,7.0,CS100007,치킨
20192,11440720,성산1동,9.0,2.0,7.0,CS100007,치킨
20191,11440720,성산1동,9.0,2.0,7.0,CS100007,치킨
20193,11440730,성산2동,16.0,4.0,12.0,CS100007,치킨
20192,11440730,성산2동,16.0,4.0,12.0,CS100007,치킨
20191,11440730,성산2동,17.0,4.0,13.0,CS100007,치킨
20193,11440740,상암동,23.0,10.0,13.0,CS100007,치킨
20192,11440740,상암동,25.0,10.0,15.0,CS100007,치킨
20191,11440740,상암동,25.0,11.0,14.0,CS100007,치킨
20193,11440555,아현동,24.0,13.0,11.0,CS100008,분식
20192,11440555,아현동,25.0,14.0,11.0,CS100008,분식
20191,11440555,아현동,25.0,15.0,10.0,CS100008,분식
20193,11440565,공덕동,40.0,30.0,10.0,CS100008,분식
20192,11440565,공덕동,41.0,31.0,10.0,CS100008,분식
20191,11440565,공덕동,41.0,31.0,10.0,CS100008,분식
20193,11440585,도화동,34.0,24.0,10.0,CS100008,분식
20192,11440585,도화동,36.0,26.0,10.0,CS100008,분식
20191,11440585,도화동,35.0,25.0,10.0,CS100008,분식
20193,11440590,용강동,24.0,18.0,6.0,CS100008,분식
20192,11440590,용강동,23.0,17.0,6.0,CS100008,분식
20191,11440590,용강동,24.0,18.0,6.0,CS100008,분식
20193,11440600,대흥동,32.0,23.0,9.0,CS100008,분식
20192,11440600,대흥동,32.0,23.0,9.0,CS100008,분식
20191,11440600,대흥동,32.0,23.0,9.0,CS100008,분식
20193,11440610,염리동,25.0,18.0,7.0,CS100008,분식
20192,11440610,염리동,25.0,19.0,6.0,CS100008,분식
20191,11440610,염리동,23.0,18.0,5.0,CS100008,분식
20193,11440630,신수동,22.0,20.0,2.0,CS100008,분식
20192,11440630,신수동,23.0,21.0,2.0,CS100008,분식
20191,11440630,신수동,22.0,19.0,3.0,CS100008,분식
20193,11440655,서강동,34.0,28.0,6.0,CS100008,분식
20192,11440655,서강동,35.0,28.0,7.0,CS100008,분식
20191,11440655,서강동,35.0,28.0,7.0,CS100008,분식
20193,11440660,서교동,154.0,121.0,33.0,CS100008,분식
20192,11440660,서교동,150.0,115.0,35.0,CS100008,분식
20191,11440660,서교동,145.0,114.0,31.0,CS100008,분식
20193,11440680,합정동,30.0,24.0,6.0,CS100008,분식
20192,11440680,합정동,28.0,23.0,5.0,CS100008,분식
20191,11440680,합정동,28.0,23.0,5.0,CS100008,분식
20193,11440690,망원1동,38.0,33.0,5.0,CS100008,분식
20192,11440690,망원1동,36.0,31.0,5.0,CS100008,분식
20191,11440690,망원1동,37.0,32.0,5.0,CS100008,분식
20193,11440700,망원2동,19.0,15.0,4.0,CS100008,분식
20192,11440700,망원2동,21.0,17.0,4.0,CS100008,분식
20191,11440700,망원2동,20.0,16.0,4.0,CS100008,분식
20193,11440710,연남동,26.0,24.0,2.0,CS100008,분식
20192,11440710,연남동,26.0,24.0,2.0,CS100008,분식
20191,11440710,연남동,27.0,25.0,2.0,CS100008,분식
20193,11440720,성산1동,17.0,12.0,5.0,CS100008,분식
20192,11440720,성산1동,14.0,9.0,5.0,CS100008,분식
20191,11440720,성산1동,13.0,8.0,5.0,CS100008,분식
20193,11440730,성산2동,39.0,28.0,11.0,CS100008,분식
20192,11440730,성산2동,39.0,28.0,11.0,CS100008,분식
20191,11440730,성산2동,40.0,29.0,11.0,CS100008,분식
20193,11440740,상암동,46.0,31.0,15.0,CS100008,분식
20192,11440740,상암동,46.0,31.0,15.0,CS100008,분식
20191,11440740,상암동,46.0,31.0,15.0,CS100008,분식
20193,11440555,아현동,31.0,29.0,2.0,CS100009,호프
20192,11440555,아현동,29.0,27.0,2.0,CS100009,호프
20191,11440555,아현동,28.0,26.0,2.0,CS100009,호프
20193,11440565,공덕동,72.0,72.0,0.0,CS100009,호프
20192,11440565,공덕동,73.0,73.0,0.0,CS100009,호프
20191,11440565,공덕동,70.0,70.0,0.0,CS100009,호프
20193,11440585,도화동,79.0,69.0,10.0,CS100009,호프
20192,11440585,도화동,78.0,68.0,10.0,CS100009,호프
20191,11440585,도화동,80.0,70.0,10.0,CS100009,호프
20193,11440590,용강동,63.0,57.0,6.0,CS100009,호프
20192,11440590,용강동,61.0,55.0,6.0,CS100009,호프
20191,11440590,용강동,61.0,56.0,5.0,CS100009,호프
20193,11440600,대흥동,39.0,34.0,5.0,CS100009,호프
20192,11440600,대흥동,38.0,34.0,4.0,CS100009,호프
20191,11440600,대흥동,39.0,34.0,5.0,CS100009,호프
20193,11440610,염리동,21.0,16.0,5.0,CS100009,호프
20192,11440610,염리동,21.0,15.0,6.0,CS100009,호프
20191,11440610,염리동,20.0,15.0,5.0,CS100009,호프
20193,11440630,신수동,14.0,12.0,2.0,CS100009,호프
20192,11440630,신수동,14.0,12.0,2.0,CS100009,호프
20191,11440630,신수동,16.0,12.0,4.0,CS100009,호프
20193,11440655,서강동,94.0,82.0,12.0,CS100009,호프
20192,11440655,서강동,92.0,81.0,11.0,CS100009,호프
20191,11440655,서강동,91.0,81.0,10.0,CS100009,호프
20193,11440660,서교동,585.0,530.0,55.0,CS100009,호프
20192,11440660,서교동,582.0,526.0,56.0,CS100009,호프
20191,11440660,서교동,574.0,517.0,57.0,CS100009,호프
20193,11440680,합정동,105.0,96.0,9.0,CS100009,호프
20192,11440680,합정동,102.0,93.0,9.0,CS100009,호프
20191,11440680,합정동,107.0,96.0,11.0,CS100009,호프
20193,11440690,망원1동,46.0,43.0,3.0,CS100009,호프
20192,11440690,망원1동,49.0,45.0,4.0,CS100009,호프
20191,11440690,망원1동,47.0,45.0,2.0,CS100009,호프
20193,11440700,망원2동,30.0,26.0,4.0,CS100009,호프
20192,11440700,망원2동,30.0,26.0,4.0,CS100009,호프
20191,11440700,망원2동,29.0,25.0,4.0,CS100009,호프
20193,11440710,연남동,135.0,130.0,5.0,CS100009,호프
20192,11440710,연남동,137.0,132.0,5.0,CS100009,호프
20191,11440710,연남동,131.0,126.0,5.0,CS100009,호프
20193,11440720,성산1동,27.0,23.0,4.0,CS100009,호프
20192,11440720,성산1동,26.0,22.0,4.0,CS100009,호프
20191,11440720,성산1동,25.0,21.0,4.0,CS100009,호프
20193,11440730,성산2동,23.0,22.0,1.0,CS100009,호프
20192,11440730,성산2동,23.0,22.0,1.0,CS100009,호프
20191,11440730,성산2동,23.0,22.0,1.0,CS100009,호프
20193,11440740,상암동,55.0,46.0,9.0,CS100009,호프
20192,11440740,상암동,59.0,50.0,9.0,CS100009,호프
20191,11440740,상암동,58.0,50.0,8.0,CS100009,호프
20193,11440555,아현동,33.0,24.0,9.0,CS100010,커피
20192,11440555,아현동,33.0,25.0,8.0,CS100010,커피
20191,11440555,아현동,34.0,25.0,9.0,CS100010,커피
20193,11440565,공덕동,56.0,44.0,12.0,CS100010,커피
