NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수자,매도자,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
54,서울특별시 마포구 망원동,집합,418-27,망원로2길,제2종일반주거,제2종근린생활,8m미만,22.14, ,"14,200",2,개인,개인,202601,30,,2007,-,중개거래,서울 마포구
55,서울특별시 마포구 동교동,집합,113-29,연희로1길,제2종일반주거,제2종근린생활,8m미만,37.08, ,"77,800",,법인,법인,202601,30,,2022,-,중개거래,서울 강남구
56,서울특별시 마포구 동교동,집합,113-29,연희로1길,제2종일반주거,제2종근린생활,8m미만,33.56, ,"56,400",,법인,법인,202601,30,,2022,-,중개거래,서울 강남구
57,서울특별시 마포구 동교동,집합,113-29,연희로1길,제2종일반주거,제2종근린생활,8m미만,30.22, ,"56,400",,법인,법인,202601,30,,2022,-,중개거래,서울 강남구
58,서울특별시 마포구 동교동,집합,113-29,연희로1길,제2종일반주거,제2종근린생활,8m미만,25.08, ,"91,000",,법인,법인,202601,30,,2022,-,중개거래,서울 강남구
59,서울특별시 마포구 동교동,집합,113-29,연희로1길,제2종일반주거,제2종근린생활,8m미만,38.80, ,"69,500",,법인,법인,202601,30,,2022,-,중개거래,서울 강남구
60,서울특별시 마포구 동교동,집합,113-29,연희로1길,제2종일반주거,제2종근린생활,8m미만,36.59, ,"90,600",,법인,법인,202601,30,,2022,-,중개거래,서울 강남구
61,서울특별시 마포구 동교동,집합,113-29,연희로1길,제2종일반주거,제2종근린생활,8m미만,37.19, ,"69,500",,법인,법인,202601,30,,2022,-,중개거래,서울 강남구
62,서울특별시 마포구 서교동,일반,3**,와우산로29마길,제2종일반주거,제2종근린생활,8m미만,530.69,198.00,"535,000",,법인,개인,202601,29,,2013,-,중개거래,서울 강남구
63,서울특별시 마포구 망원동,집합,455-66,동교로3길,제2종일반주거,제1종근린생활,12m미만,21.42, ,"25,500",1,개인,개인,202601,27,,2008,-,중개거래,서울 마포구
64,서울특별시 마포구 아현동,집합,327-4,굴레방로9길,준주거,제2종근린생활,8m미만,77.10, ,"44,055",4,법인,법인,202601,26,,2019,-,직거래,-
65,서울특별시 마포구 망원동,일반,3**,월드컵로11길,제2종일반주거,제1종근린생활,8m미만,298.16,132.20,"301,000",,법인,법인,202601,24,,1995,-,중개거래,서울 서대문구
66,서울특별시 마포구 연남동,일반,2**,동교로51길,제2종일반주거,제2종근린생활,8m미만,222.50,92.60,"227,500",,법인,법인,202601,23,,1991,-,중개거래,서울 강남구
67,서울특별시 마포구 용강동,일반,4**,대흥로6길,제2종일반주거,제2종근린생활,8m미만,564.97,288.00,"615,000",,법인,법인,202601,23,,2014,20260305,중개거래,서울 마포구
68,서울특별시 마포구 마포동,집합,350,마포대로4다길,준주거,제2종근린생활,25m미만,47.16, ,"51,000",,개인,개인,202601,21,,1992,-,중개거래,서울 마포구
69,서울특별시 마포구 대흥동,집합,802,독막로,제3종일반주거,제2종근린생활,25m미만,180.08, ,"64,400",,개인,개인,202601,21,,2000,-,중개거래,"경기 고양시 일산동구, 경기 양주시"
70,서울특별시 마포구 대흥동,집합,802,독막로,제3종일반주거,제1종근린생활,25m미만,756.05, ,"270,600",,개인,개인,202601,21,,2000,-,중개거래,"경기 고양시 일산동구, 경기 양주시"
71,서울특별시 마포구 신수동,일반,9*,광성로,제2종일반주거,제2종근린생활,25m미만,591.86,235.00,"558,000",,법인,법인,202601,21,,2011,-,중개거래,서울 마포구
72,서울특별시 마포구 대흥동,집합,802,독막로,제3종일반주거,제1종근린생활,25m미만,22.63, ,"8,000",,개인,개인,202601,21,,2000,-,중개거래,"경기 고양시 일산동구, 경기 양주시"
73,서울특별시 마포구 도화동,집합,51-1,마포대로,일반상업,업무,25m이상,96.26, ,"48,000",,법인,개인,202601,21,,1985,-,중개거래,서울 마포구
74,서울특별시 마포구 마포동,집합,350,마포대로4다길,준주거,제2종근린생활,25m미만,47.16, ,"51,000",,개인,개인,202601,21,,1992,20260224,중개거래,서울 마포구
75,서울특별시 마포구 신수동,일반,9*,광성로,제2종일반주거,제1종근린생활,8m미만,25.06,29.00,"40,000",,개인,법인,202601,19,,1971,-,중개거래,서울 마포구
76,서울특별시 마포구 상암동,집합,1601,월드컵북로,일반상업,제2종근린생활,25m미만,75.18, ,"81,161",2,개인,개인,202601,19,,2007,-,직거래,-
77,서울특별시 마포구 상암동,집합,1601,월드컵북로,일반상업,제2종근린생활,25m미만,77.19, ,"83,343",2,개인,개인,202601,19,,2007,-,직거래,-
78,서울특별시 마포구 상암동,집합,1601,월드컵북로,일반상업,제2종근린생활,25m미만,79.20, ,"85,496",2,개인,개인,202601,19,,2007,-,직거래,-
79,서울특별시 마포구 망원동,일반,3**,월드컵로11길,제3종일반주거,제2종근린생활,12m미만,719.48,229.40,"656,500",,법인,법인,202601,16,,2021,-,중개거래,서울 마포구
80,서울특별시 마포구 합정동,집합,438-10,희우정로,제2종일반주거,제2종근린생활,8m미만,13.79, ,"14,000",1,법인,개인,202601,15,,2008,-,중개거래,서울 마포구
81,서울특별시 마포구 신수동,일반,9*,광성로,제2종일반주거,제2종근린생활,8m미만,332.42,134.00,"338,000",,개인,법인,202601,13,,2024,-,중개거래,서울 강남구
82,서울특별시 마포구 서교동,일반,3**,잔다리로,근린상업,업무,25m미만,1835.65,305.80,"1,650,000",,법인,법인,202601,12,,2015,-,중개거래,서울 강남구
83,서울특별시 마포구 서교동,일반,3**,홍익로5길,제3종일반주거,제1종근린생활,12m미만,493.98,171.60,"465,000",,법인,개인,202601,09,,1992,-,중개거래,서울 강남구
84,서울특별시 마포구 대흥동,집합,12-41,신촌로,일반상업,제1종근린생활,25m이상,61.43, ,"65,000",2,법인,개인,202601,09,,2014,-,중개거래,서울 구로구
85,서울특별시 마포구 신공덕동,집합,178,만리재로,일반상업,제2종근린생활,-,45.68, ,"120,000",1,법인,개인,202601,08,,2025,20260209,직거래,-
86,서울특별시 마포구 동교동,일반,2**,동교로23길,제2종일반주거,제2종근린생활,12m미만,457.56,182.50,"545,000",,법인,법인,202601,07,,2018,-,중개거래,서울 강남구
87,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,41.66, ,"22,000",,개인,개인,202601,05,,1987,-,직거래,-
88,서울특별시 마포구 동교동,일반,1**,양화로,제3종일반주거,숙박,25m이상,27852.23,2277.00,"26,500,000",,법인,법인,202601,05,,2017,-,직거래,-
89,서울특별시 마포구 성산동,집합,591-4,월드컵로,유통상업,제2종근린생활,25m이상,179.74, ,"50,110",,개인,개인,202601,03,,2007,-,중개거래,서울 마포구
90,서울특별시 마포구 성산동,집합,591-4,월드컵로,유통상업,제2종근린생활,25m이상,174.02, ,"48,450",,개인,개인,202601,03,,2007,-,중개거래,서울 마포구
91,서울특별시 마포구 성산동,집합,591-4,월드컵로,유통상업,제2종근린생활,25m이상,133.10, ,"37,090",,개인,개인,202601,03,,2007,-,중개거래,서울 마포구
92,서울특별시 마포구 성산동,집합,591-4,월드컵로,유통상업,제2종근린생활,25m이상,78.39, ,"21,850",,개인,개인,202601,03,,2007,-,중개거래,서울 마포구
93,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,44.11, ,"29,000",,개인,기타,202601,03,,1987,-,중개거래,서울 마포구
94,서울특별시 마포구 아현동,집합,801,마포대로24길,제2종일반주거,제2종근린생활,-,35.28, ,"53,000",1,개인,개인,202512,30,,2015,-,중개거래,서울 마포구
95,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,41.66, ,"37,500",,개인,개인,202512,30,,1987,-,중개거래,서울 마포구
96,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,41.66, ,"32,000",,개인,개인,202512,30,,1987,-,중개거래,서울 마포구
97,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,44.11, ,"33,000",,개인,개인,202512,30,,1987,-,중개거래,서울 마포구
98,서울특별시 마포구 구수동,일반,1*,독막로,제3종일반주거,제2종근린생활,8m미만,106.92,83.00,"129,000",,개인,개인,202512,30,,2012,-,중개거래,"서울 마포구, 서울 용산구"
99,서울특별시 마포구 도화동,집합,36,마포대로,일반상업,업무,25m이상,20.25, ,"18,500",8,개인,개인,202512,29,,1988,-,중개거래,서울 마포구
100,서울특별시 마포구 신수동,일반,4**,독막로28길,제2종일반주거,제2종근린생활,12m미만,269.58,99.00,"162,000",,개인,개인,202512,29,,1999,-,중개거래,서울 마포구
101,서울특별시 마포구 상암동,집합,1596,월드컵북로54길,일반상업,판매,25m미만,47.62, ,"138,000",1,개인,개인,202512,29,,2017,-,중개거래,서울 마포구
102,서울특별시 마포구 대흥동,집합,12-33,신촌로,일반상업,업무,25m이상,32.64, ,"14,500",9,법인,개인,202512,27,,2000,-,중개거래,서울 서대문구
103,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,37.17, ,"30,300",,개인,개인,202512,26,,1987,-,중개거래,서울 마포구
104,서울특별시 마포구 합정동,집합,448-3,희우정로7길,제2종일반주거,제2종근린생활,12m미만,74.19, ,"50,000",4,개인,법인,202512,26,,2006,-,직거래,-
105,서울특별시 마포구 공덕동,집합,467,마포대로,일반상업,판매,25m이상,33.66, ,"76,400",,개인,법인,202512,24,,2009,-,중개거래,서울 마포구
106,서울특별시 마포구 노고산동,집합,57-18,서강로,일반상업,기타,12m미만,11.29, ,"7,500",,개인,개인,202512,23,지분,1999,-,직거래,-
107,서울특별시 마포구 도화동,집합,559,마포대로,일반상업,제1종근린생활,25m이상,86.36, ,"155,000",2,개인,개인,202512,23,,2006,-,중개거래,서울 마포구
108,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,41.66, ,"30,500",,개인,개인,202512,23,,1987,-,중개거래,서울 마포구
109,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,44.11, ,"31,000",,개인,개인,202512,23,,1987,-,중개거래,서울 마포구
110,서울특별시 마포구 노고산동,집합,1-51,백범로1길,제2종일반주거,제2종근린생활,12m미만,26.48, ,"27,000",2,개인,개인,202512,22,,2010,-,중개거래,경기 부천시 원미구
111,서울특별시 마포구 상수동,집합,351-16,토정로,제2종일반주거,제1종근린생활,25m미만,332.50, ,"446,000",2,법인,개인,202512,22,,2007,-,직거래,-
112,서울특별시 마포구 용강동,집합,380,큰우물로,제3종일반주거,제1종근린생활,25m미만,78.00, ,"14,500",,개인,개인,202512,20,,2003,-,중개거래,서울 마포구
113,서울특별시 마포구 대흥동,집합,12-33,신촌로,일반상업,업무,25m이상,24.59, ,"12,450",12,개인,개인,202512,20,,2000,-,중개거래,서울 마포구
114,서울특별시 마포구 망원동,집합,384-48,동교로,제2종일반주거,제2종근린생활,8m미만,35.88, ,"12,000",,개인,개인,202512,20,,2008,-,중개거래,서울 마포구
115,서울특별시 마포구 상수동,집합,346-3,와우산로1길,제2종일반주거,제2종근린생활,8m미만,50.14, ,"25,500",1,개인,개인,202512,19,,2008,-,중개거래,서울 마포구
116,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,41.66, ,"35,000",,개인,개인,202512,18,,1987,-,중개거래,서울 마포구
117,서울특별시 마포구 노고산동,집합,107-17,백범로,일반상업,업무,25m이상,10.41, ,"5,000",11,개인,개인,202512,18,,2006,-,중개거래,서울 마포구
118,서울특별시 마포구 망원동,일반,3**,월드컵로13길,제2종일반주거,제1종근린생활,12m미만,64.33,120.00,"160,000",,개인,법인,202512,17,,1975,-,중개거래,서울 강서구
119,서울특별시 마포구 성산동,일반,1**,월드컵북로,제3종일반주거,제1종근린생활,25m이상,1107.44,614.20,"1,300,000",,법인,개인,202512,17,,1984,-,중개거래,서울 중구
120,서울특별시 마포구 상암동,집합,1641,월드컵북로47길,제3종일반주거,기타,25m미만,118.35, ,"178,000",29,개인,개인,202512,16,,2010,-,중개거래,서울 마포구
121,서울특별시 마포구 연남동,일반,2**,동교로51길,제2종일반주거,제2종근린생활,8m미만,222.50,92.60,"227,500",,개인,법인,202512,16,,1991,20260123,중개거래,서울 강남구
122,서울특별시 마포구 아현동,집합,437-3,마포대로,준주거,업무,25m이상,19.60, ,"12,100",,개인,개인,202512,16,,1987,-,중개거래,서울 마포구
123,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,41.66, ,"34,400",,법인,개인,202512,15,,1987,-,중개거래,서울 마포구
124,서울특별시 마포구 망원동,일반,3**,월드컵로15길,제2종일반주거,제2종근린생활,8m미만,727.61,271.10,"780,000",,법인,개인,202512,15,,2025,-,중개거래,서울 강남구
125,서울특별시 마포구 아현동,집합,437-3,마포대로,준주거,제2종근린생활,25m이상,7.49, ,"3,350",,개인,개인,202512,15,지분,1987,-,직거래,-
126,서울특별시 마포구 상수동,집합,157-1,독막로,제3종일반주거,제2종근린생활,25m이상,129.49, ,"182,900",1,법인,법인,202512,12,,2005,-,직거래,-
127,서울특별시 마포구 상수동,일반,3**,와우산로3안길,제2종일반주거,제2종근린생활,8m미만,163.64,169.00,"260,000",,개인,개인,202512,12,,1974,-,직거래,-
128,서울특별시 마포구 신공덕동,일반,*,만리재옛길,제2종일반주거,제1종근린생활,8m미만,60.84,60.00,"70,314",,개인,법인,202512,12,,2004,-,직거래,-
129,서울특별시 마포구 상수동,집합,157-1,독막로,제3종일반주거,제2종근린생활,25m이상,24.54, ,"24,050",1,법인,법인,202512,12,,2005,-,직거래,-
130,서울특별시 마포구 상수동,집합,157-1,독막로,제3종일반주거,제2종근린생활,25m이상,44.61, ,"67,150",1,법인,법인,202512,12,,2005,-,직거래,-
131,서울특별시 마포구 상수동,집합,157-1,독막로,제3종일반주거,제2종근린생활,25m이상,75.48, ,"72,200",1,법인,법인,202512,12,,2005,-,직거래,-
132,서울특별시 마포구 상수동,집합,157-1,독막로,제3종일반주거,제2종근린생활,25m이상,75.26, ,"110,650",1,법인,법인,202512,12,,2005,-,직거래,-
133,서울특별시 마포구 상수동,집합,157-1,독막로,제3종일반주거,제2종근린생활,25m이상,137.72, ,"124,550",1,법인,법인,202512,12,,2005,-,직거래,-
134,서울특별시 마포구 아현동,집합,780,굴레방로1길,제2종일반주거,제2종근린생활,12m미만,36.98, ,"35,750",,개인,개인,202512,11,,2016,-,중개거래,서울 마포구
135,서울특별시 마포구 동교동,일반,1**,어울마당로,제2종일반주거,제2종근린생활,25m미만,106.36,107.10,"581,400",,법인,법인,202512,11,,1985,-,중개거래,"서울 강남구, 서울 마포구"
136,서울특별시 마포구 도화동,집합,563,마포대로,일반상업,제2종근린생활,25m이상,23.37, ,"39,000",1,개인,개인,202512,11,,2007,-,중개거래,서울 마포구
137,서울특별시 마포구 노고산동,집합,107-17,백범로,일반상업,업무,25m이상,10.31, ,"5,200",10,개인,개인,202512,11,,2006,-,중개거래,", 경기 평택시"
138,서울특별시 마포구 신공덕동,집합,178,만리재로,일반상업,제2종근린생활,-,46.33, ,"78,900",2,개인,법인,202512,10,,2025,-,직거래,-
139,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,44.11, ,"29,700",,개인,개인,202512,10,,1987,-,중개거래,서울 마포구
140,서울특별시 마포구 공덕동,집합,467,마포대로,일반상업,판매,25m이상,265.63, ,"303,000",,법인,법인,202512,10,,2009,-,중개거래,서울 마포구
141,서울특별시 마포구 공덕동,집합,467,마포대로,일반상업,기타,25m이상,947.65, ,"545,000",,법인,법인,202512,08,,2009,-,중개거래,서울 마포구
142,서울특별시 마포구 상암동,집합,1605,월드컵북로,일반상업,판매,25m미만,157.18, ,"173,863",,법인,개인,202512,08,,2007,-,직거래,-
143,서울특별시 마포구 공덕동,집합,467,마포대로,일반상업,판매,25m이상,135.87, ,"179,500",,개인,법인,202512,08,,2009,-,중개거래,서울 마포구
144,서울특별시 마포구 성산동,집합,446,월드컵북로,제3종일반주거,판매,25m이상,20.46, ,"76,300",1,개인,개인,202512,07,,1986,-,중개거래,서울 마포구
145,서울특별시 마포구 대흥동,집합,12-33,신촌로,일반상업,업무,25m이상,31.68, ,"13,000",4,개인,개인,202512,06,,2000,-,중개거래,서울 마포구
146,서울특별시 마포구 연남동,일반,2**,동교로51안길,제2종일반주거,제2종근린생활,8m미만,120.62,99.80,"253,000",,개인,개인,202512,05,,1973,-,중개거래,서울 서초구
147,서울특별시 마포구 연남동,일반,2**,연희로,제2종일반주거,제2종근린생활,25m이상,787.20,421.50,"850,000",,법인,개인,202512,05,,1984,-,중개거래,서울 강남구
148,서울특별시 마포구 성산동,집합,446,월드컵북로,제3종일반주거,판매,25m이상,18.00, ,"38,000",2,개인,개인,202512,04,,1986,-,중개거래,서울 마포구
149,서울특별시 마포구 성산동,집합,446,월드컵북로,제3종일반주거,판매,25m이상,26.64, ,"58,000",2,개인,개인,202512,04,,1986,-,중개거래,서울 마포구
150,서울특별시 마포구 동교동,일반,1**,,준주거,제2종근린생활,8m미만,417.62,232.20,"440,000",,법인,개인,202512,04,,2001,-,중개거래,서울 강남구
151,서울특별시 마포구 공덕동,집합,456,만리재로,일반상업,업무,25m이상,45.86, ,"27,000",11,개인,개인,202512,04,,2002,-,중개거래,서울 마포구
152,서울특별시 마포구 상암동,집합,1601,월드컵북로,일반상업,제1종근린생활,25m미만,34.00, ,"37,700",2,개인,개인,202512,03,,2007,-,중개거래,서울 마포구
153,서울특별시 마포구 대흥동,집합,12-33,신촌로,일반상업,업무,25m이상,31.68, ,"14,500",15,개인,개인,202512,03,,2000,-,중개거래,서울 마포구
154,서울특별시 마포구 아현동,집합,804,신촌로28길,제2종일반주거,제2종근린생활,25m미만,44.72, ,"38,049",2,개인,법인,202512,02,,2022,-,직거래,-
155,서울특별시 마포구 아현동,집합,804,신촌로28길,제2종일반주거,제2종근린생활,25m미만,45.55, ,"38,800",2,개인,법인,202512,02,,2022,-,직거래,-
156,서울특별시 마포구 아현동,집합,804,신촌로28길,제2종일반주거,제2종근린생활,25m미만,54.68, ,"48,833",2,개인,법인,202512,02,,2022,-,직거래,-
157,서울특별시 마포구 아현동,집합,804,신촌로28길,제2종일반주거,제2종근린생활,25m미만,44.72, ,"38,049",2,개인,법인,202512,02,,2022,-,직거래,-
158,서울특별시 마포구 아현동,집합,804,신촌로28길,제2종일반주거,제2종근린생활,25m미만,54.07, ,"46,035",2,개인,법인,202512,02,,2022,-,직거래,-
159,서울특별시 마포구 아현동,집합,804,신촌로28길,제2종일반주거,제2종근린생활,25m미만,43.95, ,"39,551",2,개인,법인,202512,02,,2022,-,직거래,-
