quarter,dong_code,adstrd_flpop
20192,11110570,2025811
20192,11110580,3073348
20192,11110600,1570522
20192,11110615,15735105
20192,11110630,7637458
20192,11110640,3989680
20192,11110650,9987555
20192,11110670,4630976
20192,11110680,5526945
20192,11110690,806964
20192,11110700,2569863
20192,11110710,6149427
20192,11140520,3136922
20192,11140540,5195698
20192,11140550,6267944
20192,11140570,2997963
20192,11140580,2600123
20192,11140590,6481409
20192,11140605,5408773
20192,11140615,6356463
20192,11140625,4607532
20192,11140635,2127846
20192,11140645,3744896
20192,11140650,4821031
20192,11140665,2810423
20192,11140670,6223379
20192,11140680,2042903
20192,11170510,4614529
20192,11170520,4538383
20192,11170530,2538611
20192,11170555,8557684
20192,11170560,5007770
20192,11170570,3409780
20192,11170580,3974253
20192,11170590,3307167
20192,11170625,5451727
20192,11170630,4882265
20192,11170640,1659775
20192,11170650,3075847
20192,11170660,3361110
20192,11170685,6344116
20192,11170690,1951204
20192,11170700,4609411
20192,11200520,4384544
20192,11200535,4824615
20192,11200540,6856529
20192,11200550,4429587
20192,11200560,6353329
20192,11200570,3942463
20192,11200580,3287364
20192,11200590,4015306
20192,11200615,6386002
20192,11200620,2789823
20192,11200645,3477543
20192,11200650,2975248
20192,11200660,5839707
20192,11200670,5201599
20192,11200690,4898488
20192,11200720,3170869
20192,11200790,3131620
20192,11215710,9688356
20192,11215730,5577733
20192,11215740,4034519
20192,11215750,5117258
20192,11215760,4945534
20192,11215770,7575381
20192,11215780,2519686
20192,11215810,6566176
20192,11215820,9028032
20192,11215830,5259137
20192,11215840,6877789
20192,11215847,7719398
20192,11215850,7555162
20192,11215860,6717583
20192,11215870,7447603
20192,11230536,13874623
20192,11230545,14096853
20192,11230560,11364256
20192,11230570,2687788
20192,11230600,6680301
20192,11230610,6993214
20192,11230650,9158577
20192,11230660,7132249
20192,11230705,6985714
20192,11230710,5621021
20192,11230720,5650920
20192,11230730,5131146
20192,11230740,10157515
20192,11230750,4899199
20192,11260520,6307209
20192,11260540,5521509
20192,11260550,2469302
20192,11260565,11262981
20192,11260570,7103981
20192,11260575,6788837
20192,11260580,5889771
20192,11260590,7604338
20192,11260600,5434350
20192,11260610,8229756
20192,11260620,8180192
20192,11260630,5864653
20192,11260655,9000139
20192,11260660,4463504
20192,11260680,4868748
20192,11260690,1917717
20192,11290525,4339933
20192,11290555,11331363
20192,11290575,9520326
20192,11290580,3786907
20192,11290590,1839246
20192,11290600,6956977
20192,11290610,6183358
20192,11290620,5569384
20192,11290630,6062765
20192,11290640,2846172
20192,11290650,3723514
20192,11290660,6621267
20192,11290685,4471934
20192,11290705,10420677
20192,11290715,6557896
20192,11290725,6776215
20192,11290760,7142224
20192,11290770,5563613
20192,11290780,2885172
20192,11290810,10819536
20192,11305534,11677214
20192,11305535,7741271
20192,11305545,11438401
20192,11305555,13452760
20192,11305575,3548205
20192,11305595,8019704
20192,11305603,3150155
20192,11305608,3535476
20192,11305615,7118196
20192,11305625,6682993
20192,11305635,11079860
20192,11305645,4129846
20192,11305660,8578475
20192,11320511,4646425
20192,11320512,8582747
20192,11320513,4355325
20192,11320514,4262614
20192,11320515,5824270
20192,11320521,3488882
20192,11320522,3332714
20192,11320660,5518553
20192,11320670,4866742
20192,11320680,4983333
20192,11320681,2905323
20192,11320690,6997585
20192,11320700,4000816
20192,11320710,3569626
20192,11350560,6158382
20192,11350570,3845041
20192,11350580,2612787
20192,11350595,10737094
20192,11350600,8610592
20192,11350611,4155396
20192,11350612,3244143
20192,11350619,5087633
20192,11350621,4062027
20192,11350624,3570882
20192,11350625,5071799
20192,11350630,7341199
20192,11350640,10878246
20192,11350665,9068809
20192,11350670,7194946
20192,11350695,6058553
20192,11350700,885395
20192,11350710,1751928
20192,11350720,2729355
20192,11380510,7056358
20192,11380520,6604700
20192,11380530,6200156
20192,11380551,9023652
20192,11380552,6378413
20192,11380560,5341863
20192,11380570,9513234
20192,11380580,5777916
20192,11380590,3720874
20192,11380600,7708606
20192,11380625,11593081
20192,11380631,6087416
20192,11380632,3782126
20192,11380640,2811002
20192,11380650,1507300
20192,11380690,6184486
20192,11410520,4986005
20192,11410555,14453766
20192,11410565,9696552
20192,11410585,11398394
20192,11410615,10398078
20192,11410620,6458740
20192,11410640,4572535
20192,11410655,2152266
20192,11410660,3871105
20192,11410685,4586125
20192,11410690,2328230
20192,11410700,6368404
20192,11410710,3151928
20192,11410720,12572549
20192,11440555,6387014
20192,11440565,14175024
20192,11440585,6054010
20192,11440590,6489587
20192,11440600,8189963
20192,11440610,3564589
20192,11440630,5854551
20192,11440655,6416471
20192,11440660,18714532
20192,11440680,5924668
20192,11440690,6525417
20192,11440700,6443635
20192,11440710,6671368
20192,11440720,6025700
20192,11440730,7798023
20192,11440740,5455617
20192,11470510,5673376
20192,11470520,7017751
20192,11470530,5318589
20192,11470540,4906292
20192,11470550,4728610
20192,11470560,4143207
20192,11470570,4412344
20192,11470580,2888974
20192,11470590,3874864
20192,11470600,2874826
20192,11470610,1258730
20192,11470611,2451388
20192,11470620,3206148
20192,11470630,4126286
20192,11470640,6562049
20192,11470650,10725120
20192,11470670,1907394
20192,11470680,3539136
20192,11500510,8640687
20192,11500520,4339453
20192,11500530,3731282
20192,11500535,5325003
20192,11500540,16039802
20192,11500550,3984182
20192,11500560,3750863
20192,11500570,4611845
20192,11500590,8499555
20192,11500591,5692100
20192,11500593,7074843
20192,11500603,2976535
20192,11500604,1753760
20192,11500605,1970254
20192,11500611,5298343
20192,11500615,7586810
20192,11500620,6385176
20192,11500630,7595285
20192,11500640,7140353
20192,11500641,3212391
20192,11530510,6680203
20192,11530520,2092992
20192,11530530,8536234
20192,11530540,7726221
20192,11530550,6524975
20192,11530560,6887590
20192,11530595,2891503
20192,11530720,4648525
20192,11530730,6146031
20192,11530740,7282892
20192,11530750,4284901
20192,11530760,3340064
20192,11530770,3754104
20192,11530780,5046096
20192,11530790,2730532
20192,11530800,563216
20192,11545510,4070447
20192,11545610,5104948
20192,11545620,3924053
20192,11545630,5346647
20192,11545640,3513004
20192,11545670,6564111
20192,11545680,1514518
20192,11545690,1386967
20192,11545700,3141284
20192,11545710,3788585
20192,11560515,8384159
20192,11560535,10408417
20192,11560540,5917844
20192,11560550,6502227
20192,11560560,8419317
20192,11560585,5824227
20192,11560605,10677874
20192,11560610,4996809
20192,11560620,5071435
20192,11560630,5679070
20192,11560650,7159772
20192,11560660,2427877
20192,11560670,2709263
20192,11560680,5162269
20192,11560690,3314595
20192,11560700,3806601
20192,11560710,3987087
20192,11560720,8110796
20192,11590510,8185467
20192,11590520,3838177
20192,11590530,9893078
20192,11590540,5601852
20192,11590550,5036998
20192,11590560,6524097
20192,11590605,8313178
20192,11590620,7535430
20192,11590630,8060758
20192,11590640,4542324
20192,11590650,4245859
20192,11590651,2428265
20192,11590660,7033547
20192,11590670,3117450
20192,11590680,5329551
20192,11620525,4777301
20192,11620545,2603737
20192,11620565,6219713
20192,11620575,7615671
20192,11620585,6533127
20192,11620595,10003140
20192,11620605,7867924
20192,11620615,5616701
20192,11620625,5443778
20192,11620630,5176817
20192,11620645,6456902
20192,11620655,6114403
20192,11620665,5654912
20192,11620685,8212326
20192,11620695,10174338
20192,11620715,1342294
20192,11620725,7020583
20192,11620735,6925234
20192,11620745,8017930
20192,11620765,6041330
20192,11620775,6278573
20192,11650510,7797521
20192,11650520,6627603
20192,11650530,12498872
20192,11650531,7104645
20192,11650540,7397061
20192,11650550,857425
20192,11650560,7303622
20192,11650570,1583658
20192,11650580,2806559
20192,11650581,5087828
20192,11650590,5696967
20192,11650600,4749243
20192,11650610,5805369
20192,11650620,4034000
20192,11650621,6116869
20192,11650651,7665331
20192,11650652,5957850
20192,11650660,2538222
20192,11680510,7463847
20192,11680521,10050909
20192,11680531,11069470
20192,11680545,8545450
20192,11680565,9478600
20192,11680580,5713414
20192,11680590,9016216
20192,11680600,4368918
20192,11680610,6535280
20192,11680630,8833184
20192,11680640,22147066
20192,11680650,11255410
20192,11680655,5320230
20192,11680656,3939303
20192,11680660,692651
20192,11680670,1248992
20192,11680690,3817473
20192,11680700,3255155
20192,11680720,3322624
20192,11680730,3902633
20192,11680740,891055
20192,11680750,2504882
20192,11710510,5707303
20192,11710520,6953892
20192,11710531,3472018
20192,11710532,3266013
20192,11710540,3485115
20192,11710550,5358221
20192,11710561,3252262
20192,11710562,6414472
20192,11710566,768632
20192,11710570,8859356
20192,11710580,6225904
20192,11710590,3177691
20192,11710600,7501988
20192,11710610,6786813
20192,11710620,7740904
20192,11710631,737986
20192,11710632,6763425
20192,11710641,4749854
20192,11710642,3425422
20192,11710646,7887438
20192,11710647,2900131
20192,11710650,8085124
20192,11710670,2559570
20192,11710680,3480875
20192,11710690,2305184
20192,11710710,2692707
20192,11710720,900046
20192,11740515,3121354
20192,11740520,1567952
20192,11740530,4996355
20192,11740540,2379676
20192,11740550,2409027
20192,11740560,1155099
20192,11740570,9700398
20192,11740580,2682661
20192,11740590,1319764
20192,11740600,14551111
20192,11740610,11503509
20192,11740620,8815779
20192,11740640,6267023
20192,11740650,9508027
20192,11740660,7135652
20192,11740685,14694929
20192,11740690,10503
20192,11740700,7863162
20193,11110515,3803370
20193,11110530,4285629
20193,11110540,967821
20193,11110550,1150858
20193,11110560,1048455
20193,11110570,1982454
20193,11110580,3013356
20193,11110600,1542306
20193,11110615,15948348
20193,11110630,7440634
20193,11110640,3854399
20193,11110650,8909413
20193,11110670,4065985
20193,11110680,5531203
20193,11110690,843847
20193,11110700,2320742
20193,11110710,6157861
20193,11140520,3119590
20193,11140540,5327872
20193,11140550,6455841
20193,11140570,2716990
20193,11140580,2630369
20193,11140590,6309320
20193,11140605,5445436
20193,11140615,5940463
20193,11140625,4627692
20193,11140635,2544641
20193,11140645,3499897
20193,11140650,4939129
20193,11140665,2582312
20193,11140670,5756269
20193,11140680,2123189
20193,11170510,4346012
20193,11170520,4456649
20193,11170530,2546106
20193,11170555,7957413
20193,11170560,5510683
20193,11170570,3394473
20193,11170580,3829914
20193,11170590,3107309
20193,11170625,5112159
20193,11170630,5121510
20193,11170640,1590940
20193,11170650,3033317
20193,11170660,3129317
20193,11170685,6279022
20193,11170690,1964651
20193,11170700,4545375
20193,11200520,4642989
20193,11200535,4762665
20193,11200540,6512289
20193,11200550,4250849
20193,11200560,6453413
20193,11200570,4019323
20193,11200580,3249748
20193,11200590,3917668
20193,11200615,6555466
20193,11200620,3244660
20193,11200645,3288914
20193,11200650,2999927
20193,11200660,5524454
20193,11200670,5277227
20193,11200690,5078242
20193,11200720,3169808
20193,11200790,3199001
20193,11215710,8977322
20193,11215730,5080977
20193,11215740,3930877
20193,11215750,4807562
20193,11215760,4989767
20193,11215770,7235368
20193,11215780,2544479
20193,11215810,6291273
20193,11215820,8782065
20193,11215830,5204212
20193,11215840,7430235
20193,11215847,8378593
20193,11215850,7338302
20193,11215860,7167974
20193,11215870,7227551
20193,11230536,13671861
20193,11230545,13210926
20193,11230560,11347903
20193,11230570,2692345
20193,11230600,6598110
20193,11230610,6863974
20193,11230650,9304237
20193,11230660,7030423
20193,11230705,6642087
20193,11230710,5095938
20193,11230720,5751922
20193,11230730,5080284
20193,11230740,9066133
20193,11230750,4618442
20193,11260520,6236844
20193,11260540,5399619
20193,11260550,2439550
20193,11260565,10658598
20193,11260570,7483304
20193,11260575,6410421
20193,11260580,5733829
20193,11260590,8095173
20193,11260600,5751471
20193,11260610,8485164
20193,11260620,7971385
20193,11260630,5490593
20193,11260655,9044608
20193,11260660,4396530
20193,11260680,5022583
20193,11260690,1983055
20193,11290525,4350984
20193,11290555,11062833
20193,11290575,9670416
20193,11290580,3729414
20193,11290590,2078697
20193,11290600,6304777
20193,11290610,6030004
20193,11290620,5347184
20193,11290630,6037807
20193,11290640,2568494
20193,11290650,3661635
20193,11290660,6719638
20193,11290685,5051766
20193,11290705,10015087
20193,11290715,6693124
20193,11290725,6402927
20193,11290760,6656738
20193,11290770,5674091
20193,11290780,3078152
20193,11290810,10837656
20193,11305534,11584082
20193,11305535,7383790
20193,11305545,12040999
20193,11305555,12500695
20193,11305575,3663238
20193,11305595,7830031
20193,11305603,3173780
20193,11305608,3420496
20193,11305615,7010226
20193,11305625,6875248
20193,11305635,11846142
20193,11305645,4101079
20193,11305660,8836625
20193,11320511,5246149
20193,11320512,8605874
20193,11320513,5035928
20193,11320514,3500632
20193,11320515,5399998
20193,11320521,3356513
20193,11320522,3137687
20193,11320660,5139113
20193,11320670,4845603
20193,11320680,5482864
20193,11320681,2553172
20193,11320690,6483088
20193,11320700,3819771
20193,11320710,3523460
20193,11350560,5731753
20193,11350570,3738200
20193,11350580,2669554
20193,11350595,10210891
20193,11350600,8467383
20193,11350611,3733727
20193,11350612,3203355
20193,11350619,5007359
20193,11350621,4341506
20193,11350624,3448314
20193,11350625,4810279
20193,11350630,7351370
20193,11350640,12184428
20193,11350665,8811127
20193,11350670,7198698
20193,11350695,6440229
20193,11350700,1026364
20193,11350710,1696240
20193,11350720,2808957
20193,11380510,6991660
20193,11380520,7098054
20193,11380530,6081093
20193,11380551,8748665
20193,11380552,6312583
20193,11380560,5168559
20193,11380570,9582773
20193,11380580,5998924
20193,11380590,3792781
20193,11380600,7814702
20193,11380625,11382662
20193,11380631,6367690
20193,11380632,3551258
20193,11380640,3005972
20193,11380650,1423759
20193,11380690,6198032
20193,11410520,4669107
20193,11410555,14928704
20193,11410565,8580254
20193,11410585,10919289
20193,11410615,9693773
20193,11410620,6188109
20193,11410640,4672524
20193,11410655,2661822
20193,11410660,3727272
20193,11410685,4865177
20193,11410690,2294176
20193,11410700,5882372
20193,11410710,3067958
20193,11410720,12199610
20193,11440555,6679815
20193,11440565,13856817
20193,11440585,5406067
20193,11440590,6580039
20193,11440600,7992929
20193,11440610,3546073
20193,11440630,5606190
20193,11440655,6376645
20193,11440660,18903631
20193,11440680,6009332
20193,11440690,6766119
20193,11440700,6490594
20193,11440710,6574442
20193,11440720,6335963
20193,11440730,8152558
20193,11440740,5559201
20193,11470510,5742972
20193,11470520,7240134
20193,11470530,5482052
20193,11470540,5339583
20193,11470550,4850802
20193,11470560,3901990
20193,11470570,4219544
20193,11470580,2730887
20193,11470590,3800543
20193,11470600,2855917
20193,11470610,1253668
20193,11470611,2437172
20193,11470620,3377538
20193,11470630,4239793
20193,11470640,6639365
20193,11470650,10527202
20193,11470670,1988797
20193,11470680,3561623
20193,11500510,8762783
20193,11500520,4266646
20193,11500530,3689667
20193,11500535,5149885
20193,11500540,16017742
20193,11500550,3686255
20193,11500560,3675116
20193,11500570,5038223
20193,11500590,8500333
20193,11500591,5598672
20193,11500593,7131675
20193,11500603,2968213
20193,11500604,1724101
20193,11500605,1755677
20193,11500611,5347632
20193,11500615,6936587
20193,11500620,6567520
20193,11500630,7613195
20193,11500640,6758591
20193,11500641,3033034
20193,11530510,6878023
20193,11530520,2170469
20193,11530530,8899167
20193,11530540,8060701
20193,11530550,6563569
20193,11530560,6875134
20193,11530595,2832659
20193,11530720,4603306
20193,11530730,5916561
20193,11530740,7088480
20193,11530750,4121133
20193,11530760,3256973
20193,11530770,4027738
20193,11530780,5411819
20193,11530790,2754011
20193,11530800,626891
20193,11545510,3878932
20193,11545610,5277904
20193,11545620,3774146
20193,11545630,5479791
20193,11545640,3916072
20193,11545670,6331638
20193,11545680,1614272
20193,11545690,1453947
20193,11545700,2967363
20193,11545710,3771556
20193,11560515,8761793
20193,11560535,10967445
20193,11560540,5858958
20193,11560550,6766114
20193,11560560,8651133
20193,11560585,5911785
20193,11560605,10551136
20193,11560610,5231017
20193,11560620,5198192
20193,11560630,5507315
20193,11560650,6853655
20193,11560660,2367611
20193,11560670,2535441
20193,11560680,4887277
20193,11560690,3182789
20193,11560700,3857368
20193,11560710,4201965
20193,11560720,7950155
20193,11590510,7908785
20193,11590520,3889560
20193,11590530,8836056
20193,11590540,5612579
20193,11590550,4831215
20193,11590560,6661141
20193,11590605,7469230
20193,11590620,7477988
20193,11590630,8128127
20193,11590640,5202072
20193,11590650,4250891
20193,11590651,2728045
20193,11590660,7146647
20193,11590670,3405862
20193,11590680,5303073
20193,11620525,4393084
20193,11620545,2524174
20193,11620565,6070959
20193,11620575,7742883
20193,11620585,7042166
20193,11620595,10099144
20193,11620605,7085338
20193,11620615,6163143
20193,11620625,5352256
20193,11620630,5122009
20193,11620645,6436699
20193,11620655,6565075
20193,11620665,6005003
20193,11620685,7858629
20193,11620695,9767331
20193,11620715,1297446
20193,11620725,7146230
20193,11620735,6702478
20193,11620745,8014688
20193,11620765,5737132
20193,11620775,5910354
20193,11650510,8133457
20193,11650520,6771272
20193,11650530,12589508
20193,11650531,7695270
20193,11650540,7640424
20193,11650550,858202
20193,11650560,7531254
20193,11650570,1539556
20193,11650580,2861226
20193,11650581,5105077
20193,11650590,5684281
20193,11650600,4762200
20193,11650610,5776063
20193,11650620,3965673
20193,11650621,6440543
20193,11650651,7341166
20193,11650652,5873222
20193,11650660,2738137
20193,11680510,7554058
20193,11680521,10738809
20193,11680531,11168544
20193,11680545,8849817
20193,11680565,9462002
20193,11680580,5604644
20193,11680590,9316110
20193,11680600,4677235
20193,11680610,6393769
20193,11680630,9179404
20193,11680640,22842060
20193,11680650,11817841
20193,11680655,5343319
20193,11680656,3978889
20193,11680660,802641
20193,11680670,1488220
20193,11680690,3567347
20193,11680700,3283687
20193,11680720,3111284
20193,11680730,3564199
20193,11680740,814002
20193,11680750,2728586
20193,11710510,5759240
20193,11710520,7019659
20193,11710531,3415642
20193,11710532,3290931
20193,11710540,3480832
20193,11710550,5496878
20193,11710561,3378620
20193,11710562,6330165
20193,11710566,684009
20193,11710570,8893722
20193,11710580,6402959
20193,11710590,3584143
20193,11710600,7787592
20193,11710610,6906492
20193,11710620,7719208
20193,11710631,826969
20193,11710632,7092998
20193,11710641,4850581
20193,11710642,3558409
20193,11710646,7583670
20193,11710647,2869841
20193,11710650,8272199
20193,11710670,2650598
20193,11710680,3496752
20193,11710690,2199044
20193,11710710,2691634
20193,11710720,923005
20193,11740515,3717687
20193,11740520,1525915
20193,11740530,5241827
20193,11740540,2299907
20193,11740550,2379369
20193,11740560,1249500
20193,11740570,9079059
20193,11740580,2668969
20193,11740590,1287178
20193,11740600,13961916
20193,11740610,11265729
20193,11740620,8919619
20193,11740640,6131602
20193,11740650,9768687
20193,11740660,7520595
