keyword,period,ratio
가락2동 맛집,2024-07-01,3.57142
가락2동 맛집,2024-11-01,4.28571
가락2동 맛집,2024-12-01,11.42857
가락2동 카페,2020-02-01,3.57142
가락2동 카페,2020-04-01,3.57142
가락2동 카페,2020-05-01,5.71428
가락2동 카페,2020-07-01,5
가락2동 카페,2021-04-01,3.57142
가락2동 카페,2023-05-01,4.28571
가락본동 맛집,2019-01-01,36.42857
가락본동 맛집,2019-02-01,42.85714
가락본동 맛집,2019-03-01,31.42857
가락본동 맛집,2019-04-01,20.71428
가락본동 맛집,2019-05-01,53.57142
가락본동 맛집,2019-06-01,45
가락본동 맛집,2019-07-01,26.42857
가락본동 맛집,2019-08-01,36.42857
가락본동 맛집,2019-09-01,28.57142
가락본동 맛집,2019-10-01,20.71428
가락본동 맛집,2019-11-01,28.57142
가락본동 맛집,2019-12-01,60
가락본동 맛집,2020-01-01,35.71428
가락본동 맛집,2020-02-01,27.85714
가락본동 맛집,2020-03-01,53.57142
가락본동 맛집,2020-04-01,56.42857
가락본동 맛집,2020-05-01,91.42857
가락본동 맛집,2020-06-01,83.57142
가락본동 맛집,2020-07-01,100
가락본동 맛집,2020-08-01,63.57142
가락본동 맛집,2020-09-01,35.71428
가락본동 맛집,2020-10-01,42.14285
가락본동 맛집,2020-11-01,35
가락본동 맛집,2020-12-01,14.28571
가락본동 맛집,2021-01-01,53.57142
가락본동 맛집,2021-02-01,19.28571
가락본동 맛집,2021-03-01,57.14285
가락본동 맛집,2021-04-01,62.85714
가락본동 맛집,2021-05-01,62.85714
가락본동 맛집,2021-06-01,85.71428
가락본동 맛집,2021-07-01,70.71428
가락본동 맛집,2021-08-01,37.85714
가락본동 맛집,2021-09-01,63.57142
가락본동 맛집,2021-10-01,72.85714
가락본동 맛집,2021-11-01,81.42857
가락본동 맛집,2021-12-01,79.28571
가락본동 맛집,2022-01-01,57.14285
가락본동 맛집,2022-02-01,27.85714
가락본동 맛집,2022-03-01,40.71428
가락본동 맛집,2022-04-01,60
가락본동 맛집,2022-05-01,60
가락본동 맛집,2022-06-01,87.14285
가락본동 맛집,2022-07-01,94.28571
가락본동 맛집,2022-08-01,60
가락본동 맛집,2022-09-01,48.57142
가락본동 맛집,2022-10-01,85
가락본동 맛집,2022-11-01,70
가락본동 맛집,2022-12-01,71.42857
가락본동 맛집,2023-01-01,54.28571
가락본동 맛집,2023-02-01,95.71428
가락본동 맛집,2023-03-01,72.14285
가락본동 맛집,2023-04-01,61.42857
가락본동 맛집,2023-05-01,97.14285
가락본동 맛집,2023-06-01,67.85714
가락본동 맛집,2023-07-01,70.71428
가락본동 맛집,2023-08-01,55.71428
가락본동 맛집,2023-09-01,27.85714
가락본동 맛집,2023-10-01,37.14285
가락본동 맛집,2023-11-01,37.85714
가락본동 맛집,2023-12-01,68.57142
가락본동 맛집,2024-01-01,56.42857
가락본동 맛집,2024-02-01,66.42857
가락본동 맛집,2024-03-01,78.57142
가락본동 맛집,2024-04-01,65
가락본동 맛집,2024-05-01,62.85714
가락본동 맛집,2024-06-01,39.28571
가락본동 맛집,2024-07-01,45.71428
가락본동 맛집,2024-08-01,43.57142
가락본동 맛집,2024-09-01,30.71428
가락본동 맛집,2024-10-01,21.42857
가락본동 맛집,2024-11-01,14.28571
가락본동 맛집,2024-12-01,26.42857
가락본동 카페,2019-08-01,0.08307
가락본동 카페,2020-06-01,0.09968
가락본동 카페,2020-07-01,0.08307
가락본동 카페,2020-09-01,0.08307
가락본동 카페,2021-06-01,0.09968
가락본동 카페,2022-09-01,0.11629
가락본동 카페,2023-02-01,0.21598
가리봉동 맛집,2019-01-01,8.39009
가리봉동 맛집,2019-02-01,8.48978
가리봉동 맛집,2019-03-01,7.72553
가리봉동 맛집,2019-04-01,6.87821
가리봉동 맛집,2019-05-01,7.01113
가리봉동 맛집,2019-06-01,4.9676
가리봉동 맛집,2019-07-01,4.58547
가리봉동 맛집,2019-08-01,7.55939
가리봉동 맛집,2019-09-01,7.99136
가리봉동 맛집,2019-10-01,6.11397
가리봉동 맛집,2019-11-01,6.79514
가리봉동 맛집,2019-12-01,9.23741
가리봉동 맛집,2020-01-01,8.09104
가리봉동 맛집,2020-02-01,3.12344
가리봉동 맛집,2020-03-01,1.72786
가리봉동 맛집,2020-04-01,2.85761
가리봉동 맛집,2020-05-01,5.18358
가리봉동 맛집,2020-06-01,5.69862
가리봉동 맛집,2020-07-01,6.1472
가리봉동 맛집,2020-08-01,4.53563
가리봉동 맛집,2020-09-01,3.0736
가리봉동 맛집,2020-10-01,7.12742
가리봉동 맛집,2020-11-01,6.39641
가리봉동 맛집,2020-12-01,4.48579
가리봉동 맛집,2021-01-01,4.31965
가리봉동 맛집,2021-02-01,4.33626
가리봉동 맛집,2021-03-01,5.88137
가리봉동 맛집,2021-04-01,4.46918
가리봉동 맛집,2021-05-01,6.7453
가리봉동 맛집,2021-06-01,7.39325
가리봉동 맛집,2021-07-01,4.60209
가리봉동 맛집,2021-08-01,5.7983
가리봉동 맛집,2021-09-01,5.01744
가리봉동 맛집,2021-10-01,4.91776
가리봉동 맛집,2021-11-01,8.25718
가리봉동 맛집,2021-12-01,4.83469
가리봉동 맛집,2022-01-01,6.32995
가리봉동 맛집,2022-02-01,5.5657
가리봉동 맛집,2022-03-01,5.682
가리봉동 맛집,2022-04-01,7.0942
가리봉동 맛집,2022-05-01,11.51354
가리봉동 맛집,2022-06-01,12.16148
가리봉동 맛집,2022-07-01,32.96228
가리봉동 맛집,2022-08-01,9.07127
가리봉동 맛집,2022-09-01,8.57285
가리봉동 맛집,2022-10-01,8.43994
가리봉동 맛집,2022-11-01,7.60923
가리봉동 맛집,2022-12-01,7.8086
가리봉동 맛집,2023-01-01,8.05781
가리봉동 맛집,2023-02-01,8.27379
가리봉동 맛집,2023-03-01,7.64246
가리봉동 맛집,2023-04-01,8.27379
가리봉동 맛집,2023-05-01,8.48978
가리봉동 맛집,2023-06-01,8.48978
가리봉동 맛집,2023-07-01,7.49293
가리봉동 맛집,2023-08-01,5.23342
가리봉동 맛집,2023-09-01,5.61555
가리봉동 맛집,2023-10-01,6.72869
가리봉동 맛집,2023-11-01,5.11712
가리봉동 맛집,2023-12-01,5.15035
가리봉동 맛집,2024-01-01,5.83153
가리봉동 맛집,2024-02-01,4.33626
가리봉동 맛집,2024-03-01,6.57916
가리봉동 맛집,2024-04-01,6.04751
가리봉동 맛집,2024-05-01,6.8616
가리봉동 맛집,2024-06-01,5.76507
가리봉동 맛집,2024-07-01,5.10051
가리봉동 맛집,2024-08-01,5.53248
가리봉동 맛집,2024-09-01,4.81807
가리봉동 맛집,2024-10-01,5.23342
가리봉동 맛집,2024-11-01,3.95414
가리봉동 맛집,2024-12-01,4.66854
가리봉동 카페,2019-07-01,0.08307
가리봉동 카페,2019-11-01,0.08307
가리봉동 카페,2020-11-01,0.34889
가리봉동 카페,2021-01-01,0.11629
가리봉동 카페,2021-02-01,0.63133
가리봉동 카페,2021-03-01,0.54826
가리봉동 카페,2021-04-01,0.3655
가리봉동 카페,2021-05-01,0.93038
가리봉동 카페,2021-06-01,0.81408
가리봉동 카페,2021-09-01,0.16614
가리봉동 카페,2022-01-01,0.09968
가리봉동 카페,2022-03-01,0.09968
가리봉동 카페,2022-06-01,0.09968
가리봉동 카페,2022-10-01,0.08307
가리봉동 카페,2022-11-01,0.08307
가리봉동 카페,2022-12-01,0.08307
가리봉동 카페,2023-02-01,0.08307
가리봉동 카페,2023-04-01,0.08307
가리봉동 카페,2023-08-01,0.08307
가리봉동 카페,2024-03-01,0.11629
가리봉동 카페,2024-04-01,0.08307
가리봉동 카페,2024-09-01,0.16614
가리봉동 카페,2024-11-01,0.08307
가산동 맛집,2019-01-01,75.59395
가산동 맛집,2019-02-01,63.34939
가산동 맛집,2019-03-01,73.052
가산동 맛집,2019-04-01,82.82106
가산동 맛집,2019-05-01,100
가산동 맛집,2019-06-01,70.60973
가산동 맛집,2019-07-01,79.01644
가산동 맛집,2019-08-01,86.19371
가산동 맛집,2019-09-01,71.14138
가산동 맛집,2019-10-01,85.67868
가산동 맛집,2019-11-01,77.65409
가산동 맛집,2019-12-01,84.31633
가산동 맛집,2020-01-01,76.75693
가산동 맛집,2020-02-01,64.86127
가산동 맛집,2020-03-01,52.43395
가산동 맛집,2020-04-01,61.90397
가산동 맛집,2020-05-01,79.3155
가산동 맛집,2020-06-01,73.00215
가산동 맛집,2020-07-01,80.11297
가산동 맛집,2020-08-01,65.6089
가산동 맛집,2020-09-01,53.26466
가산동 맛집,2020-10-01,71.35736
가산동 맛집,2020-11-01,64.19671
가산동 맛집,2020-12-01,47.69895
가산동 맛집,2021-01-01,49.49327
가산동 맛집,2021-02-01,55.04236
가산동 맛집,2021-03-01,74.33128
가산동 맛집,2021-04-01,72.55358
가산동 맛집,2021-05-01,73.66672
가산동 맛집,2021-06-01,78.78385
가산동 맛집,2021-07-01,64.18009
가산동 맛집,2021-08-01,63.69828
가산동 맛집,2021-09-01,66.92141
가산동 맛집,2021-10-01,79.13274
가산동 맛집,2021-11-01,84.59877
가산동 맛집,2021-12-01,75.62718
가산동 맛집,2022-01-01,64.74497
가산동 맛집,2022-02-01,57.36833
가산동 맛집,2022-03-01,78.00299
가산동 맛집,2022-04-01,90.11463
가산동 맛집,2022-05-01,98.7041
가산동 맛집,2022-06-01,90.62967
가산동 맛집,2022-07-01,91.59328
가산동 맛집,2022-08-01,84.93105
가산동 맛집,2022-09-01,79.93022
가산동 맛집,2022-10-01,89.00149
가산동 맛집,2022-11-01,87.85512
가산동 맛집,2022-12-01,95.84648
가산동 맛집,2023-01-01,73.63349
가산동 맛집,2023-02-01,80.31234
가산동 맛집,2023-03-01,87.02442
가산동 맛집,2023-04-01,80.7443
가산동 맛집,2023-05-01,88.25386
가산동 맛집,2023-06-01,72.27114
가산동 맛집,2023-07-01,77.27197
가산동 맛집,2023-08-01,80.36218
가산동 맛집,2023-09-01,66.58913
가산동 맛집,2023-10-01,67.00448
가산동 맛집,2023-11-01,66.37315
가산동 맛집,2023-12-01,74.91277
가산동 맛집,2024-01-01,66.05748
가산동 맛집,2024-02-01,61.04003
가산동 맛집,2024-03-01,69.08124
가산동 맛집,2024-04-01,66.19039
가산동 맛집,2024-05-01,69.56305
가산동 맛집,2024-06-01,64.74497
가산동 맛집,2024-07-01,67.33676
가산동 맛집,2024-08-01,66.37315
가산동 맛집,2024-09-01,56.60408
가산동 맛집,2024-10-01,62.51869
가산동 맛집,2024-11-01,58.29872
가산동 맛집,2024-12-01,61.48861
가산동 카페,2019-01-01,2.06014
가산동 카페,2019-02-01,2.79116
가산동 카페,2019-03-01,2.85761
가산동 카페,2019-04-01,2.64163
가산동 카페,2019-05-01,2.39242
가산동 카페,2019-06-01,1.79431
가산동 카페,2019-07-01,2.94068
가산동 카페,2019-08-01,3.05698
가산동 카페,2019-09-01,2.3758
가산동 카페,2019-10-01,3.18989
가산동 카페,2019-11-01,2.10998
가산동 카페,2019-12-01,3.04037
가산동 카페,2020-01-01,2.97391
가산동 카페,2020-02-01,2.99052
가산동 카페,2020-03-01,3.05698
가산동 카페,2020-04-01,3.87107
가산동 카페,2020-05-01,4.13689
가산동 카페,2020-06-01,3.82123
가산동 카페,2020-07-01,4.15351
가산동 카페,2020-08-01,4.41933
가산동 카페,2020-09-01,3.85446
가산동 카페,2020-10-01,5.88137
가산동 카페,2020-11-01,3.14005
가산동 카페,2020-12-01,0.44857
가산동 카페,2021-01-01,2.24289
가산동 카페,2021-02-01,3.40588
가산동 카페,2021-03-01,6.11397
가산동 카페,2021-04-01,5.26665
가산동 카페,2021-05-01,5.34972
가산동 카페,2021-06-01,5.96444
가산동 카페,2021-07-01,5.78169
가산동 카페,2021-08-01,6.16381
가산동 카페,2021-09-01,10.69945
가산동 카페,2021-10-01,13.90596
가산동 카페,2021-11-01,11.28094
가산동 카페,2021-12-01,12.14487
가산동 카페,2022-01-01,9.17095
가산동 카페,2022-02-01,8.53962
가산동 카페,2022-03-01,10.6496
가산동 카페,2022-04-01,11.57999
가산동 카페,2022-05-01,9.50323
가산동 카페,2022-06-01,9.9352
가산동 카페,2022-07-01,8.50639
가산동 카페,2022-08-01,9.02143
가산동 카페,2022-09-01,7.89167
가산동 카페,2022-10-01,8.09104
가산동 카페,2022-11-01,8.43994
가산동 카페,2022-12-01,9.61953
가산동 카페,2023-01-01,8.22395
가산동 카페,2023-02-01,7.62585
가산동 카페,2023-03-01,10.00166
가산동 카페,2023-04-01,9.75245
가산동 카페,2023-05-01,8.7556
가산동 카페,2023-06-01,7.17727
가산동 카페,2023-07-01,6.96128
가산동 카페,2023-08-01,6.64562
가산동 카페,2023-09-01,5.28326
가산동 카페,2023-10-01,7.59262
가산동 카페,2023-11-01,15.58398
가산동 카페,2023-12-01,8.65592
가산동 카페,2024-01-01,5.61555
가산동 카페,2024-02-01,5.71523
가산동 카페,2024-03-01,5.73184
가산동 카페,2024-04-01,6.87821
가산동 카페,2024-05-01,4.88453
가산동 카페,2024-06-01,5.21681
가산동 카페,2024-07-01,4.6187
가산동 카페,2024-08-01,5.64877
가산동 카페,2024-09-01,5.51586
가산동 카페,2024-10-01,5.86476
가산동 카페,2024-11-01,4.35288
가산동 카페,2024-12-01,5.36633
가양1동 맛집,2019-10-01,35.29411
가양1동 맛집,2020-05-01,41.17647
가양1동 맛집,2020-08-01,35.29411
가양1동 맛집,2020-09-01,29.41176
가양1동 맛집,2021-05-01,29.41176
가양1동 맛집,2022-01-01,41.17647
가양1동 맛집,2022-03-01,29.41176
가양1동 맛집,2022-04-01,29.41176
가양1동 맛집,2022-08-01,64.70588
가양1동 맛집,2022-09-01,29.41176
가양1동 맛집,2023-03-01,76.47058
가양1동 맛집,2024-08-01,35.29411
가양2동 맛집,2019-01-01,29.41176
가양2동 맛집,2019-11-01,58.82352
가양2동 맛집,2019-12-01,29.41176
가양2동 맛집,2020-06-01,29.41176
가양2동 맛집,2020-08-01,29.41176
가양2동 맛집,2021-03-01,29.41176
가양2동 맛집,2021-06-01,29.41176
가양2동 맛집,2021-07-01,35.29411
가양2동 맛집,2021-11-01,35.29411
가양2동 맛집,2022-02-01,100
가양2동 맛집,2022-04-01,29.41176
가양2동 맛집,2022-06-01,35.29411
가양2동 맛집,2022-11-01,29.41176
가양2동 맛집,2023-01-01,64.70588
가양2동 맛집,2023-04-01,47.05882
가양2동 맛집,2023-05-01,47.05882
가양2동 맛집,2024-01-01,47.05882
가양2동 맛집,2024-06-01,35.29411
가양2동 카페,2022-04-01,29.41176
가양2동 카페,2023-06-01,29.41176
가양3동 맛집,2021-07-01,29.41176
가양3동 맛집,2021-10-01,35.29411
가양3동 맛집,2022-07-01,29.41176
가양3동 맛집,2022-09-01,29.41176
가양3동 맛집,2022-10-01,47.05882
가회동 맛집,2019-01-01,26.70299
가회동 맛집,2019-02-01,33.69663
가회동 맛집,2019-03-01,42.96094
가회동 맛집,2019-04-01,51.0445
가회동 맛집,2019-05-01,100
가회동 맛집,2019-06-01,52.86103
가회동 맛집,2019-07-01,56.35785
가회동 맛집,2019-08-01,59.90009
가회동 맛집,2019-09-01,58.40145
가회동 맛집,2019-10-01,68.25613
가회동 맛집,2019-11-01,38.82833
가회동 맛집,2019-12-01,39.37329
가회동 맛집,2020-01-01,32.01634
가회동 맛집,2020-02-01,20.75386
가회동 맛집,2020-03-01,14.03269
가회동 맛집,2020-04-01,30.92643
가회동 맛집,2020-05-01,42.41598
가회동 맛집,2020-06-01,30.79019
가회동 맛집,2020-07-01,44.82288
가회동 맛집,2020-08-01,37.96548
가회동 맛집,2020-09-01,33.69663
가회동 맛집,2020-10-01,59.76385
가회동 맛집,2020-11-01,53.17892
가회동 맛집,2020-12-01,12.03451
가회동 맛집,2021-01-01,19.43687
가회동 맛집,2021-02-01,38.96457
가회동 맛집,2021-03-01,50.95367
가회동 맛집,2021-04-01,54.85921
가회동 맛집,2021-05-01,54.72297
가회동 맛집,2021-06-01,51.63487
가회동 맛집,2021-07-01,32.83378
가회동 맛집,2021-08-01,37.3297
가회동 맛집,2021-09-01,48.00181
가회동 맛집,2021-10-01,66.39418
가회동 맛집,2021-11-01,64.03269
가회동 맛집,2021-12-01,40.55404
가회동 맛집,2022-01-01,38.82833
가회동 맛집,2022-02-01,35.55858
가회동 맛집,2022-03-01,41.59854
가회동 맛집,2022-04-01,66.53042
가회동 맛집,2022-05-01,71.48047
가회동 맛집,2022-06-01,51.08991
가회동 맛집,2022-07-01,51.18074
가회동 맛집,2022-08-01,51.63487
가회동 맛집,2022-09-01,51.40781
가회동 맛집,2022-10-01,65.66757
가회동 맛집,2022-11-01,48.50136
가회동 맛집,2022-12-01,31.97093
가회동 맛집,2023-01-01,35.33151
가회동 맛집,2023-02-01,36.51226
가회동 맛집,2023-03-01,45.9128
가회동 맛집,2023-04-01,43.46049
가회동 맛집,2023-05-01,35.78564
가회동 맛집,2023-06-01,28.88283
가회동 맛집,2023-07-01,21.52588
가회동 맛집,2023-08-01,22.75204
가회동 맛집,2023-09-01,24.88646
가회동 맛집,2023-10-01,26.65758
가회동 맛집,2023-11-01,24.06902
가회동 맛집,2023-12-01,16.1217
가회동 맛집,2024-01-01,17.84741
가회동 맛집,2024-02-01,17.12079
가회동 맛집,2024-03-01,20.89009
가회동 맛집,2024-04-01,24.38692
가회동 맛집,2024-05-01,26.79382
가회동 맛집,2024-06-01,20.48138
가회동 맛집,2024-07-01,16.25794
가회동 맛집,2024-08-01,16.93914
가회동 맛집,2024-09-01,21.48047
가회동 맛집,2024-10-01,26.11262
가회동 맛집,2024-11-01,18.52861
가회동 맛집,2024-12-01,12.76112
가회동 카페,2019-01-01,2.67938
가회동 카페,2019-02-01,2.86103
가회동 카페,2019-03-01,4.04178
가회동 카페,2019-04-01,2.31607
가회동 카페,2019-05-01,2.31607
가회동 카페,2019-06-01,2.99727
가회동 카페,2019-07-01,1.40781
가회동 카페,2019-08-01,3.81471
가회동 카페,2019-09-01,1.68029
가회동 카페,2019-10-01,4.08719
가회동 카페,2019-11-01,3.04268
가회동 카페,2019-12-01,2.67938
가회동 카페,2020-01-01,2.7702
가회동 카페,2020-02-01,2.4069
가회동 카페,2020-03-01,1.08991
가회동 카페,2020-04-01,4.99545
가회동 카페,2020-05-01,4.8138
가회동 카페,2020-06-01,3.86012
가회동 카페,2020-07-01,4.95004
가회동 카페,2020-08-01,3.7693
가회동 카페,2020-09-01,4.58673
가회동 카페,2020-10-01,8.94641
가회동 카페,2020-11-01,7.49318
가회동 카페,2020-12-01,0.22706
가회동 카페,2021-01-01,2.22524
가회동 카페,2021-02-01,9.40054
가회동 카페,2021-03-01,10.89918
가회동 카페,2021-04-01,11.62579
가회동 카페,2021-05-01,13.7148
가회동 카페,2021-06-01,6.8574
가회동 카페,2021-07-01,5.85831
가회동 카페,2021-08-01,5.35876
가회동 카페,2021-09-01,11.08083
가회동 카페,2021-10-01,15.39509
가회동 카페,2021-11-01,12.39782
가회동 카페,2021-12-01,7.08446
가회동 카페,2022-01-01,6.49409
가회동 카페,2022-02-01,8.67393
가회동 카페,2022-03-01,9.67302
가회동 카페,2022-04-01,16.53042
가회동 카페,2022-05-01,15.53133
가회동 카페,2022-06-01,11.85286
가회동 카페,2022-07-01,11.3079
가회동 카페,2022-08-01,12.76112
가회동 카페,2022-09-01,11.76203
가회동 카페,2022-10-01,11.35331
가회동 카페,2022-11-01,8.31062
가회동 카페,2022-12-01,6.13079
가회동 카페,2023-01-01,5.58583
가회동 카페,2023-02-01,7.08446
가회동 카페,2023-03-01,6.13079
가회동 카페,2023-04-01,5.90372
가회동 카페,2023-05-01,6.94822
가회동 카페,2023-06-01,3.58764
가회동 카페,2023-07-01,3.40599
가회동 카페,2023-08-01,2.31607
가회동 카페,2023-09-01,2.04359
가회동 카페,2023-10-01,3.13351
가회동 카페,2023-11-01,0.99909
가회동 카페,2023-12-01,1.99818
가회동 카페,2024-01-01,1.54405
가회동 카페,2024-02-01,0.3633
가회동 카페,2024-03-01,2.67938
가회동 카페,2024-04-01,3.04268
가회동 카페,2024-05-01,1.45322
가회동 카페,2024-06-01,1.86194
가회동 카페,2024-07-01,0.45413
가회동 카페,2024-08-01,1.0445
가회동 카페,2024-09-01,1.40781
가회동 카페,2024-10-01,2.90644
가회동 카페,2024-11-01,1.54405
가회동 카페,2024-12-01,0.72661
갈현1동 맛집,2019-10-01,0.22706
갈현1동 맛집,2020-02-01,0.22706
갈현1동 맛집,2020-06-01,0.27247
갈현1동 맛집,2021-01-01,0.27247
갈현1동 맛집,2021-02-01,0.31789
갈현1동 맛집,2022-04-01,0.3633
갈현1동 맛집,2022-07-01,0.27247
갈현1동 맛집,2023-02-01,0.22706
갈현1동 맛집,2024-06-01,0.22706
갈현1동 카페,2019-03-01,0.31789
갈현1동 카페,2021-04-01,0.45413
갈현2동 맛집,2019-08-01,0.2994
갈현2동 맛집,2021-05-01,0.3493
갈현2동 맛집,2022-07-01,0.2994
갈현2동 맛집,2023-03-01,0.2495
갈현2동 카페,2020-05-01,0.2994
강일동 맛집,2019-01-01,66.91616
강일동 맛집,2019-02-01,61.87624
강일동 맛집,2019-03-01,66.86626
강일동 맛집,2019-04-01,67.21556
강일동 맛집,2019-05-01,75.7485
강일동 맛집,2019-06-01,61.32734
강일동 맛집,2019-07-01,69.91017
강일동 맛집,2019-08-01,72.75449
강일동 맛집,2019-09-01,57.13572
강일동 맛집,2019-10-01,70.30938
강일동 맛집,2019-11-01,75.8483
강일동 맛집,2019-12-01,79.59081
강일동 맛집,2020-01-01,67.56487
강일동 맛집,2020-02-01,63.72255
강일동 맛집,2020-03-01,59.48103
강일동 맛집,2020-04-01,74.90019
강일동 맛집,2020-05-01,100
강일동 맛집,2020-06-01,77.1956
강일동 맛집,2020-07-01,76.0479
강일동 맛집,2020-08-01,64.87025
강일동 맛집,2020-09-01,58.53293
강일동 맛집,2020-10-01,66.91616
강일동 맛집,2020-11-01,61.02794
강일동 맛집,2020-12-01,45.85828
강일동 맛집,2021-01-01,69.01197
강일동 맛집,2021-02-01,69.56087
강일동 맛집,2021-03-01,89.82035
강일동 맛집,2021-04-01,90.91816
강일동 맛집,2021-05-01,98.65269
강일동 맛집,2021-06-01,92.71457
강일동 맛집,2021-07-01,76.6467
강일동 맛집,2021-08-01,73.55289
강일동 맛집,2021-09-01,91.76646
강일동 맛집,2021-10-01,83.78243
강일동 맛집,2021-11-01,76.497
강일동 맛집,2021-12-01,61.27744
강일동 맛집,2022-01-01,61.47704
강일동 맛집,2022-02-01,60.02994
강일동 맛집,2022-03-01,70.40918
강일동 맛집,2022-04-01,79.49101
강일동 맛집,2022-05-01,97.50499
강일동 맛집,2022-06-01,80.28942
강일동 맛집,2022-07-01,91.11776
강일동 맛집,2022-08-01,78.14371
강일동 맛집,2022-09-01,69.51097
강일동 맛집,2022-10-01,71.00798
강일동 맛집,2022-11-01,63.52295
강일동 맛집,2022-12-01,65.46906
강일동 맛집,2023-01-01,64.87025
강일동 맛집,2023-02-01,63.92215
강일동 맛집,2023-03-01,66.16766
강일동 맛집,2023-04-01,70.00998
강일동 맛집,2023-05-01,76.8463
강일동 맛집,2023-06-01,61.62674
강일동 맛집,2023-07-01,62.02594
강일동 맛집,2023-08-01,66.21756
강일동 맛집,2023-09-01,59.28143
강일동 맛집,2023-10-01,56.53692
강일동 맛집,2023-11-01,54.39121
강일동 맛집,2023-12-01,57.88423
강일동 맛집,2024-01-01,57.53493
강일동 맛집,2024-02-01,61.52694
강일동 맛집,2024-03-01,62.92415
강일동 맛집,2024-04-01,61.12774
강일동 맛집,2024-05-01,69.26147
강일동 맛집,2024-06-01,58.48303
강일동 맛집,2024-07-01,59.68063
강일동 맛집,2024-08-01,63.02395
강일동 맛집,2024-09-01,55.28942
강일동 맛집,2024-10-01,55.58882
강일동 맛집,2024-11-01,49.50099
강일동 맛집,2024-12-01,48.75249
강일동 카페,2019-01-01,5.38922
강일동 카페,2019-02-01,6.33732
강일동 카페,2019-03-01,5.38922
강일동 카페,2019-04-01,4.94011
강일동 카페,2019-05-01,6.98602
강일동 카페,2019-06-01,6.78642
강일동 카페,2019-07-01,4.04191
강일동 카페,2019-08-01,5.98802
강일동 카페,2019-09-01,5.88822
강일동 카페,2019-10-01,7.48502
강일동 카페,2019-11-01,5.78842
강일동 카페,2019-12-01,6.63672
강일동 카페,2020-01-01,6.48702
강일동 카페,2020-02-01,7.28542
강일동 카페,2020-03-01,11.27744
강일동 카페,2020-04-01,12.77445
강일동 카페,2020-05-01,15.01996
강일동 카페,2020-06-01,14.07185
강일동 카페,2020-07-01,11.47704
강일동 카페,2020-08-01,9.68063
강일동 카페,2020-09-01,6.53692
강일동 카페,2020-10-01,9.58083
강일동 카페,2020-11-01,6.53692
강일동 카페,2020-12-01,0.2495
강일동 카페,2021-01-01,5.13972
강일동 카페,2021-02-01,10.02994
강일동 카페,2021-03-01,15.91816
강일동 카페,2021-04-01,18.81237
강일동 카페,2021-05-01,18.61277
강일동 카페,2021-06-01,16.71656
강일동 카페,2021-07-01,16.11776
강일동 카페,2021-08-01,17.36526
강일동 카페,2021-09-01,18.86227
강일동 카페,2021-10-01,16.41716
강일동 카페,2021-11-01,16.51696
강일동 카페,2021-12-01,12.47504
강일동 카페,2022-01-01,14.07185
강일동 카페,2022-02-01,13.47305
강일동 카페,2022-03-01,12.12574
강일동 카페,2022-04-01,15.31936
강일동 카페,2022-05-01,17.66467
강일동 카페,2022-06-01,16.76646
강일동 카페,2022-07-01,16.31736
강일동 카페,2022-08-01,15.86826
