quarter,dong_code,dong_name,survival_1y,survival_3y,survival_5y,survival_1y_num,survival_1y_den,survival_3y_num,survival_3y_den,survival_5y_num,survival_5y_den,industry_code,industry_name
20192,11440730,성산2동,75.9,52.6,40.0,22.0,29.0,10.0,19.0,6.0,15.0,CS100001,한식
20191,11440730,성산2동,82.8,54.5,36.8,24.0,29.0,12.0,22.0,7.0,19.0,CS100001,한식
20193,11440740,상암동,62.8,31.5,22.2,54.0,86.0,23.0,73.0,14.0,63.0,CS100001,한식
20192,11440740,상암동,70.6,37.2,28.9,60.0,85.0,29.0,78.0,22.0,76.0,CS100001,한식
20191,11440740,상암동,67.7,34.3,27.3,65.0,96.0,35.0,102.0,21.0,77.0,CS100001,한식
20193,11440555,아현동,100.0,,100.0,1.0,1.0,0.0,0.0,1.0,1.0,CS100002,중식
20192,11440555,아현동,100.0,,100.0,1.0,1.0,0.0,0.0,1.0,1.0,CS100002,중식
20191,11440555,아현동,,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,CS100002,중식
20193,11440565,공덕동,100.0,33.3,50.0,5.0,5.0,1.0,3.0,1.0,2.0,CS100002,중식
20192,11440565,공덕동,100.0,25.0,33.3,3.0,3.0,1.0,4.0,1.0,3.0,CS100002,중식
20191,11440565,공덕동,66.7,50.0,33.3,2.0,3.0,3.0,6.0,1.0,3.0,CS100002,중식
20193,11440585,도화동,100.0,25.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,CS100002,중식
20192,11440585,도화동,,25.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,CS100002,중식
20191,11440585,도화동,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,CS100002,중식
20193,11440590,용강동,66.7,25.0,50.0,2.0,3.0,1.0,4.0,1.0,2.0,CS100002,중식
20192,11440590,용강동,50.0,20.0,0.0,1.0,2.0,1.0,5.0,0.0,1.0,CS100002,중식
20191,11440590,용강동,,25.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,CS100002,중식
20193,11440600,대흥동,100.0,0.0,50.0,3.0,3.0,0.0,3.0,1.0,2.0,CS100002,중식
20192,11440600,대흥동,80.0,0.0,33.3,4.0,5.0,0.0,4.0,1.0,3.0,CS100002,중식
20191,11440600,대흥동,80.0,0.0,33.3,4.0,5.0,0.0,5.0,1.0,3.0,CS100002,중식
20193,11440610,염리동,50.0,,,1.0,2.0,0.0,0.0,0.0,0.0,CS100002,중식
20192,11440610,염리동,50.0,,,1.0,2.0,0.0,0.0,0.0,0.0,CS100002,중식
20191,11440610,염리동,100.0,,,1.0,1.0,0.0,0.0,0.0,0.0,CS100002,중식
20193,11440630,신수동,100.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,CS100002,중식
20192,11440630,신수동,100.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,CS100002,중식
20191,11440630,신수동,100.0,100.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,CS100002,중식
20193,11440655,서강동,100.0,42.9,,4.0,4.0,3.0,7.0,0.0,0.0,CS100002,중식
20192,11440655,서강동,100.0,33.3,,5.0,5.0,2.0,6.0,0.0,0.0,CS100002,중식
20191,11440655,서강동,80.0,20.0,,4.0,5.0,1.0,5.0,0.0,0.0,CS100002,중식
20193,11440660,서교동,62.5,54.5,46.7,20.0,32.0,6.0,11.0,7.0,15.0,CS100002,중식
20192,11440660,서교동,67.9,52.9,35.7,19.0,28.0,9.0,17.0,5.0,14.0,CS100002,중식
20191,11440660,서교동,66.7,45.0,30.8,18.0,27.0,9.0,20.0,4.0,13.0,CS100002,중식
20193,11440680,합정동,100.0,0.0,50.0,2.0,2.0,0.0,1.0,1.0,2.0,CS100002,중식
20192,11440680,합정동,100.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,CS100002,중식
20191,11440680,합정동,100.0,50.0,50.0,4.0,4.0,1.0,2.0,1.0,2.0,CS100002,중식
20193,11440690,망원1동,66.7,100.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,CS100002,중식
20192,11440690,망원1동,0.0,100.0,,0.0,1.0,2.0,2.0,0.0,0.0,CS100002,중식
20191,11440690,망원1동,0.0,66.7,,0.0,1.0,2.0,3.0,0.0,0.0,CS100002,중식
20193,11440700,망원2동,100.0,75.0,0.0,4.0,4.0,3.0,4.0,0.0,3.0,CS100002,중식
20192,11440700,망원2동,100.0,50.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,CS100002,중식
20191,11440700,망원2동,100.0,0.0,25.0,1.0,1.0,0.0,2.0,1.0,4.0,CS100002,중식
20193,11440710,연남동,71.4,66.7,60.0,5.0,7.0,4.0,6.0,3.0,5.0,CS100002,중식
20192,11440710,연남동,85.7,77.8,33.3,6.0,7.0,7.0,9.0,2.0,6.0,CS100002,중식
20191,11440710,연남동,85.7,70.0,33.3,6.0,7.0,7.0,10.0,1.0,3.0,CS100002,중식
20193,11440720,성산1동,100.0,100.0,,1.0,1.0,2.0,2.0,0.0,0.0,CS100002,중식
20192,11440720,성산1동,100.0,100.0,,1.0,1.0,2.0,2.0,0.0,0.0,CS100002,중식
20191,11440720,성산1동,50.0,100.0,,1.0,2.0,2.0,2.0,0.0,0.0,CS100002,중식
20193,11440730,성산2동,100.0,100.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,CS100002,중식
20192,11440730,성산2동,,100.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,CS100002,중식
20191,11440730,성산2동,100.0,100.0,50.0,1.0,1.0,1.0,1.0,1.0,2.0,CS100002,중식
20193,11440740,상암동,60.0,28.6,66.7,3.0,5.0,2.0,7.0,2.0,3.0,CS100002,중식
20192,11440740,상암동,83.3,50.0,50.0,5.0,6.0,6.0,12.0,1.0,2.0,CS100002,중식
20191,11440740,상암동,88.9,46.2,100.0,8.0,9.0,6.0,13.0,2.0,2.0,CS100002,중식
20193,11440555,아현동,100.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,CS100003,일식
20192,11440555,아현동,100.0,100.0,0.0,6.0,6.0,1.0,1.0,0.0,2.0,CS100003,일식
20191,11440555,아현동,100.0,100.0,0.0,5.0,5.0,2.0,2.0,0.0,1.0,CS100003,일식
20193,11440565,공덕동,100.0,66.7,0.0,1.0,1.0,2.0,3.0,0.0,1.0,CS100003,일식
20192,11440565,공덕동,100.0,100.0,20.0,1.0,1.0,2.0,2.0,1.0,5.0,CS100003,일식
20191,11440565,공덕동,100.0,100.0,20.0,3.0,3.0,3.0,3.0,1.0,5.0,CS100003,일식
20193,11440585,도화동,71.4,60.0,0.0,5.0,7.0,3.0,5.0,0.0,2.0,CS100003,일식
20192,11440585,도화동,85.7,50.0,0.0,6.0,7.0,3.0,6.0,0.0,2.0,CS100003,일식
20191,11440585,도화동,100.0,66.7,0.0,4.0,4.0,2.0,3.0,0.0,3.0,CS100003,일식
20193,11440590,용강동,66.7,50.0,40.0,2.0,3.0,2.0,4.0,2.0,5.0,CS100003,일식
20192,11440590,용강동,100.0,100.0,66.7,5.0,5.0,3.0,3.0,2.0,3.0,CS100003,일식
20191,11440590,용강동,100.0,100.0,50.0,5.0,5.0,4.0,4.0,1.0,2.0,CS100003,일식
20193,11440600,대흥동,100.0,100.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,CS100003,일식
20192,11440600,대흥동,100.0,50.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,CS100003,일식
20191,11440600,대흥동,50.0,33.3,,1.0,2.0,1.0,3.0,0.0,0.0,CS100003,일식
20193,11440610,염리동,66.7,50.0,,2.0,3.0,2.0,4.0,0.0,0.0,CS100003,일식
20192,11440610,염리동,33.3,50.0,,1.0,3.0,2.0,4.0,0.0,0.0,CS100003,일식
20191,11440610,염리동,100.0,50.0,,1.0,1.0,2.0,4.0,0.0,0.0,CS100003,일식
20193,11440630,신수동,,,50.0,0.0,0.0,0.0,0.0,1.0,2.0,CS100003,일식
20192,11440630,신수동,,,100.0,0.0,0.0,0.0,0.0,1.0,1.0,CS100003,일식
20191,11440630,신수동,,100.0,,0.0,0.0,1.0,1.0,0.0,0.0,CS100003,일식
20193,11440655,서강동,66.7,60.0,25.0,8.0,12.0,6.0,10.0,2.0,8.0,CS100003,일식
20192,11440655,서강동,66.7,53.8,28.6,8.0,12.0,7.0,13.0,2.0,7.0,CS100003,일식
20191,11440655,서강동,75.0,46.2,20.0,9.0,12.0,6.0,13.0,2.0,10.0,CS100003,일식
20193,11440660,서교동,71.4,46.7,25.0,50.0,70.0,21.0,45.0,9.0,36.0,CS100003,일식
20192,11440660,서교동,77.4,46.2,31.6,48.0,62.0,24.0,52.0,12.0,38.0,CS100003,일식
20191,11440660,서교동,78.0,44.1,35.9,46.0,59.0,26.0,59.0,14.0,39.0,CS100003,일식
20193,11440680,합정동,77.8,60.0,75.0,7.0,9.0,3.0,5.0,3.0,4.0,CS100003,일식
20192,11440680,합정동,83.3,100.0,40.0,5.0,6.0,5.0,5.0,2.0,5.0,CS100003,일식
20191,11440680,합정동,100.0,85.7,42.9,8.0,8.0,6.0,7.0,3.0,7.0,CS100003,일식
20193,11440690,망원1동,90.0,50.0,33.3,9.0,10.0,4.0,8.0,1.0,3.0,CS100003,일식
20192,11440690,망원1동,85.7,40.0,33.3,6.0,7.0,2.0,5.0,1.0,3.0,CS100003,일식
20191,11440690,망원1동,66.7,40.0,50.0,4.0,6.0,2.0,5.0,1.0,2.0,CS100003,일식
20193,11440700,망원2동,50.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,CS100003,일식
20192,11440700,망원2동,50.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,CS100003,일식
20191,11440700,망원2동,75.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,CS100003,일식
20193,11440710,연남동,78.9,37.5,0.0,15.0,19.0,3.0,8.0,0.0,3.0,CS100003,일식
20192,11440710,연남동,72.7,44.4,0.0,16.0,22.0,4.0,9.0,0.0,3.0,CS100003,일식
20191,11440710,연남동,63.6,50.0,14.3,14.0,22.0,6.0,12.0,1.0,7.0,CS100003,일식
20193,11440720,성산1동,50.0,50.0,,1.0,2.0,2.0,4.0,0.0,0.0,CS100003,일식
20192,11440720,성산1동,100.0,66.7,100.0,2.0,2.0,2.0,3.0,1.0,1.0,CS100003,일식
20191,11440720,성산1동,100.0,100.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,CS100003,일식
20193,11440730,성산2동,100.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,CS100003,일식
20192,11440730,성산2동,100.0,100.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,CS100003,일식
20191,11440730,성산2동,83.3,100.0,50.0,5.0,6.0,1.0,1.0,1.0,2.0,CS100003,일식
20193,11440740,상암동,55.0,33.3,36.4,11.0,20.0,6.0,18.0,4.0,11.0,CS100003,일식
20192,11440740,상암동,46.2,36.4,41.7,12.0,26.0,8.0,22.0,5.0,12.0,CS100003,일식
20191,11440740,상암동,52.2,25.9,38.5,12.0,23.0,7.0,27.0,5.0,13.0,CS100003,일식
20193,11440555,아현동,,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,CS100004,양식
20192,11440555,아현동,,100.0,,0.0,0.0,1.0,1.0,0.0,0.0,CS100004,양식
20191,11440555,아현동,100.0,50.0,,1.0,1.0,1.0,2.0,0.0,0.0,CS100004,양식
20193,11440565,공덕동,50.0,66.7,50.0,1.0,2.0,2.0,3.0,1.0,2.0,CS100004,양식
20192,11440565,공덕동,66.7,66.7,0.0,2.0,3.0,2.0,3.0,0.0,1.0,CS100004,양식
20191,11440565,공덕동,66.7,50.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,CS100004,양식
20193,11440585,도화동,100.0,50.0,100.0,9.0,9.0,2.0,4.0,1.0,1.0,CS100004,양식
20192,11440585,도화동,100.0,100.0,100.0,8.0,8.0,2.0,2.0,2.0,2.0,CS100004,양식
20191,11440585,도화동,100.0,100.0,66.7,6.0,6.0,3.0,3.0,2.0,3.0,CS100004,양식
20193,11440590,용강동,66.7,33.3,25.0,2.0,3.0,1.0,3.0,1.0,4.0,CS100004,양식
20192,11440590,용강동,0.0,33.3,0.0,0.0,2.0,1.0,3.0,0.0,3.0,CS100004,양식
20191,11440590,용강동,66.7,25.0,0.0,2.0,3.0,1.0,4.0,0.0,4.0,CS100004,양식
20193,11440600,대흥동,100.0,100.0,50.0,3.0,3.0,1.0,1.0,2.0,4.0,CS100004,양식
20192,11440600,대흥동,75.0,33.3,66.7,3.0,4.0,1.0,3.0,2.0,3.0,CS100004,양식
20191,11440600,대흥동,75.0,0.0,40.0,3.0,4.0,0.0,3.0,2.0,5.0,CS100004,양식
20193,11440610,염리동,,66.7,,0.0,0.0,2.0,3.0,0.0,0.0,CS100004,양식
20192,11440610,염리동,100.0,50.0,,1.0,1.0,2.0,4.0,0.0,0.0,CS100004,양식
20191,11440610,염리동,100.0,50.0,,3.0,3.0,2.0,4.0,0.0,0.0,CS100004,양식
20193,11440630,신수동,100.0,,50.0,1.0,1.0,0.0,0.0,1.0,2.0,CS100004,양식
20192,11440630,신수동,100.0,100.0,50.0,2.0,2.0,1.0,1.0,1.0,2.0,CS100004,양식
20191,11440630,신수동,100.0,100.0,,4.0,4.0,1.0,1.0,0.0,0.0,CS100004,양식
20193,11440655,서강동,71.4,57.9,33.3,5.0,7.0,11.0,19.0,5.0,15.0,CS100004,양식
20192,11440655,서강동,50.0,28.6,45.0,2.0,4.0,6.0,21.0,9.0,20.0,CS100004,양식
20191,11440655,서강동,83.3,29.2,35.0,5.0,6.0,7.0,24.0,7.0,20.0,CS100004,양식
20193,11440660,서교동,64.2,37.7,30.2,43.0,67.0,29.0,77.0,19.0,63.0,CS100004,양식
20192,11440660,서교동,71.9,29.9,29.0,46.0,64.0,23.0,77.0,20.0,69.0,CS100004,양식
20191,11440660,서교동,75.0,28.4,23.0,51.0,68.0,25.0,88.0,17.0,74.0,CS100004,양식
20193,11440680,합정동,92.0,54.5,57.1,23.0,25.0,6.0,11.0,4.0,7.0,CS100004,양식
20192,11440680,합정동,78.9,66.7,33.3,15.0,19.0,8.0,12.0,3.0,9.0,CS100004,양식
20191,11440680,합정동,76.5,55.0,33.3,13.0,17.0,11.0,20.0,3.0,9.0,CS100004,양식
20193,11440690,망원1동,84.2,85.7,100.0,16.0,19.0,6.0,7.0,1.0,1.0,CS100004,양식
20192,11440690,망원1동,75.0,42.9,,12.0,16.0,3.0,7.0,0.0,0.0,CS100004,양식
20191,11440690,망원1동,81.3,45.5,,13.0,16.0,5.0,11.0,0.0,0.0,CS100004,양식
20193,11440700,망원2동,100.0,50.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,CS100004,양식
20192,11440700,망원2동,66.7,25.0,0.0,2.0,3.0,1.0,4.0,0.0,2.0,CS100004,양식
20191,11440700,망원2동,50.0,25.0,0.0,2.0,4.0,1.0,4.0,0.0,2.0,CS100004,양식
20193,11440710,연남동,80.5,50.0,70.0,33.0,41.0,11.0,22.0,7.0,10.0,CS100004,양식
20192,11440710,연남동,79.5,50.0,63.6,35.0,44.0,14.0,28.0,7.0,11.0,CS100004,양식
20191,11440710,연남동,74.3,41.2,38.5,26.0,35.0,14.0,34.0,5.0,13.0,CS100004,양식
20193,11440720,성산1동,100.0,66.7,,3.0,3.0,4.0,6.0,0.0,0.0,CS100004,양식
20192,11440720,성산1동,100.0,75.0,,3.0,3.0,3.0,4.0,0.0,0.0,CS100004,양식
20191,11440720,성산1동,66.7,50.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,CS100004,양식
20193,11440730,성산2동,100.0,,100.0,1.0,1.0,0.0,0.0,1.0,1.0,CS100004,양식
20192,11440730,성산2동,100.0,,100.0,2.0,2.0,0.0,0.0,1.0,1.0,CS100004,양식
20191,11440730,성산2동,100.0,,100.0,2.0,2.0,0.0,0.0,2.0,2.0,CS100004,양식
20193,11440740,상암동,85.7,75.0,0.0,6.0,7.0,3.0,4.0,0.0,7.0,CS100004,양식
20192,11440740,상암동,70.0,57.1,0.0,7.0,10.0,4.0,7.0,0.0,7.0,CS100004,양식
20191,11440740,상암동,75.0,38.5,25.0,9.0,12.0,5.0,13.0,2.0,8.0,CS100004,양식
20193,11440555,아현동,50.0,60.0,0.0,1.0,2.0,3.0,5.0,0.0,2.0,CS100005,제과
20192,11440555,아현동,66.7,50.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,CS100005,제과
20191,11440555,아현동,66.7,50.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,CS100005,제과
20193,11440565,공덕동,75.0,0.0,,3.0,4.0,0.0,1.0,0.0,0.0,CS100005,제과
20192,11440565,공덕동,75.0,50.0,,3.0,4.0,1.0,2.0,0.0,0.0,CS100005,제과
20191,11440565,공덕동,83.3,50.0,100.0,5.0,6.0,1.0,2.0,1.0,1.0,CS100005,제과
20193,11440585,도화동,100.0,50.0,50.0,2.0,2.0,3.0,6.0,1.0,2.0,CS100005,제과
20192,11440585,도화동,100.0,50.0,33.3,1.0,1.0,3.0,6.0,1.0,3.0,CS100005,제과
20191,11440585,도화동,100.0,40.0,0.0,2.0,2.0,2.0,5.0,0.0,2.0,CS100005,제과
20193,11440590,용강동,,33.3,,0.0,0.0,1.0,3.0,0.0,0.0,CS100005,제과
20192,11440590,용강동,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,CS100005,제과
20191,11440590,용강동,100.0,0.0,,2.0,2.0,0.0,3.0,0.0,0.0,CS100005,제과
20193,11440600,대흥동,100.0,,50.0,3.0,3.0,0.0,0.0,1.0,2.0,CS100005,제과
20192,11440600,대흥동,100.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,CS100005,제과
20191,11440600,대흥동,100.0,100.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,CS100005,제과
20193,11440610,염리동,,40.0,100.0,0.0,0.0,2.0,5.0,1.0,1.0,CS100005,제과
20192,11440610,염리동,,50.0,100.0,0.0,0.0,2.0,4.0,2.0,2.0,CS100005,제과
20191,11440610,염리동,,50.0,100.0,0.0,0.0,2.0,4.0,3.0,3.0,CS100005,제과
20193,11440630,신수동,100.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,CS100005,제과
20192,11440630,신수동,100.0,50.0,,2.0,2.0,1.0,2.0,0.0,0.0,CS100005,제과
20191,11440630,신수동,100.0,25.0,,4.0,4.0,1.0,4.0,0.0,0.0,CS100005,제과
20193,11440655,서강동,50.0,80.0,20.0,5.0,10.0,4.0,5.0,1.0,5.0,CS100005,제과
20192,11440655,서강동,70.0,75.0,28.6,7.0,10.0,3.0,4.0,2.0,7.0,CS100005,제과
20191,11440655,서강동,70.0,80.0,40.0,7.0,10.0,4.0,5.0,2.0,5.0,CS100005,제과
20193,11440660,서교동,65.6,50.0,47.4,21.0,32.0,10.0,20.0,9.0,19.0,CS100005,제과
20192,11440660,서교동,68.6,52.9,44.4,24.0,35.0,9.0,17.0,12.0,27.0,CS100005,제과
20191,11440660,서교동,75.0,52.6,37.5,24.0,32.0,10.0,19.0,9.0,24.0,CS100005,제과
20193,11440680,합정동,90.0,57.1,50.0,9.0,10.0,4.0,7.0,1.0,2.0,CS100005,제과
20192,11440680,합정동,90.0,80.0,100.0,9.0,10.0,4.0,5.0,1.0,1.0,CS100005,제과
20191,11440680,합정동,100.0,100.0,100.0,7.0,7.0,4.0,4.0,1.0,1.0,CS100005,제과
20193,11440690,망원1동,100.0,100.0,50.0,3.0,3.0,2.0,2.0,1.0,2.0,CS100005,제과
20192,11440690,망원1동,100.0,100.0,50.0,5.0,5.0,2.0,2.0,2.0,4.0,CS100005,제과
20191,11440690,망원1동,100.0,33.3,25.0,5.0,5.0,1.0,3.0,1.0,4.0,CS100005,제과
20193,11440700,망원2동,100.0,50.0,50.0,2.0,2.0,1.0,2.0,1.0,2.0,CS100005,제과
20192,11440700,망원2동,100.0,50.0,0.0,3.0,3.0,2.0,4.0,0.0,1.0,CS100005,제과
20191,11440700,망원2동,100.0,33.3,0.0,5.0,5.0,1.0,3.0,0.0,1.0,CS100005,제과
20193,11440710,연남동,100.0,50.0,0.0,11.0,11.0,3.0,6.0,0.0,1.0,CS100005,제과
20192,11440710,연남동,100.0,50.0,50.0,14.0,14.0,3.0,6.0,1.0,2.0,CS100005,제과
20191,11440710,연남동,85.0,85.7,75.0,17.0,20.0,6.0,7.0,3.0,4.0,CS100005,제과
20193,11440720,성산1동,66.7,50.0,66.7,4.0,6.0,1.0,2.0,2.0,3.0,CS100005,제과
20192,11440720,성산1동,71.4,33.3,50.0,5.0,7.0,1.0,3.0,1.0,2.0,CS100005,제과
20191,11440720,성산1동,66.7,0.0,50.0,4.0,6.0,0.0,2.0,1.0,2.0,CS100005,제과
20193,11440730,성산2동,80.0,100.0,0.0,4.0,5.0,2.0,2.0,0.0,3.0,CS100005,제과
20192,11440730,성산2동,80.0,50.0,0.0,4.0,5.0,1.0,2.0,0.0,4.0,CS100005,제과
20191,11440730,성산2동,100.0,50.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,CS100005,제과
20193,11440740,상암동,100.0,28.6,0.0,4.0,4.0,2.0,7.0,0.0,2.0,CS100005,제과
20192,11440740,상암동,85.7,25.0,0.0,6.0,7.0,2.0,8.0,0.0,4.0,CS100005,제과
20191,11440740,상암동,62.5,28.6,0.0,5.0,8.0,2.0,7.0,0.0,4.0,CS100005,제과
20193,11440555,아현동,,,,0.0,0.0,0.0,0.0,0.0,0.0,CS100006,패스트푸드
20192,11440555,아현동,100.0,,,1.0,1.0,0.0,0.0,0.0,0.0,CS100006,패스트푸드
20191,11440555,아현동,100.0,100.0,,2.0,2.0,1.0,1.0,0.0,0.0,CS100006,패스트푸드
20193,11440565,공덕동,80.0,50.0,0.0,4.0,5.0,2.0,4.0,0.0,1.0,CS100006,패스트푸드
20192,11440565,공덕동,100.0,25.0,,2.0,2.0,1.0,4.0,0.0,0.0,CS100006,패스트푸드
20191,11440565,공덕동,,50.0,,0.0,0.0,1.0,2.0,0.0,0.0,CS100006,패스트푸드
20193,11440585,도화동,60.0,100.0,,3.0,5.0,1.0,1.0,0.0,0.0,CS100006,패스트푸드
20192,11440585,도화동,80.0,,,4.0,5.0,0.0,0.0,0.0,0.0,CS100006,패스트푸드
20191,11440585,도화동,80.0,,,4.0,5.0,0.0,0.0,0.0,0.0,CS100006,패스트푸드
20193,11440590,용강동,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,CS100006,패스트푸드
20192,11440590,용강동,,0.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,CS100006,패스트푸드
20191,11440590,용강동,100.0,0.0,50.0,1.0,1.0,0.0,1.0,1.0,2.0,CS100006,패스트푸드
20193,11440600,대흥동,75.0,33.3,,3.0,4.0,1.0,3.0,0.0,0.0,CS100006,패스트푸드
