quarter,dong_name,trend_score
20191,서빙고동,2.84
20191,서원동,2.2
20191,서초1동,1.84
20191,서초2동,6.07
20191,서초3동,26.98
20191,석관동,35.14
20191,석촌동,39.43
20191,성내1동,0.11
20191,성내2동,0.11
20191,성내3동,0.05
20191,성북동,48.69
20191,성산2동,14.1
20191,성현동,0.14
20191,세곡동,33.36
20191,소공동,7.76
20191,송정동,10.39
20191,송중동,0.05
20191,송천동,17.92
20191,송파1동,2.21
20191,송파2동,4.39
20191,수궁동,5.85
20191,수색동,1.65
20191,수서동,18.97
20191,수유2동,9.62
20191,수유3동,10.58
20191,시흥3동,14.55
20191,시흥4동,7.41
20191,시흥5동,52.53
20191,신길1동,5.05
20191,신길3동,17.86
20191,신길4동,21.43
20191,신길5동,15.15
20191,신길6동,24.24
20191,신길7동,15.15
20191,신당동,18.36
20191,신대방1동,0.03
20191,신도림동,15.65
20191,신림동,39.36
20191,신사동,52.0
20191,신수동,1.91
20191,신원동,25.81
20191,신월1동,0.83
20191,신월2동,0.99
20191,신월3동,9.74
20191,신월4동,20.33
20191,신월5동,5.16
20191,신월7동,40.35
20191,신정1동,2.3
20191,신정2동,10.29
20191,신정3동,21.3
20191,신정4동,4.94
20191,신정6동,9.26
20191,신정7동,4.51
20191,신촌동,14.47
20191,쌍문1동,8.2
20191,쌍문2동,10.93
20191,쌍문4동,0.23
20191,아현동,27.19
20191,안암동,43.45
20191,압구정동,23.39
20191,약수동,37.64
20191,양재1동,0.11
20191,양재2동,2.82
20191,여의동,1.73
20191,역삼1동,10.59
20191,역삼2동,6.6
20191,역촌동,0.64
20191,연남동,51.89
20191,연희동,30.76
20191,염리동,0.51
20191,염창동,11.94
20191,영등포동,3.47
20191,오금동,42.08
20191,오류1동,0.18
20191,오류2동,0.48
20191,오륜동,1.46
20191,옥수동,44.44
20191,용강동,31.1
20191,용답동,17.02
20191,용문동,26.67
20191,용신동,0.07
20191,우이동,16.58
20191,위례동,41.96
20191,은천동,24.73
20191,응봉동,33.67
20191,응암1동,22.73
20191,이태원1동,3.68
20191,이화동,37.18
20191,인수동,12.59
20191,인헌동,7.47
20191,자양1동,3.4
20191,자양2동,14.29
20191,자양3동,14.95
20191,자양4동,12.82
20191,잠실본동,23.17
20191,잠원동,25.52
20191,장안1동,0.08
20191,장안2동,0.29
20191,장지동,17.14
20191,장충동,37.31
20191,전농2동,0.38
20191,정릉1동,8.33
20191,정릉3동,9.17
20191,정릉4동,0.23
20191,제기동,36.93
20191,조원동,44.86
20191,종암동,35.55
20191,중계4동,1.74
20191,중계본동,27.64
20191,중곡1동,6.2
20191,중곡3동,0.15
20191,중곡4동,0.13
20191,중림동,25.39
20191,중앙동,19.16
20191,증산동,20.11
20191,진관동,25.12
20191,창2동,0.8
20191,창3동,18.83
20191,창5동,4.63
20191,천연동,25.0
20191,청구동,0.02
20191,청담동,48.81
20191,청량리동,0.05
20191,청룡동,23.56
20191,청림동,3.96
20191,청파동,41.23
20191,평창동,45.45
20191,풍납2동,0.32
20191,필동,29.13
20191,한강로동,4.59
20191,한남동,43.13
20191,합정동,3.87
20191,항동,0.27
20191,행운동,0.31
20191,혜화동,37.42
20191,홍은2동,66.67
20191,화곡1동,19.09
20191,화곡2동,34.62
20191,화곡3동,42.31
20191,화곡4동,25.07
20191,화곡6동,6.84
20191,화곡8동,5.98
20191,화곡본동,2.4
20191,화양동,35.63
20191,황학동,33.11
20191,회기동,35.57
20191,회현동,12.04
20191,효창동,2.09
20191,후암동,54.13
20191,휘경2동,0.06
20191,흑석동,68.0
20192,가락본동,39.76
20192,가리봉동,6.29
20192,가산동,43.38
20192,가회동,35.26
20192,강일동,37.17
20192,개봉1동,0.95
20192,개봉2동,4.96
20192,개봉3동,12.95
20192,개포4동,15.19
20192,고척2동,0.25
20192,공덕동,39.71
20192,공릉2동,0.22
20192,공항동,38.78
20192,광장동,41.66
20192,광희동,3.05
20192,교남동,11.57
20192,구로1동,15.8
20192,구로2동,5.9
20192,구로3동,15.95
20192,구로4동,8.55
20192,구로5동,2.11
20192,구산동,38.46
20192,구의2동,7.69
20192,구의3동,7.69
20192,군자동,33.32
20192,길동,42.15
20192,난곡동,32.4
20192,난향동,3.45
20192,남영동,17.89
20192,남현동,11.16
20192,내곡동,37.83
20192,노량진2동,0.32
20192,녹번동,60.73
20192,논현1동,3.53
20192,논현2동,9.85
20192,능동,8.8
20192,다산동,14.69
20192,답십리2동,54.55
20192,당산2동,20.83
20192,대림3동,1.38
20192,대방동,28.0
20192,대조동,8.89
20192,대치2동,0.51
20192,대치4동,0.32
20192,대학동,48.76
20192,대흥동,16.15
20192,도곡1동,0.02
20192,도곡2동,0.02
20192,도림동,17.77
20192,도봉2동,0.1
20192,도화동,24.28
20192,독산1동,0.17
20192,독산3동,18.22
20192,독산4동,25.56
20192,동선동,4.19
20192,둔촌2동,32.43
20192,등촌3동,0.69
20192,마장동,37.08
20192,망우3동,31.25
20192,망원2동,9.32
20192,면목2동,11.3
20192,면목5동,11.96
20192,면목본동,0.0
20192,명동,23.77
20192,목1동,1.14
20192,목2동,40.37
20192,목3동,24.71
20192,목4동,20.27
20192,목5동,16.67
20192,무악동,16.33
20192,묵2동,14.29
20192,문래동,14.78
20192,문정2동,0.25
20192,미성동,3.77
20192,미아동,44.94
20192,반포1동,1.45
20192,반포2동,1.45
20192,반포3동,40.0
20192,반포4동,20.0
20192,방배2동,21.79
20192,방배4동,19.23
20192,방배본동,7.36
20192,방이1동,4.36
20192,방이2동,41.3
20192,방학1동,10.87
20192,방학2동,15.22
20192,방학3동,10.0
20192,보광동,36.25
20192,보라매동,0.74
20192,보문동,33.75
20192,부암동,38.4
20192,북아현동,26.01
20192,불광1동,1.2
20192,불광2동,0.63
20192,사근동,33.53
20192,사당4동,45.45
20192,사직동,22.53
20192,삼각산동,0.21
20192,삼선동,7.26
20192,삼성1동,13.83
20192,삼성동,36.42
20192,삼양동,2.77
20192,삼전동,10.64
20192,삼청동,32.33
20192,상계1동,31.58
20192,상계5동,21.25
20192,상도1동,24.56
20192,상도3동,33.33
20192,상도4동,6.7
20192,상암동,29.73
20192,상일동,5.23
20192,서강동,0.08
20192,서교동,48.97
20192,서림동,2.53
20192,서빙고동,3.34
20192,서원동,1.28
20192,서초1동,1.84
20192,서초2동,6.62
20192,서초3동,46.2
20192,서초4동,0.18
20192,석관동,39.32
20192,석촌동,45.74
20192,성내3동,0.04
20192,성북동,46.36
20192,성산1동,9.62
20192,성산2동,22.12
20192,성수2가1동,7.25
20192,성현동,0.07
20192,세곡동,36.96
20192,소공동,8.23
20192,송정동,13.65
20192,송중동,0.03
20192,송천동,17.69
20192,송파1동,0.04
20192,송파2동,4.39
20192,수궁동,5.26
20192,수색동,1.09
20192,수서동,30.62
20192,수유2동,9.62
20192,수유3동,15.38
20192,시흥1동,17.24
20192,시흥2동,10.91
20192,시흥3동,9.09
20192,시흥4동,9.09
20192,신길1동,6.06
20192,신길5동,15.15
20192,신길6동,16.67
20192,신길7동,18.18
20192,신내2동,36.0
20192,신당동,16.65
20192,신도림동,20.54
20192,신림동,38.01
20192,신사2동,0.04
20192,신사동,40.56
20192,신수동,1.67
20192,신원동,22.66
20192,신월1동,0.84
20192,신월2동,0.73
20192,신월3동,10.62
20192,신월4동,19.78
20192,신월5동,4.92
20192,신월6동,0.8
20192,신월7동,42.06
20192,신정1동,3.69
20192,신정2동,7.37
20192,신정3동,25.31
20192,신정4동,7.72
20192,신정7동,4.17
20192,신촌동,11.11
20192,쌍문1동,8.2
20192,쌍문2동,8.2
20192,아현동,37.03
20192,안암동,40.86
20192,압구정동,35.2
20192,약수동,35.02
20192,양재2동,3.05
20192,여의동,3.3
20192,역삼1동,5.24
20192,역삼2동,7.44
20192,역촌동,0.61
20192,연남동,47.12
20192,연희동,26.21
20192,염리동,0.99
20192,염창동,11.18
20192,영등포동,3.35
20192,오금동,47.04
20192,오류1동,0.09
20192,오류2동,0.47
20192,오륜동,1.78
20192,옥수동,44.59
20192,용강동,25.78
20192,용답동,18.16
20192,용문동,22.3
20192,용신동,0.08
20192,우이동,22.82
20192,우장산동,0.11
20192,위례동,32.17
20192,은천동,25.8
20192,응봉동,25.45
20192,응암3동,40.91
20192,이촌2동,3.68
20192,이태원2동,0.52
20192,이화동,32.16
20192,인수동,15.36
20192,인헌동,7.62
20192,일원본동,20.83
20192,자양1동,9.52
20192,자양2동,15.65
20192,자양3동,16.98
20192,자양4동,17.09
20192,잠실본동,27.48
20192,잠원동,24.9
20192,장안1동,0.12
20192,장안2동,0.22
20192,장위1동,71.43
20192,장지동,19.55
20192,장충동,37.1
20192,정릉2동,11.67
20192,정릉3동,10.0
20192,정릉4동,0.26
20192,제기동,38.83
20192,조원동,46.4
20192,종암동,32.38
20192,중계4동,2.03
20192,중계본동,21.25
20192,중곡1동,3.88
20192,중곡2동,13.18
20192,중곡3동,0.2
20192,중곡4동,0.23
20192,중림동,32.77
20192,중앙동,15.75
20192,증산동,27.71
20192,진관동,28.67
20192,창2동,1.08
20192,창3동,26.23
20192,창5동,5.56
20192,천연동,30.77
20192,청담동,49.29
20192,청량리동,0.02
20192,청룡동,23.3
20192,청림동,5.61
20192,청운효자동,0.24
20192,청파동,23.89
20192,평창동,55.15
20192,풍납2동,0.27
20192,필동,37.8
20192,한강로동,2.29
20192,한남동,36.19
20192,합정동,3.65
20192,항동,0.69
20192,행운동,0.45
20192,혜화동,33.78
20192,홍은2동,33.33
20192,화곡1동,72.42
20192,화곡2동,57.69
20192,화곡4동,14.74
20192,화곡6동,4.27
20192,화곡8동,4.27
20192,화곡본동,4.3
20192,화양동,20.53
20192,황학동,34.32
20192,회기동,23.57
20192,회현동,17.47
20192,효창동,1.91
20192,후암동,52.27
20192,흑석동,65.02
20193,가락본동,22.88
20193,가리봉동,5.05
20193,가산동,40.79
20193,가회동,30.26
20193,갈현2동,0.3
20193,강일동,35.95
20193,개봉1동,0.38
20193,개봉2동,8.82
20193,개봉3동,32.51
20193,개포4동,10.16
20193,고척2동,0.24
20193,공덕동,40.83
20193,공항동,39.8
20193,광장동,38.06
20193,광희동,2.61
20193,구로1동,17.01
20193,구로3동,9.83
20193,구로4동,4.27
20193,구로5동,1.69
20193,구산동,37.7
20193,구의3동,11.54
20193,군자동,32.53
20193,길동,42.86
20193,난곡동,32.45
20193,난향동,1.56
20193,남영동,19.72
20193,남현동,12.5
20193,내곡동,40.3
20193,노량진2동,0.27
20193,녹번동,54.9
20193,논현1동,3.82
20193,논현2동,13.33
20193,능동,8.75
20193,다산동,18.17
20193,대림1동,20.83
20193,대림2동,20.83
20193,대림3동,1.25
20193,대방동,25.06
20193,대조동,9.98
20193,대치1동,0.24
20193,대치2동,0.49
20193,대치4동,0.68
20193,대학동,51.29
20193,대흥동,19.46
20193,도곡1동,0.03
20193,도림동,19.0
20193,도봉2동,0.1
20193,도화동,23.68
20193,독산1동,0.1
20193,독산2동,6.67
20193,독산3동,45.33
20193,독산4동,20.0
20193,동선동,4.4
20193,둔촌2동,14.86
20193,등촌2동,27.03
20193,등촌3동,0.45
20193,마장동,38.96
20193,망우본동,21.74
20193,망원2동,12.99
20193,면목2동,35.59
20193,면목4동,10.87
20193,면목5동,23.91
20193,명동,25.99
20193,목2동,40.64
20193,목3동,22.29
20193,목4동,19.93
20193,목5동,12.39
20193,무악동,38.78
20193,묵1동,12.24
20193,문래동,18.06
20193,미성동,3.57
20193,미아동,41.53
20193,반포4동,32.0
20193,방배2동,19.23
20193,방배본동,6.69
20193,방이1동,2.91
20193,방이2동,13.04
20193,방학2동,17.39
20193,방학3동,10.0
20193,방화2동,31.25
20193,방화3동,31.25
20193,번1동,31.25
20193,번3동,10.87
20193,보광동,37.48
20193,보라매동,0.53
20193,보문동,34.84
20193,부암동,43.36
20193,북가좌2동,0.62
20193,북아현동,23.44
20193,사근동,20.56
20193,사직동,21.93
20193,삼각산동,0.3
20193,삼선동,7.79
20193,삼성1동,6.38
20193,삼성2동,9.04
20193,삼성동,38.99
20193,삼양동,2.94
20193,삼전동,10.77
20193,삼청동,38.85
20193,상계2동,26.32
20193,상도1동,47.37
20193,상도3동,33.33
20193,상도4동,7.47
20193,상봉1동,3.09
20193,상암동,32.44
20193,상일동,5.4
20193,서교동,52.42
20193,서림동,2.05
20193,서빙고동,2.2
20193,서원동,1.07
20193,서초1동,1.84
20193,서초2동,4.17
20193,서초3동,38.11
20193,서초4동,0.18
20193,석관동,36.84
20193,석촌동,42.03
20193,성내2동,0.11
20193,성내3동,0.05
20193,성북동,43.14
20193,성산2동,30.77
20193,성현동,0.11
20193,세곡동,37.01
20193,소공동,9.36
20193,송정동,14.06
20193,송중동,0.03
20193,송천동,18.11
20193,송파2동,4.82
20193,수궁동,10.31
20193,수색동,1.19
20193,수서동,34.25
20193,수유1동,9.62
20193,수유2동,28.85
20193,시흥2동,9.09
20193,시흥3동,18.18
20193,시흥4동,6.57
20193,시흥5동,10.1
20193,신길3동,28.57
20193,신길6동,15.15
20193,신길7동,24.24
20193,신내2동,20.0
20193,신당동,17.03
20193,신대방1동,0.02
20193,신도림동,16.85
20193,신림동,37.6
20193,신사2동,0.04
20193,신사동,48.86
20193,신수동,1.7
20193,신원동,24.31
20193,신월1동,0.67
20193,신월2동,0.59
20193,신월3동,8.42
20193,신월4동,21.45
20193,신월5동,8.71
20193,신월6동,1.14
20193,신월7동,57.58
20193,신정1동,2.3
20193,신정2동,3.99
20193,신정3동,36.11
20193,신정4동,8.33
20193,신정7동,5.56
20193,신촌동,14.47
20193,쌍문2동,13.11
20193,아현동,36.99
20193,안암동,40.38
20193,압구정동,39.6
20193,약수동,38.45
20193,양재2동,3.32
20193,여의동,3.46
20193,역삼1동,5.97
20193,역삼2동,7.76
20193,역촌동,0.63
20193,연남동,49.54
20193,연희동,29.33
20193,염리동,0.88
20193,염창동,13.51
20193,영등포동,3.81
20193,오금동,45.94
20193,오류1동,0.09
20193,오류2동,0.42
20193,오륜동,1.7
20193,옥수동,42.13
20193,왕십리도선동,0.1
20193,용강동,39.8
20193,용답동,15.68
20193,용문동,23.7
20193,용신동,0.11
20193,우이동,18.37
20193,월계2동,41.67
20193,위례동,32.48
20193,은천동,25.05
20193,응봉동,27.82
20193,응암3동,22.73
20193,이촌2동,3.07
20193,이화동,25.68
20193,인수동,10.49
20193,인헌동,9.27
20193,자양1동,3.4
20193,자양2동,18.37
20193,자양3동,12.93
20193,자양4동,14.1
20193,잠실본동,21.5
20193,잠원동,28.87
20193,장안1동,0.08
20193,장안2동,0.22
20193,장지동,21.03
20193,장충동,41.72
20193,정릉2동,8.33
20193,정릉3동,15.83
20193,정릉4동,0.35
20193,제기동,40.75
20193,조원동,47.25
20193,종암동,38.77
20193,중계본동,19.45
20193,중곡1동,4.65
20193,중곡3동,0.12
20193,중곡4동,0.29
20193,중림동,34.38
20193,중앙동,17.23
20193,증산동,25.01
20193,진관동,30.55
20193,창2동,1.08
20193,창3동,19.44
20193,천연동,46.15
20193,청담동,46.32
20193,청룡동,20.48
20193,청림동,5.61
20193,청운효자동,0.39
20193,청파동,22.24
20193,평창동,58.16
20193,필동,34.04
20193,한강로동,6.65
20193,한남동,41.95
20193,합정동,4.41
20193,항동,1.78
20193,행운동,0.49
20193,혜화동,36.37
20193,홍제3동,4.55
20193,화곡1동,24.24
20193,화곡2동,19.23
20193,화곡3동,26.92
20193,화곡4동,14.25
20193,화곡본동,3.19
20193,화양동,20.86
20193,황학동,31.84
20193,회기동,16.43
20193,회현동,17.68
20193,효창동,1.96
20193,후암동,53.51
20193,흑석동,66.91
20194,가락2동,7.38
20194,가락본동,36.43
20194,가리봉동,5.56
20194,가산동,42.66
20194,가양1동,35.29
20194,가양2동,44.12
20194,가회동,26.04
20194,갈현1동,0.23
20194,강일동,40.94
20194,개봉1동,2.07
20194,개봉2동,8.26
20194,개봉3동,26.45
20194,개포4동,14.87
20194,고덕2동,20.83
20194,고척2동,0.24
20194,공덕동,41.41
20194,공릉2동,0.29
20194,공항동,35.49
20194,광장동,43.3
20194,광희동,2.43
20194,교남동,10.94
20194,구로1동,40.51
20194,구로2동,9.03
20194,구로3동,38.75
20194,구로4동,9.4
20194,구로5동,1.82
20194,구산동,42.02
20194,구의2동,5.49
20194,구의3동,20.6
20194,군자동,34.55
20194,길동,47.94
20194,난곡동,45.03
20194,난향동,1.95
20194,남영동,21.76
20194,남현동,15.2
20194,내곡동,43.37
20194,노량진2동,0.27
20194,녹번동,51.64
20194,논현1동,2.94
20194,논현2동,22.35
20194,능동,9.92
20194,다산동,22.67
20194,답십리1동,0.04
20194,답십리2동,54.55
20194,대림1동,25.0
20194,대림3동,1.0
20194,대방동,23.0
20194,대조동,11.0
20194,대치2동,0.99
20194,대치4동,0.43
20194,대학동,45.59
20194,대흥동,18.87
20194,도곡1동,0.1
20194,도곡2동,0.02
20194,도림동,24.86
20194,도봉1동,0.27
20194,도화동,19.05
20194,독산1동,0.48
20194,독산2동,24.67
20194,독산3동,47.33
20194,독산4동,18.33
20194,동선동,11.97
20194,동화동,0.64
20194,둔촌2동,17.12
20194,등촌1동,27.93
20194,등촌2동,14.44
20194,등촌3동,0.68
20194,마장동,46.22
20194,망우3동,50.0
20194,망우본동,31.88
20194,망원2동,20.9
20194,면목2동,37.29
20194,면목4동,13.77
20194,면목5동,22.83
20194,면목7동,0.0
20194,명동,31.6
20194,목1동,1.37
20194,목2동,41.65
20194,목3동,24.03
20194,목4동,35.3
20194,목5동,29.73
20194,무악동,24.49
20194,묵2동,10.2
20194,문래동,20.97
20194,미성동,2.95
20194,미아동,49.03
20194,반포1동,3.18
20194,반포3동,20.0
20194,반포4동,46.67
20194,방배2동,30.77
20194,방배3동,23.08
20194,방배본동,18.22
20194,방이1동,5.43
20194,방이2동,34.78
20194,방학1동,12.32
20194,방학2동,16.3
20194,방학3동,17.33
20194,방화3동,59.38
20194,번3동,21.74
20194,보광동,36.78
20194,보라매동,0.59
20194,보문동,35.05
20194,부암동,57.28
20194,북가좌1동,0.02
20194,북아현동,28.86
20194,불광2동,0.52
20194,사근동,29.59
20194,사당3동,46.15
20194,사당4동,54.55
20194,사직동,23.85
20194,삼각산동,0.27
20194,삼선동,13.55
20194,삼성1동,5.32
20194,삼성2동,12.77
20194,삼성동,46.15
20194,삼양동,3.21
20194,삼전동,10.6
20194,삼청동,45.21
20194,상계1동,64.91
20194,상계2동,42.11
20194,상계5동,25.83
20194,상도1동,44.74
20194,상도2동,33.33
20194,상도3동,80.0
20194,상도4동,10.44
20194,상봉1동,3.09
20194,상봉2동,2.58
20194,상암동,43.38
20194,상일동,6.7
20194,서교동,50.46
20194,서림동,2.99
20194,서빙고동,2.99
20194,서원동,1.49
20194,서초1동,1.84
20194,서초2동,7.84
20194,서초3동,27.57
20194,서초4동,0.48
20194,석관동,38.21
20194,석촌동,43.03
20194,성내1동,0.2
20194,성내3동,0.07
20194,성북동,50.02
20194,성산1동,9.62
20194,성산2동,22.12
20194,성수1가2동,8.7
20194,성수2가1동,43.48
20194,성현동,0.13
20194,세곡동,40.84
20194,소공동,9.94
20194,송정동,13.51
20194,송중동,0.06
20194,송천동,18.44
20194,송파1동,0.07
20194,송파2동,5.7
20194,수궁동,19.88
20194,수색동,1.92
20194,수서동,16.42
20194,수유1동,0.17
20194,수유2동,14.74
20194,시흥1동,41.38
20194,시흥2동,15.45
20194,시흥3동,38.18
20194,시흥4동,7.07
20194,시흥5동,7.74
20194,신길1동,8.08
20194,신길3동,30.95
20194,신길4동,17.86
20194,신길6동,37.88
20194,신길7동,18.18
20194,신당동,24.18
20194,신대방1동,0.02
20194,신대방2동,1.07
20194,신도림동,27.92
20194,신림동,41.76
20194,신사동,52.94
20194,신수동,1.83
20194,신원동,26.81
20194,신월1동,1.27
20194,신월2동,1.01
20194,신월3동,14.33
20194,신월4동,23.94
20194,신월5동,3.8
20194,신월6동,1.85
20194,신월7동,38.81
20194,신정1동,5.76
20194,신정2동,9.22
20194,신정3동,22.45
20194,신정4동,18.52
20194,신정6동,10.65
20194,신정7동,7.64
20194,신촌동,23.61
20194,쌍문2동,23.5
20194,쌍문4동,0.13
20194,아현동,31.67
20194,안암동,47.52
20194,암사3동,0.19
20194,압구정동,30.53
20194,약수동,43.42
20194,양재1동,0.39
20194,양재2동,9.18
20194,양평1동,47.37
20194,여의동,9.75
20194,역삼1동,6.73
20194,역삼2동,7.13
20194,역촌동,0.68
20194,연남동,57.0
20194,연희동,36.55
20194,염리동,0.62
20194,염창동,13.37
20194,영등포동,4.73
20194,오금동,41.22
20194,오류1동,0.16
20194,오류2동,0.58
20194,오륜동,1.55
20194,옥수동,45.52
20194,왕십리도선동,0.1
20194,용강동,18.94
20194,용답동,14.6
20194,용문동,25.71
20194,용신동,0.08
20194,우이동,21.87
20194,우장산동,0.08
20194,원효로2동,45.83
20194,월계1동,50.0
20194,월계2동,50.0
20194,위례동,26.18
20194,은천동,15.85
20194,응봉동,26.63
20194,응암3동,90.91
20194,이문2동,46.15
20194,이촌1동,3.68
20194,이촌2동,5.93
20194,이태원2동,0.52
20194,이화동,55.69
20194,인수동,11.39
20194,인헌동,17.52
20194,일원본동,50.0
20194,자양1동,4.08
20194,자양2동,29.25
20194,자양3동,31.75
20194,자양4동,28.21
20194,잠실6동,100.0
20194,잠실7동,1.13
20194,잠실본동,37.7
20194,잠원동,38.61
20194,장안1동,0.08
20194,장안2동,0.25
20194,장위1동,42.86
20194,장위3동,0.08
20194,장지동,23.6
20194,장충동,46.21
20194,전농2동,0.43
20194,정릉1동,13.89
20194,정릉2동,21.67
20194,정릉3동,20.56
20194,정릉4동,0.45
20194,제기동,43.21
20194,조원동,48.45
20194,종암동,45.75
20194,중계본동,26.92
20194,중곡1동,3.88
20194,중곡2동,3.88
20194,중곡3동,0.13
20194,중곡4동,0.25
20194,중림동,37.26
20194,중앙동,18.3
20194,중화2동,0.18
20194,증산동,20.89
20194,진관동,30.69
20194,창2동,1.55
20194,창3동,26.62
20194,창5동,25.04
20194,창신2동,90.91
20194,천연동,26.92
20194,천호1동,24.64
20194,천호3동,18.52
20194,청담동,55.98
20194,청량리동,0.04
20194,청룡동,30.88
20194,청림동,9.28
20194,청운효자동,0.31
20194,청파동,20.67
20194,평창동,59.27
20194,풍납2동,0.97
20194,필동,40.54
20194,하계1동,0.32
20194,한강로동,2.29
20194,한남동,47.68
20194,합정동,3.99
20194,항동,1.58
20194,행운동,0.91
20194,혜화동,46.4
20194,홍은2동,40.0
20194,화곡1동,40.0
20194,화곡2동,37.18
20194,화곡3동,34.62
20194,화곡4동,41.6
20194,화곡6동,7.26
20194,화곡8동,4.27
20194,화곡본동,3.47
20194,화양동,30.69
20194,황학동,29.38
20194,회기동,20.62
20194,회현동,20.01
20194,효창동,2.03
20194,후암동,55.94
20194,휘경2동,0.06
20194,흑석동,69.53
20201,가락2동,8.57
20201,가락본동,39.05
20201,가리봉동,4.31
20201,가산동,33.85
20201,가회동,12.18
20201,갈현1동,0.23
20201,강일동,35.97
20201,개봉1동,1.45
20201,개봉2동,9.09
20201,개봉3동,13.22
20201,개포2동,1.86
20201,개포4동,15.22
20201,고덕2동,41.67
20201,고척1동,41.67
20201,고척2동,0.18
20201,공덕동,30.72
20201,공릉1동,0.16
20201,공항동,27.19
20201,광장동,34.79
20201,광희동,2.01
20201,교남동,13.54
20201,구로1동,27.6
20201,구로2동,4.86
20201,구로3동,20.8
20201,구로5동,1.17
20201,구산동,36.74
20201,구의1동,0.17
20201,구의2동,5.49
20201,구의3동,12.09
20201,군자동,32.19
20201,금호1가동,0.21
20201,길동,44.29
20201,낙성대동,31.25
20201,난곡동,36.7
20201,난향동,3.41
20201,남가좌2동,0.08
20201,남영동,18.6
20201,남현동,12.02
20201,내곡동,37.1
20201,노량진2동,0.35
20201,녹번동,60.24
20201,논현2동,13.92
20201,능동,8.75
20201,다산동,24.6
20201,답십리1동,0.05
20201,대림1동,27.08
20201,대림2동,33.36
20201,대림3동,0.4
20201,대방동,26.17
20201,대조동,10.28
20201,대치2동,1.25
20201,대치4동,0.6
20201,대학동,44.7
20201,대흥동,15.74
20201,도곡1동,0.08
20201,도림동,32.86
20201,도봉1동,0.18
20201,도봉2동,0.1
20201,도화동,17.97
20201,독산1동,0.29
20201,독산2동,7.56
20201,독산3동,24.89
20201,독산4동,14.44
20201,동선동,21.88
20201,동화동,1.03
20201,둔촌2동,33.78
20201,등촌1동,13.51
20201,등촌3동,0.58
20201,마장동,43.42
20201,망우3동,100.0
20201,망원2동,11.86
20201,면목2동,15.68
20201,면목4동,34.78
20201,면목5동,21.01
20201,면목본동,0.0
20201,명동,16.94
20201,명일2동,0.01
20201,목2동,32.0
20201,목3동,19.82
20201,목4동,42.34
20201,목5동,30.07
20201,무악동,16.33
20201,묵2동,10.2
20201,문래동,19.02
20201,문정2동,0.25
20201,미성동,2.0
20201,미아동,49.84
20201,반포1동,1.73
20201,반포2동,2.02
20201,반포3동,40.0
20201,반포4동,36.0
20201,방배1동,53.85
20201,방배2동,32.69
20201,방배3동,38.46
20201,방배4동,21.79
20201,방배본동,16.09
