quarter,dong_code,dong_name,store_total,store_normal,store_franchise,industry_code,industry_name,survival_1y,survival_3y,survival_5y,survival_1y_num,survival_1y_den,survival_3y_num,survival_3y_den,survival_5y_num,survival_5y_den,surv2_1y,surv2_3y,surv2_5y,avg_oper_period,avg_oper_period_90,open_count,close_count,open_rate,close_rate,golmok_avg_sales,income_level,income_raw,household_count,floating_pop,building_pop,resident_pop_api,worker_pop
20223,11440555,아현동,100.0,87.0,13.0,CS100001,한식,87.5,41.7,38.5,14.0,16.0,5.0,12.0,10.0,26.0,73.9,52.2,30.4,3.091666666666667,4.658333333333333,1.0,11.0,1.0,11.0,28186273.77,9,"9분위:4,890,362~6,945,811원",10610.0,80475.12115575782,122540.86361260904,346.24529609599995,75.42375804295142
20224,11440555,아현동,110.0,96.0,14.0,CS100001,한식,100.0,50.0,40.6,14.0,14.0,7.0,14.0,13.0,32.0,73.9,52.2,30.4,3.1333333333333333,4.641666666666667,2.0,2.0,1.8,1.8,23731804.336363636,9,"9분위:4,890,362~6,945,811원",10610.0,83044.11024405477,127767.83384732009,346.24529609599995,75.42375804295142
20231,11440555,아현동,101.0,86.0,15.0,CS100001,한식,50.0,66.7,40.0,3.0,6.0,12.0,18.0,4.0,10.0,70.0,50.0,40.0,2.925,4.633333333333334,6.0,7.0,5.9,6.9,30070955.683168318,9,"9분위:4,890,362~6,945,811원",10610.0,95352.5581917865,144301.96627490062,288.8243588185553,56.78949505656495
20232,11440555,아현동,102.0,86.0,16.0,CS100001,한식,55.6,64.7,33.3,5.0,9.0,11.0,17.0,4.0,12.0,70.0,50.0,40.0,2.9,4.641666666666667,6.0,7.0,5.9,6.9,25744645.07843137,9,"9분위:4,890,362~6,945,811원",10610.0,94411.44058385833,142432.53751338017,288.8243588185553,56.78949505656495
20233,11440555,아현동,103.0,89.0,14.0,CS100001,한식,72.7,58.8,28.6,8.0,11.0,10.0,17.0,4.0,14.0,70.0,50.0,40.0,3.0166666666666666,4.65,2.0,1.0,1.9,1.0,27600076.058252428,9,"9분위:4,890,362~6,945,811원",10610.0,90084.91940085837,123669.32722292094,288.8243588185553,56.78949505656495
20234,11440555,아현동,101.0,84.0,17.0,CS100001,한식,70.6,71.4,35.7,12.0,17.0,10.0,14.0,5.0,14.0,85.7,50.0,35.7,2.8833333333333333,4.65,3.0,3.0,3.0,3.0,29517364.801980197,9,"9분위:4,890,362~6,945,811원",11924.0,101808.1144544207,152877.86117994404,380.6790495452491,59.301828999214024
20241,11440555,아현동,101.0,84.0,17.0,CS100001,한식,61.5,72.2,28.6,8.0,13.0,13.0,18.0,2.0,7.0,85.7,50.0,35.7,2.925,4.641666666666667,6.0,4.0,5.9,4.0,28988074.148514852,9,"9분위:4,890,362~6,945,811원",11924.0,100514.35651854253,147661.2417113183,380.6790495452491,59.301828999214024
20242,11440555,아현동,99.0,83.0,16.0,CS100001,한식,50.0,66.7,40.0,6.0,12.0,12.0,18.0,4.0,10.0,70.0,50.0,40.0,2.941666666666667,4.641666666666667,3.0,5.0,3.0,5.1,29765002.646464646,9,"9분위:4,890,362~6,945,811원",11924.0,95099.37673109549,141385.5732612071,380.6790495452491,59.301828999214024
20243,11440555,아현동,101.0,84.0,17.0,CS100001,한식,68.2,56.3,33.3,15.0,22.0,9.0,16.0,4.0,12.0,85.7,50.0,35.7,2.8666666666666667,4.658333333333333,5.0,5.0,5.0,5.0,30196145.702970296,9,"9분위:4,890,362~6,945,811원",11924.0,100915.55072279593,141493.93022415353,380.6790495452491,59.301828999214024
20244,11440555,아현동,101.0,84.0,17.0,CS100001,한식,70.6,71.4,35.7,12.0,17.0,10.0,14.0,5.0,14.0,85.7,50.0,35.7,2.8833333333333333,4.65,3.0,3.0,3.0,3.0,29517364.801980197,9,"9분위:4,890,362~6,945,811원",11924.0,101808.1144544207,152877.86117994404,380.6790495452491,59.301828999214024
20191,11440555,아현동,6.0,6.0,0.0,CS100002,중식,,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,100.0,50.0,0.0,3.6083333333333334,4.925,1.0,0.0,16.7,0.0,14539019.42857143,9,"9분위:4,890,362~6,945,811원",11321.0,89742.91954607722,181905.94375434305,367.5934171380822,76.95534130210646
20192,11440555,아현동,5.0,5.0,0.0,CS100002,중식,100.0,,100.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,50.0,0.0,3.675,4.991666666666666,1.0,0.0,20.0,0.0,19689740.5,9,"9분위:4,890,362~6,945,811원",11321.0,85809.15542446442,179251.35790132603,367.5934171380822,76.95534130210646
20193,11440555,아현동,4.0,4.0,0.0,CS100002,중식,100.0,,100.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,50.0,0.0,4.65,5.075,0.0,0.0,0.0,0.0,28842791.4,9,"9분위:4,890,362~6,945,811원",11177.0,84604.10840314941,176287.28505877827,360.23106954144214,76.95534130210646
20194,11440555,아현동,6.0,6.0,0.0,CS100002,중식,100.0,50.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,,,,3.341666666666667,4.775,1.0,1.0,16.7,16.7,11466377.0,9,"9분위:4,890,362~6,945,811원",10034.0,86870.47544835453,178307.19949003326,322.65353992866426,76.95534130210646
20201,11440555,아현동,6.0,6.0,0.0,CS100002,중식,,50.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,3.3583333333333334,4.791666666666667,0.0,0.0,0.0,0.0,12237995.333333334,9,"9분위:4,890,362~6,945,811원",10034.0,87222.52463890627,179654.044645062,322.65353992866426,76.95534130210646
20202,11440555,아현동,6.0,6.0,0.0,CS100002,중식,,50.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,100.0,50.0,0.0,3.3333333333333335,4.791666666666667,1.0,1.0,16.7,16.7,12639843.333333334,9,"9분위:4,890,362~6,945,811원",10034.0,88633.945786922,181044.49149768276,322.65353992866426,76.95534130210646
20203,11440555,아현동,6.0,6.0,0.0,CS100002,중식,100.0,50.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,,,,3.3666666666666667,4.783333333333333,0.0,0.0,0.0,0.0,21036077.5,9,"9분위:4,890,362~6,945,811원",10034.0,86225.38332755111,181683.88516559562,322.65353992866426,76.95534130210646
20204,11440555,아현동,6.0,6.0,0.0,CS100002,중식,100.0,50.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,,,,3.341666666666667,4.775,1.0,1.0,16.7,16.7,11466377.0,9,"9분위:4,890,362~6,945,811원",10034.0,86870.47544835453,178307.19949003326,322.65353992866426,76.95534130210646
20211,11440555,아현동,7.0,6.0,1.0,CS100002,중식,50.0,,100.0,1.0,2.0,0.0,0.0,1.0,1.0,50.0,50.0,50.0,2.8,4.558333333333334,1.0,0.0,14.3,0.0,35458374.14285714,9,"9분위:4,890,362~6,945,811원",10610.0,84804.36963175437,165424.6825054988,346.24529609599995,76.32389908122676
20212,11440555,아현동,6.0,6.0,0.0,CS100002,중식,66.7,100.0,,2.0,3.0,1.0,1.0,0.0,0.0,50.0,50.0,50.0,2.9916666666666667,4.675,0.0,0.0,0.0,0.0,51614728.833333336,9,"9분위:4,890,362~6,945,811원",10610.0,87804.67406173475,175235.44142560975,346.24529609599995,76.32389908122676
20213,11440555,아현동,6.0,6.0,0.0,CS100002,중식,66.7,100.0,,2.0,3.0,1.0,1.0,0.0,0.0,50.0,50.0,50.0,3.15,4.658333333333333,0.0,1.0,0.0,16.7,55750149.666666664,9,"9분위:4,890,362~6,945,811원",10610.0,86951.313487568,0.0,346.24529609599995,76.32389908122676
20214,11440555,아현동,7.0,6.0,1.0,CS100002,중식,100.0,0.0,50.0,1.0,1.0,0.0,1.0,1.0,2.0,100.0,100.0,0.0,2.7916666666666665,4.508333333333334,0.0,0.0,0.0,0.0,59010056.28571428,9,"9분위:4,890,362~6,945,811원",10610.0,83044.11024405477,127767.83384732009,346.24529609599995,75.42375804295142
20221,11440555,아현동,7.0,6.0,1.0,CS100002,중식,100.0,,50.0,2.0,2.0,0.0,0.0,1.0,2.0,100.0,100.0,0.0,2.7083333333333335,4.475,1.0,1.0,14.3,14.3,39816018.0,9,"9분위:4,890,362~6,945,811원",10610.0,81613.04721248742,126289.8239810715,346.24529609599995,75.42375804295142
20222,11440555,아현동,7.0,6.0,1.0,CS100002,중식,100.0,,50.0,2.0,2.0,0.0,0.0,1.0,2.0,50.0,50.0,50.0,2.8583333333333334,4.583333333333333,0.0,0.0,0.0,0.0,37725978.14285714,9,"9분위:4,890,362~6,945,811원",10610.0,82201.2423587073,164759.82197106743,346.24529609599995,75.42375804295142
20223,11440555,아현동,5.0,4.0,1.0,CS100002,중식,100.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,100.0,100.0,0.0,2.8666666666666667,4.533333333333333,0.0,2.0,0.0,40.0,56302561.8,9,"9분위:4,890,362~6,945,811원",10610.0,80475.12115575782,122540.86361260904,346.24529609599995,75.42375804295142
20224,11440555,아현동,7.0,6.0,1.0,CS100002,중식,100.0,0.0,50.0,1.0,1.0,0.0,1.0,1.0,2.0,100.0,100.0,0.0,2.7916666666666665,4.508333333333334,0.0,0.0,0.0,0.0,59010056.28571428,9,"9분위:4,890,362~6,945,811원",10610.0,83044.11024405477,127767.83384732009,346.24529609599995,75.42375804295142
20231,11440555,아현동,5.0,4.0,1.0,CS100002,중식,100.0,50.0,,1.0,1.0,1.0,2.0,0.0,0.0,,,,2.925,4.65,0.0,0.0,0.0,0.0,55586379.0,9,"9분위:4,890,362~6,945,811원",10610.0,95352.5581917865,144301.96627490062,288.8243588185553,56.78949505656495
20232,11440555,아현동,5.0,4.0,1.0,CS100002,중식,100.0,33.3,0.0,2.0,2.0,1.0,3.0,0.0,1.0,,,,3.1,4.616666666666666,0.0,0.0,0.0,0.0,54915845.0,9,"9분위:4,890,362~6,945,811원",10610.0,94411.44058385833,142432.53751338017,288.8243588185553,56.78949505656495
20233,11440555,아현동,5.0,4.0,1.0,CS100002,중식,100.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,,,,3.0166666666666666,4.591666666666667,0.0,0.0,0.0,0.0,60729934.0,9,"9분위:4,890,362~6,945,811원",10610.0,90084.91940085837,123669.32722292094,288.8243588185553,56.78949505656495
20234,11440555,아현동,4.0,3.0,1.0,CS100002,중식,,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,66.7,0.0,0.0,2.9583333333333335,4.608333333333333,0.0,1.0,0.0,25.0,54942647.75,9,"9분위:4,890,362~6,945,811원",11924.0,101808.1144544207,152877.86117994404,380.6790495452491,59.301828999214024
20241,11440555,아현동,5.0,4.0,1.0,CS100002,중식,,50.0,,0.0,0.0,1.0,2.0,0.0,0.0,66.7,0.0,0.0,2.875,4.583333333333333,0.0,1.0,0.0,20.0,55180665.2,9,"9분위:4,890,362~6,945,811원",11924.0,100514.35651854253,147661.2417113183,380.6790495452491,59.301828999214024
20242,11440555,아현동,6.0,5.0,1.0,CS100002,중식,100.0,100.0,,1.0,1.0,2.0,2.0,0.0,0.0,,,,2.8,4.558333333333334,1.0,0.0,16.7,0.0,44681356.666666664,9,"9분위:4,890,362~6,945,811원",11924.0,95099.37673109549,141385.5732612071,380.6790495452491,59.301828999214024
20243,11440555,아현동,4.0,3.0,1.0,CS100002,중식,,100.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,66.7,0.0,0.0,3.1083333333333334,4.641666666666667,0.0,0.0,0.0,0.0,57873945.0,9,"9분위:4,890,362~6,945,811원",11924.0,100915.55072279593,141493.93022415353,380.6790495452491,59.301828999214024
20244,11440555,아현동,4.0,3.0,1.0,CS100002,중식,,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,66.7,0.0,0.0,2.9583333333333335,4.608333333333333,0.0,1.0,0.0,25.0,54942647.75,9,"9분위:4,890,362~6,945,811원",11924.0,101808.1144544207,152877.86117994404,380.6790495452491,59.301828999214024
20191,11440555,아현동,15.0,10.0,5.0,CS100003,일식,100.0,100.0,0.0,5.0,5.0,2.0,2.0,0.0,1.0,100.0,0.0,0.0,4.558333333333334,3.975,0.0,0.0,0.0,0.0,,9,"9분위:4,890,362~6,945,811원",11321.0,89742.91954607722,181905.94375434305,367.5934171380822,76.95534130210646
20192,11440555,아현동,15.0,10.0,5.0,CS100003,일식,100.0,100.0,0.0,6.0,6.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,4.5,3.95,1.0,0.0,6.7,0.0,,9,"9분위:4,890,362~6,945,811원",11321.0,85809.15542446442,179251.35790132603,367.5934171380822,76.95534130210646
20193,11440555,아현동,14.0,9.0,5.0,CS100003,일식,100.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,4.675,4.008333333333334,0.0,0.0,0.0,0.0,,9,"9분위:4,890,362~6,945,811원",11177.0,84604.10840314941,176287.28505877827,360.23106954144214,76.95534130210646
20194,11440555,아현동,14.0,9.0,5.0,CS100003,일식,100.0,100.0,50.0,2.0,2.0,1.0,1.0,1.0,2.0,100.0,100.0,0.0,4.533333333333333,3.975,0.0,0.0,0.0,0.0,,9,"9분위:4,890,362~6,945,811원",10034.0,86870.47544835453,178307.19949003326,322.65353992866426,76.95534130210646
20201,11440555,아현동,14.0,9.0,5.0,CS100003,일식,100.0,50.0,33.3,3.0,3.0,1.0,2.0,1.0,3.0,100.0,100.0,0.0,4.466666666666667,3.941666666666667,1.0,2.0,7.1,14.3,,9,"9분위:4,890,362~6,945,811원",10034.0,87222.52463890627,179654.044645062,322.65353992866426,76.95534130210646
20202,11440555,아현동,15.0,10.0,5.0,CS100003,일식,100.0,100.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,100.0,0.0,0.0,4.616666666666666,4.0,0.0,0.0,0.0,0.0,,9,"9분위:4,890,362~6,945,811원",10034.0,88633.945786922,181044.49149768276,322.65353992866426,76.95534130210646
20203,11440555,아현동,13.0,9.0,4.0,CS100003,일식,100.0,100.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,100.0,100.0,0.0,4.325,4.008333333333334,1.0,2.0,7.7,15.4,,9,"9분위:4,890,362~6,945,811원",10034.0,86225.38332755111,181683.88516559562,322.65353992866426,76.95534130210646
20204,11440555,아현동,14.0,9.0,5.0,CS100003,일식,100.0,100.0,50.0,2.0,2.0,1.0,1.0,1.0,2.0,100.0,100.0,0.0,4.533333333333333,3.975,0.0,0.0,0.0,0.0,,9,"9분위:4,890,362~6,945,811원",10034.0,86870.47544835453,178307.19949003326,322.65353992866426,76.95534130210646
20211,11440555,아현동,14.0,10.0,4.0,CS100003,일식,100.0,60.0,50.0,2.0,2.0,3.0,5.0,1.0,2.0,100.0,50.0,50.0,3.8583333333333334,3.975,0.0,0.0,0.0,0.0,3909148.285714286,9,"9분위:4,890,362~6,945,811원",10610.0,84804.36963175437,165424.6825054988,346.24529609599995,76.32389908122676
20212,11440555,아현동,14.0,10.0,4.0,CS100003,일식,100.0,66.7,0.0,1.0,1.0,4.0,6.0,0.0,1.0,100.0,50.0,50.0,3.7916666666666665,3.941666666666667,0.0,0.0,0.0,0.0,4263268.0,9,"9분위:4,890,362~6,945,811원",10610.0,87804.67406173475,175235.44142560975,346.24529609599995,76.32389908122676
20213,11440555,아현동,14.0,10.0,4.0,CS100003,일식,100.0,50.0,,2.0,2.0,2.0,4.0,0.0,0.0,100.0,50.0,50.0,3.725,3.908333333333333,1.0,0.0,7.1,0.0,4252915.928571428,9,"9분위:4,890,362~6,945,811원",10610.0,86951.313487568,0.0,346.24529609599995,76.32389908122676
20214,11440555,아현동,15.0,11.0,4.0,CS100003,일식,100.0,50.0,100.0,4.0,4.0,1.0,2.0,1.0,1.0,100.0,50.0,50.0,3.75,4.0,1.0,0.0,6.7,0.0,5080636.466666667,9,"9분위:4,890,362~6,945,811원",10610.0,83044.11024405477,127767.83384732009,346.24529609599995,75.42375804295142
20221,11440555,아현동,14.0,10.0,4.0,CS100003,일식,100.0,66.7,50.0,4.0,4.0,2.0,3.0,1.0,2.0,100.0,50.0,50.0,3.85,4.05,0.0,0.0,0.0,0.0,3895800.285714286,9,"9분위:4,890,362~6,945,811원",10610.0,81613.04721248742,126289.8239810715,346.24529609599995,75.42375804295142
20222,11440555,아현동,14.0,10.0,4.0,CS100003,일식,100.0,66.7,50.0,4.0,4.0,2.0,3.0,1.0,2.0,100.0,50.0,50.0,3.783333333333333,4.008333333333334,0.0,0.0,0.0,0.0,5213003.071428572,9,"9분위:4,890,362~6,945,811원",10610.0,82201.2423587073,164759.82197106743,346.24529609599995,75.42375804295142
20223,11440555,아현동,15.0,11.0,4.0,CS100003,일식,100.0,100.0,50.0,3.0,3.0,1.0,1.0,1.0,2.0,100.0,50.0,50.0,3.45,4.041666666666667,0.0,0.0,0.0,0.0,4198299.666666667,9,"9분위:4,890,362~6,945,811원",10610.0,80475.12115575782,122540.86361260904,346.24529609599995,75.42375804295142
20224,11440555,아현동,15.0,11.0,4.0,CS100003,일식,100.0,50.0,100.0,4.0,4.0,1.0,2.0,1.0,1.0,100.0,50.0,50.0,3.75,4.0,1.0,0.0,6.7,0.0,5080636.466666667,9,"9분위:4,890,362~6,945,811원",10610.0,83044.11024405477,127767.83384732009,346.24529609599995,75.42375804295142
20231,11440555,아현동,14.0,10.0,4.0,CS100003,일식,100.0,100.0,60.0,1.0,1.0,2.0,2.0,3.0,5.0,100.0,66.7,66.7,3.533333333333333,4.05,0.0,0.0,0.0,0.0,4106112.9285714286,9,"9분위:4,890,362~6,945,811원",10610.0,95352.5581917865,144301.96627490062,288.8243588185553,56.78949505656495
20232,11440555,아현동,14.0,10.0,4.0,CS100003,일식,100.0,100.0,66.7,1.0,1.0,1.0,1.0,4.0,6.0,100.0,66.7,66.7,3.45,4.008333333333334,2.0,1.0,14.3,7.1,4069043.9285714286,9,"9분위:4,890,362~6,945,811원",10610.0,94411.44058385833,142432.53751338017,288.8243588185553,56.78949505656495
20233,11440555,아현동,13.0,9.0,4.0,CS100003,일식,,100.0,50.0,0.0,0.0,2.0,2.0,2.0,4.0,100.0,66.7,66.7,3.7,4.125,0.0,0.0,0.0,0.0,4558752.538461538,9,"9분위:4,890,362~6,945,811원",10610.0,90084.91940085837,123669.32722292094,288.8243588185553,56.78949505656495
20234,11440555,아현동,14.0,11.0,3.0,CS100003,일식,100.0,50.0,50.0,2.0,2.0,2.0,4.0,1.0,2.0,100.0,100.0,100.0,3.6,4.058333333333334,1.0,0.0,7.1,0.0,3269473.714285714,9,"9분위:4,890,362~6,945,811원",11924.0,101808.1144544207,152877.86117994404,380.6790495452491,59.301828999214024
20241,11440555,아현동,13.0,10.0,3.0,CS100003,일식,100.0,50.0,66.7,1.0,1.0,2.0,4.0,2.0,3.0,100.0,100.0,100.0,3.5833333333333335,4.075,0.0,1.0,0.0,7.7,4351097.307692308,9,"9분위:4,890,362~6,945,811원",11924.0,100514.35651854253,147661.2417113183,380.6790495452491,59.301828999214024
20242,11440555,아현동,14.0,11.0,3.0,CS100003,일식,100.0,50.0,66.7,1.0,1.0,2.0,4.0,2.0,3.0,100.0,66.7,66.7,3.475,4.025,1.0,1.0,7.1,7.1,3323546.8571428573,9,"9분위:4,890,362~6,945,811원",11924.0,95099.37673109549,141385.5732612071,380.6790495452491,59.301828999214024
20243,11440555,아현동,13.0,11.0,2.0,CS100003,일식,100.0,33.3,100.0,2.0,2.0,1.0,3.0,1.0,1.0,100.0,100.0,100.0,3.558333333333333,4.033333333333333,1.0,2.0,7.7,15.4,3334874.846153846,9,"9분위:4,890,362~6,945,811원",11924.0,100915.55072279593,141493.93022415353,380.6790495452491,59.301828999214024
20244,11440555,아현동,14.0,11.0,3.0,CS100003,일식,100.0,50.0,50.0,2.0,2.0,2.0,4.0,1.0,2.0,100.0,100.0,100.0,3.6,4.058333333333334,1.0,0.0,7.1,0.0,3269473.714285714,9,"9분위:4,890,362~6,945,811원",11924.0,101808.1144544207,152877.86117994404,380.6790495452491,59.301828999214024
20191,11440555,아현동,6.0,6.0,0.0,CS100004,양식,100.0,50.0,,1.0,1.0,1.0,2.0,0.0,0.0,,,,2.075,3.25,0.0,0.0,0.0,0.0,,9,"9분위:4,890,362~6,945,811원",11321.0,89742.91954607722,181905.94375434305,367.5934171380822,76.95534130210646
20192,11440555,아현동,6.0,6.0,0.0,CS100004,양식,,100.0,,0.0,0.0,1.0,1.0,0.0,0.0,,,,2.15,3.2333333333333334,0.0,0.0,0.0,0.0,,9,"9분위:4,890,362~6,945,811원",11321.0,85809.15542446442,179251.35790132603,367.5934171380822,76.95534130210646
20193,11440555,아현동,6.0,6.0,0.0,CS100004,양식,,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2.05,3.216666666666667,2.0,0.0,33.3,0.0,,9,"9분위:4,890,362~6,945,811원",11177.0,84604.10840314941,176287.28505877827,360.23106954144214,76.95534130210646
20194,11440555,아현동,6.0,6.0,0.0,CS100004,양식,75.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,2.05,3.225,1.0,0.0,16.7,0.0,,9,"9분위:4,890,362~6,945,811원",10034.0,86870.47544835453,178307.19949003326,322.65353992866426,76.95534130210646
20201,11440555,아현동,5.0,5.0,0.0,CS100004,양식,75.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,2.15,3.275,0.0,0.0,0.0,0.0,,9,"9분위:4,890,362~6,945,811원",10034.0,87222.52463890627,179654.044645062,322.65353992866426,76.95534130210646
20202,11440555,아현동,5.0,5.0,0.0,CS100004,양식,100.0,50.0,,2.0,2.0,1.0,2.0,0.0,0.0,,,,2.1166666666666667,3.2666666666666666,0.0,1.0,0.0,20.0,,9,"9분위:4,890,362~6,945,811원",10034.0,88633.945786922,181044.49149768276,322.65353992866426,76.95534130210646
20203,11440555,아현동,6.0,6.0,0.0,CS100004,양식,66.7,,0.0,2.0,3.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,2.1,3.25,0.0,0.0,0.0,0.0,,9,"9분위:4,890,362~6,945,811원",10034.0,86225.38332755111,181683.88516559562,322.65353992866426,76.95534130210646
20204,11440555,아현동,6.0,6.0,0.0,CS100004,양식,75.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,2.05,3.225,1.0,0.0,16.7,0.0,,9,"9분위:4,890,362~6,945,811원",10034.0,86870.47544835453,178307.19949003326,322.65353992866426,76.95534130210646
