quarter,dong_code,industry_code,dong_name,industry_name,monthly_sales,monthly_count,weekday_sales,weekend_sales,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,time_00_06_sales,time_06_11_sales,time_11_14_sales,time_14_17_sales,time_17_21_sales,time_21_24_sales,male_sales,female_sales,age_10_sales,age_20_sales,age_30_sales,age_40_sales,age_50_sales,age_60_above_sales,weekday_count,weekend_count,mon_count,tue_count,wed_count,thu_count,fri_count,sat_count,sun_count,time_00_06_count,time_06_11_count,time_11_14_count,time_14_17_count,time_17_21_count,time_21_24_count,male_count,female_count,age_10_count,age_20_count,age_30_count,age_40_count,age_50_count,age_60_above_count
20191,11440600,CS100009,대흥동,호프-간이주점,155037456,3521,100695844,54341612,12983093,20458883,18032987,18392229,30828652,26846249,27495363,83672058,5012561,1822749,1367062,9531546,53631480,113074297,35406058,1626532,58042370,36818257,37345464,10359066,4288666,2343,1178,362,490,370,420,701,654,524,1795,64,27,18,274,1343,2454,1025,34,1776,799,552,234,83
20191,11440610,CS100009,염리동,호프-간이주점,69973353,6955,57584566,12388787,9700482,9320708,13626264,10073887,14863225,9948396,2440391,567497,0,12958937,17688543,22891497,15866879,18365358,43309547,224089,24690856,13860282,14312914,7283845,1302916,5474,1481,853,960,1354,1137,1170,1090,391,6,0,1606,2856,2181,306,1180,5605,13,3516,1362,1467,330,98
20191,11440610,CS100008,염리동,분식전문점,284149749,17334,174085397,110064352,24940744,34058896,37352745,36581180,41151832,60758818,49305534,207983,4104514,82413559,68586563,102384129,26453001,121865460,161803329,12172778,56037082,91919144,64559182,33675084,25305520,10507,6827,1525,2143,2193,2074,2572,3850,2977,13,306,4866,4668,6005,1476,7244,10051,882,3258,5975,3883,2094,1203
20191,11440610,CS100007,염리동,치킨전문점,362991923,14364,266251968,96739955,44566654,45138384,56532864,53730348,66283718,56057587,40682368,44644250,0,18950289,16079504,130078162,153239718,182341207,136686987,7001813,60021130,84119833,96746394,58242823,12896201,10578,3786,1691,1946,2140,2136,2665,2138,1648,1297,0,1507,734,5694,5132,7573,5893,413,2907,3394,3800,2322,627
20191,11440610,CS100006,염리동,패스트푸드점,47577190,3309,38604677,8972513,6490755,7343990,7755240,5988633,11026059,7560240,1412273,0,991399,7162460,7336307,22463855,9623169,24636867,19358066,1117227,17797923,6912257,7851866,7044817,3270844,2664,645,487,525,526,542,584,410,235,0,142,1055,690,1038,384,1538,1484,51,809,531,823,566,244
20191,11440610,CS100005,염리동,제과점,585486572,61034,387928964,197557608,62903927,74978280,85086247,85795611,79164899,98522575,99035033,0,78000941,191418422,149399590,152853384,13814235,222106571,339519206,4559710,103560008,172138676,152500026,84009629,44857730,41779,19255,7345,7821,9032,9233,8348,9690,9565,0,9351,18265,15347,16161,1910,22621,36965,807,13989,17530,14593,8550,4118
20191,11440610,CS100001,염리동,한식음식점,2503359817,67567,1856218451,647141366,288600452,367427641,340518121,428529904,431142333,324947886,322193480,79670933,19361559,694689773,218717806,1118925026,371994720,1203818498,713378384,6534590,312098733,420633507,465255065,447493871,265181110,53495,14072,9933,10398,10199,11349,11616,7883,6189,2031,831,29557,6005,22213,6930,34313,24192,399,12331,13866,14285,10838,6784
20191,11440610,CS100004,염리동,양식음식점,258467407,5946,181763275,76704132,15256472,46157992,30512768,30016014,59820029,69565163,7138969,10305236,461385,29879566,13676334,91279630,112865256,100657973,113008422,230265,95826830,64851485,28471612,19038008,5248199,4407,1539,618,931,767,785,1306,1312,227,162,25,1693,779,1881,1406,2141,3194,19,2006,1700,782,548,280
20191,11440610,CS100003,염리동,일식음식점,356111044,4079,280883904,75227140,47352782,53186344,49395809,64146579,66802390,54996763,20230377,1392671,0,0,0,218492401,136225972,182924540,92167010,0,64690500,96828357,77024792,28057716,8490187,3219,860,561,610,572,736,740,651,209,21,0,0,0,2514,1544,2134,1151,0,813,1231,836,311,92
20191,11440610,CS100010,염리동,커피-음료,100071719,17252,68421617,31650102,12986389,13352660,12091111,14297849,15693608,15993370,15656732,0,2478636,27601828,29117116,33027855,7846284,35889074,59070427,17129665,19292105,15224484,27253250,13933223,2126773,11731,5521,2217,2280,2044,2469,2721,2867,2654,0,606,4304,5340,5724,1278,5772,11057,3859,3622,2244,4606,2236,261
20191,11440630,CS100002,신수동,중식음식점,254428035,13011,167747740,86680295,27946408,35191727,30967159,35463204,38179242,45179510,41500785,4287150,1189247,104606152,38803040,88976952,16565494,148744810,72557921,1731470,40217181,46091951,75204076,36949431,21108623,8868,4143,1390,1816,1739,1902,2021,2147,1996,103,89,5998,2243,4224,354,7853,3736,104,2025,2740,3793,1970,956
20191,11440630,CS100001,신수동,한식음식점,1621702931,70192,1252280414,369422517,220483066,243328307,228970271,271270007,288228763,200696420,168726097,37453470,18828341,597263007,170085736,521148501,276923876,801044496,443267653,7620677,167833241,230741231,316238960,320228681,201649361,55478,14714,9674,10740,10663,12210,12191,8556,6158,1565,2025,30468,8431,21731,5972,40781,20929,849,11249,12952,14653,12980,9022
20191,11440630,CS100004,신수동,양식음식점,114902860,2949,73696753,41206107,10942837,15499920,17117840,10980381,19155775,23146099,18060008,16074090,0,7391020,8105830,32055534,51276386,50003551,62306278,1452196,71316591,12554784,9932342,15655023,1398894,1900,1049,309,385,374,396,436,556,493,452,0,602,226,827,842,1759,1133,56,1618,438,351,378,51
20191,11440630,CS100005,신수동,제과점,333932537,42851,233837015,100095522,41116816,47029667,49209816,48603624,47877092,52163629,47931893,447480,41559330,74000957,67001374,104624582,46298814,166840756,156835729,2584186,74978637,68380253,90828871,65525824,21378716,29712,13139,5373,5733,6155,6410,6041,6213,6926,89,6675,9331,8567,12083,6106,22160,19912,499,12833,8998,9850,7608,2284
20191,11440630,CS100006,신수동,패스트푸드점,60261504,2040,36754528,23506976,6686715,7188307,7286152,6806821,8786533,12589019,10917957,0,0,14774590,8433357,32690661,4362896,25714262,25483666,126429,7089913,14710276,15874246,8454245,4942820,1191,849,202,241,263,199,286,446,403,0,0,489,290,1113,148,884,972,5,264,527,560,351,147
20191,11440630,CS100007,신수동,치킨전문점,51081618,2448,38995673,12085945,4069134,9462320,7346319,9551332,8566568,6567258,5518687,7314578,0,0,1313031,17449307,25004702,32585061,9228730,565412,5291234,5962631,14430156,11896338,3668022,1795,653,269,324,345,368,489,385,268,268,0,0,91,1001,1088,1695,579,36,367,382,718,559,211
20191,11440630,CS100008,신수동,분식전문점,128370857,9323,111571994,16798863,20629808,18759507,29585512,21144653,21452514,16491085,307778,0,13473758,46577798,17755774,50563527,0,47629193,51279177,1276053,19635534,25476451,32155981,14326150,6038201,7932,1391,1219,1845,1496,1722,1650,1339,52,0,61,3413,1711,4138,0,3638,5007,140,1843,2317,2695,1121,526
20191,11440630,CS100009,신수동,호프-간이주점,50577605,1739,33252381,17325224,4501234,7552558,7218760,7080012,6899817,6539517,10785707,18191584,163729,0,212361,6015306,25994625,42584388,4059795,0,10638372,10015201,9396603,9964109,6629898,1245,494,164,271,267,274,269,200,294,510,5,0,15,330,879,1497,147,0,337,352,340,359,255
20191,11440630,CS100010,신수동,커피-음료,813628541,118269,588584576,225043965,111035433,113091605,129010181,125338515,110108842,108647888,116396077,0,155377123,272369865,219286443,143916365,22678745,396173820,332302917,816105,148240843,208030408,200990553,126117310,44281521,86880,31389,15571,16847,18278,19102,17082,14657,16732,0,26314,36386,31015,21239,3315,59479,50354,184,25121,32198,32685,14877,4770
20191,11440655,CS100006,서강동,패스트푸드점,151701867,5877,92634047,59067820,18137538,17847807,18846701,19000819,18801182,28664982,30402838,0,0,40162768,44239633,67211973,87493,73547370,72229820,1837293,70288498,41052319,17925737,13288287,1385055,3695,2182,727,722,750,792,704,1077,1105,0,0,1478,1738,2655,6,2775,2941,90,2851,1531,677,521,47
20191,11440655,CS100005,서강동,제과점,905545627,95919,605092146,300453481,92682698,108087137,122624998,138255437,143441876,173033809,127419672,1494604,98286003,148505936,229242806,323786509,104229769,323575495,542571697,14575241,351464217,189314773,142829898,116490930,51472132,67133,28786,11580,12462,13762,14319,15010,15910,12876,72,13816,16692,23076,30804,11459,34008,58953,1718,35882,19766,16646,13242,5706
20191,11440655,CS100004,서강동,양식음식점,1478306010,48494,893165922,585140088,108827856,144757248,182921147,202499492,254160179,336433218,248706870,55278223,900233,311980503,306217163,586470750,217459138,610803326,782805174,34281450,606158271,387065866,175530035,161233142,29339741,30092,18402,3307,5021,6239,7161,8364,10812,7590,1767,43,11793,12091,17957,4843,18286,28947,2546,23814,10639,4894,4517,821
20191,11440655,CS100003,서강동,일식음식점,888797383,43391,581662211,307135172,109920856,114682990,110810880,123742033,122505452,178662567,128472605,55235559,0,223607645,127754064,345512720,136687395,438824214,393452686,13131170,410496926,260562971,70017820,60103508,17964509,29349,14042,5354,5673,5531,6591,6200,7693,6349,780,0,14208,7583,17103,3717,22415,19598,1025,23362,10063,3534,3224,811
20191,11440655,CS100002,서강동,중식음식점,423455968,11796,280178098,143277870,47197843,53597302,61956542,57910028,59516383,74229598,69048272,0,47939,124338319,70029768,178326881,50713061,209387115,123400711,2592833,104732725,74387469,63805810,53813987,33455004,8693,3103,1692,1643,1745,1851,1762,1560,1543,0,5,4629,1875,4611,676,6565,4069,260,4789,1952,1422,1599,615
20191,11440655,CS100001,서강동,한식음식점,4124118633,132019,2762432227,1361686406,434592398,512074026,496234496,589939451,729591856,800024054,561662352,545369735,30838548,583611797,353811014,1561145489,1049342050,2034322256,1585162549,55121017,1322298708,910681501,665242267,464386732,201754583,91776,40243,16445,16707,17353,19381,21890,23442,16801,14625,2566,34152,16234,43243,21199,64220,59209,3009,52331,27971,20350,15634,4127
20191,11440655,CS100009,서강동,호프-간이주점,1215757409,37416,793729979,422027430,110562511,140809610,158124782,173703676,210529400,260555928,161471502,373174821,4261570,6687882,7291527,284535107,539806502,673705787,474222435,9309198,540978416,360336847,140543017,76482413,20278333,25635,11781,3627,4580,5227,5655,6546,7660,4121,9753,167,1094,1043,11219,14140,20958,15252,269,16923,10667,4280,3194,873
20191,11440655,CS100010,서강동,커피-음료,1086356753,165265,783678965,302677788,138524436,152599328,152661026,161888179,178005996,167185538,135492250,18363268,57543379,322068412,288909095,288699478,110773121,460381933,578775487,21550488,529964759,246598389,115512731,102828650,22702400,125693,39572,23102,25287,24597,25952,26755,21428,18144,1709,13903,55167,43209,39667,11610,79725,83043,3675,95933,29608,14507,15652,3395
