dong,hour,board,alight,net_inflow
망원1동,22,1342.3,1072.9,-269.4
망원1동,23,593.2,684.5,91.3
상암동,0,107.4,535.5,428.1
상암동,1,0.0,0.8,0.8
상암동,4,25.4,2.8,-22.6
상암동,5,835.9,277.2,-558.7
상암동,6,2136.7,1466.5,-670.1
상암동,7,6052.2,4813.3,-1238.9
상암동,8,6411.5,10505.9,4094.4
상암동,9,3708.3,5134.9,1426.7
상암동,10,2580.5,2117.1,-463.3
상암동,11,2281.9,1858.9,-423.0
상암동,12,2458.4,2046.4,-412.0
상암동,13,2392.5,2163.1,-229.4
상암동,14,2284.1,2123.2,-160.9
상암동,15,2602.1,2397.4,-204.7
상암동,16,3374.1,3093.7,-280.4
상암동,17,6431.8,4418.7,-2013.1
상암동,18,9110.9,6482.7,-2628.3
상암동,19,3802.4,4520.1,717.7
상암동,20,2272.3,2897.9,625.6
상암동,21,1909.1,2652.9,743.8
상암동,22,1355.8,2372.6,1016.8
상암동,23,652.9,1405.4,752.5
서교동,0,935.1,1493.2,558.1
서교동,1,1.2,136.1,134.9
서교동,4,79.9,4.5,-75.4
서교동,5,1994.7,292.7,-1702.1
서교동,6,2542.5,1644.1,-898.5
서교동,7,5212.3,3877.9,-1334.4
서교동,8,6899.9,10794.0,3894.1
서교동,9,5597.4,13974.5,8377.1
서교동,10,5588.7,10928.6,5339.9
서교동,11,6399.4,12239.5,5840.1
서교동,12,7472.2,13974.1,6501.9
서교동,13,8604.4,14888.5,6284.1
서교동,14,9755.9,14211.5,4455.7
서교동,15,11909.8,14202.5,2292.7
서교동,16,14614.8,15157.1,542.3
서교동,17,17223.1,17583.4,360.3
서교동,18,19179.3,20248.8,1069.5
서교동,19,16471.1,14420.7,-2050.3
서교동,20,15824.1,9390.9,-6433.3
서교동,21,17403.5,7424.6,-9978.9
서교동,22,16302.5,6152.4,-10150.1
서교동,23,7975.7,4096.1,-3879.6
성산1동,0,42.0,218.1,176.1
성산1동,4,1.8,0.3,-1.5
성산1동,5,420.8,115.0,-305.8
성산1동,6,1032.1,532.2,-499.9
성산1동,7,3033.7,1078.9,-1954.9
성산1동,8,3998.0,2477.7,-1520.3
성산1동,9,2544.9,1277.1,-1267.8
성산1동,10,1696.3,963.3,-733.0
성산1동,11,1587.8,945.7,-642.1
성산1동,12,1575.9,1218.9,-357.1
성산1동,13,1526.1,1317.5,-208.7
성산1동,14,1401.2,1199.8,-201.4
성산1동,15,1459.0,1560.2,101.2
성산1동,16,1638.1,1693.3,55.3
성산1동,17,1872.3,2121.6,249.3
성산1동,18,2540.2,3220.0,679.8
성산1동,19,1292.8,2373.9,1081.1
성산1동,20,946.9,1628.5,681.6
성산1동,21,806.2,1489.9,683.7
성산1동,22,595.3,1376.6,781.3
성산1동,23,265.4,866.3,600.9
성산2동,0,14.3,30.7,16.4
성산2동,4,1.4,0.0,-1.4
성산2동,5,65.5,79.3,13.8
성산2동,6,180.1,265.3,85.1
성산2동,7,526.0,423.1,-102.9
성산2동,8,650.9,665.3,14.4
성산2동,9,431.7,551.6,119.9
성산2동,10,481.7,584.7,102.9
성산2동,11,548.5,664.1,115.5
성산2동,12,555.8,857.1,301.3
성산2동,13,575.3,972.7,397.4
성산2동,14,672.6,784.1,111.5
성산2동,15,863.1,689.3,-173.7
성산2동,16,1319.1,615.2,-703.9
성산2동,17,848.2,710.7,-137.5
성산2동,18,680.8,924.3,243.5
성산2동,19,448.1,577.6,129.5
성산2동,20,416.3,357.2,-59.1
성산2동,21,465.8,267.7,-198.1
성산2동,22,180.1,196.1,15.9
성산2동,23,40.9,104.8,63.9
신수동,0,26.7,134.9,108.2
신수동,4,2.4,0.0,-2.4
신수동,5,198.6,101.5,-97.1
신수동,6,587.7,439.7,-148.0
신수동,7,1608.1,1159.7,-448.5
신수동,8,2054.1,2403.9,349.8
신수동,9,1254.9,1387.4,132.5
신수동,10,1004.9,857.2,-147.7
신수동,11,1069.1,741.3,-327.8
신수동,12,1107.1,805.9,-301.3
신수동,13,975.1,853.9,-121.2
신수동,14,952.5,819.5,-132.9
신수동,15,1067.6,951.3,-116.3
신수동,16,1227.8,1014.1,-213.7
신수동,17,1733.1,1312.7,-420.5
신수동,18,2151.5,1817.4,-334.1
신수동,19,1017.9,1318.1,300.2
신수동,20,692.1,888.6,196.5
신수동,21,586.5,820.6,234.1
신수동,22,439.1,740.5,301.5
신수동,23,168.9,416.3,247.5
아현동,0,24.2,179.5,155.3
아현동,1,0.1,1.8,1.7
아현동,4,0.7,0.1,-0.7
아현동,5,319.8,35.7,-284.1
아현동,6,842.0,333.3,-508.7
아현동,7,2317.9,812.1,-1505.8
아현동,8,3208.9,1532.2,-1676.7
아현동,9,1882.1,1100.3,-781.8
아현동,10,1369.7,928.9,-440.8
아현동,11,1348.9,771.2,-577.7
아현동,12,1372.3,989.0,-383.3
아현동,13,1277.7,1053.5,-224.2
아현동,14,1149.5,1084.1,-65.5
아현동,15,1364.6,1232.6,-132.0
아현동,16,1538.8,1439.6,-99.2
아현동,17,1471.5,1893.3,421.8
아현동,18,1370.4,2573.7,1203.3
아현동,19,908.9,1905.9,996.9
아현동,20,658.7,1351.2,692.5
아현동,21,501.1,1288.9,787.7
아현동,22,366.3,1167.3,801.0
아현동,23,145.6,602.9,457.3
염리동,0,9.1,146.9,137.9
염리동,1,0.1,19.5,19.4
염리동,4,4.1,1.3,-2.7
염리동,5,164.7,82.7,-82.1
염리동,6,460.0,504.3,44.3
염리동,7,1577.3,566.7,-1010.5
염리동,8,2007.6,1214.1,-793.5
염리동,9,1016.1,798.7,-217.4
염리동,10,696.9,526.9,-170.0
염리동,11,679.9,509.5,-170.4
염리동,12,750.1,518.1,-232.0
염리동,13,727.7,596.9,-130.9
염리동,14,661.7,634.5,-27.2
염리동,15,846.3,670.3,-176.1
염리동,16,947.2,792.4,-154.8
염리동,17,967.0,1129.4,162.4
염리동,18,980.1,1705.3,725.3
염리동,19,528.1,1078.7,550.5
염리동,20,400.7,698.7,298.0
염리동,21,314.0,625.9,311.9
염리동,22,223.4,566.7,343.3
염리동,23,74.8,297.9,223.1
합정동,0,523.7,725.9,202.3
합정동,1,0.4,24.5,24.1
합정동,4,11.7,0.1,-11.6
합정동,5,958.5,293.8,-664.7
합정동,6,1555.3,1354.5,-200.8
합정동,7,3788.4,3382.1,-406.3
합정동,8,4992.2,9137.4,4145.2
합정동,9,3605.5,7795.3,4189.9
합정동,10,2944.7,5085.4,2140.7
합정동,11,3212.1,4941.8,1729.7
합정동,12,3849.3,5271.3,1422.0
합정동,13,4210.0,5680.3,1470.3
합정동,14,4450.5,5260.0,809.5
합정동,15,5032.7,5645.7,613.0
합정동,16,5972.6,6639.5,666.9
합정동,17,7789.1,8271.4,482.3
합정동,18,11087.3,10839.4,-247.9
합정동,19,7712.8,7373.5,-339.3
합정동,20,6763.9,4259.4,-2504.5
합정동,21,7281.8,3497.9,-3783.9
합정동,22,6469.7,3028.5,-3441.1
합정동,23,3409.8,2144.3,-1265.5
