quarter,dong_code,dong_name,surv2_1y,surv2_3y,surv2_5y,industry_code,industry_name
20193,11440585,도화동,50.0,50.0,0.0,CS100002,중식
20192,11440585,도화동,50.0,50.0,0.0,CS100002,중식
20191,11440585,도화동,50.0,50.0,0.0,CS100002,중식
20193,11440590,용강동,0.0,0.0,0.0,CS100002,중식
20192,11440590,용강동,0.0,0.0,0.0,CS100002,중식
20191,11440590,용강동,0.0,0.0,0.0,CS100002,중식
20193,11440600,대흥동,100.0,100.0,50.0,CS100002,중식
20192,11440600,대흥동,100.0,100.0,50.0,CS100002,중식
20191,11440600,대흥동,100.0,100.0,50.0,CS100002,중식
20193,11440610,염리동,,,,CS100002,중식
20192,11440610,염리동,,,,CS100002,중식
20191,11440610,염리동,,,,CS100002,중식
20193,11440630,신수동,100.0,50.0,50.0,CS100002,중식
20192,11440630,신수동,100.0,50.0,50.0,CS100002,중식
20191,11440630,신수동,100.0,50.0,50.0,CS100002,중식
20193,11440655,서강동,,,,CS100002,중식
20192,11440655,서강동,,,,CS100002,중식
20191,11440655,서강동,,,,CS100002,중식
20193,11440660,서교동,85.7,35.7,28.6,CS100002,중식
20192,11440660,서교동,85.7,35.7,28.6,CS100002,중식
20191,11440660,서교동,85.7,35.7,28.6,CS100002,중식
20193,11440680,합정동,100.0,66.7,33.3,CS100002,중식
20192,11440680,합정동,100.0,66.7,33.3,CS100002,중식
20191,11440680,합정동,100.0,66.7,33.3,CS100002,중식
20193,11440690,망원1동,,,,CS100002,중식
20192,11440690,망원1동,,,,CS100002,중식
20191,11440690,망원1동,,,,CS100002,중식
20193,11440700,망원2동,75.0,50.0,50.0,CS100002,중식
20192,11440700,망원2동,75.0,50.0,50.0,CS100002,중식
20191,11440700,망원2동,75.0,50.0,50.0,CS100002,중식
20193,11440710,연남동,100.0,33.3,33.3,CS100002,중식
20192,11440710,연남동,100.0,33.3,33.3,CS100002,중식
20191,11440710,연남동,100.0,33.3,33.3,CS100002,중식
20193,11440720,성산1동,,,,CS100002,중식
20192,11440720,성산1동,,,,CS100002,중식
20191,11440720,성산1동,,,,CS100002,중식
20193,11440730,성산2동,66.7,33.3,33.3,CS100002,중식
20192,11440730,성산2동,66.7,33.3,33.3,CS100002,중식
20191,11440730,성산2동,66.7,33.3,33.3,CS100002,중식
20193,11440740,상암동,50.0,50.0,50.0,CS100002,중식
20192,11440740,상암동,50.0,50.0,50.0,CS100002,중식
20191,11440740,상암동,50.0,50.0,50.0,CS100002,중식
20193,11440555,아현동,100.0,0.0,0.0,CS100003,일식
20192,11440555,아현동,100.0,0.0,0.0,CS100003,일식
20191,11440555,아현동,100.0,0.0,0.0,CS100003,일식
20193,11440565,공덕동,71.4,28.6,14.3,CS100003,일식
20192,11440565,공덕동,71.4,28.6,14.3,CS100003,일식
20191,11440565,공덕동,71.4,28.6,14.3,CS100003,일식
20193,11440585,도화동,66.7,66.7,0.0,CS100003,일식
20192,11440585,도화동,66.7,66.7,0.0,CS100003,일식
20191,11440585,도화동,66.7,66.7,0.0,CS100003,일식
20193,11440590,용강동,100.0,100.0,50.0,CS100003,일식
20192,11440590,용강동,100.0,100.0,50.0,CS100003,일식
20191,11440590,용강동,100.0,100.0,50.0,CS100003,일식
20193,11440600,대흥동,0.0,0.0,0.0,CS100003,일식
20192,11440600,대흥동,0.0,0.0,0.0,CS100003,일식
20191,11440600,대흥동,0.0,0.0,0.0,CS100003,일식
20193,11440610,염리동,100.0,100.0,100.0,CS100003,일식
20192,11440610,염리동,100.0,100.0,100.0,CS100003,일식
20191,11440610,염리동,100.0,100.0,100.0,CS100003,일식
20193,11440630,신수동,,,,CS100003,일식
20192,11440630,신수동,,,,CS100003,일식
20191,11440630,신수동,,,,CS100003,일식
20193,11440655,서강동,66.7,33.3,22.2,CS100003,일식
20192,11440655,서강동,66.7,33.3,22.2,CS100003,일식
20191,11440655,서강동,66.7,33.3,22.2,CS100003,일식
20193,11440660,서교동,75.0,50.0,29.5,CS100003,일식
20192,11440660,서교동,75.0,50.0,29.5,CS100003,일식
20191,11440660,서교동,75.0,50.0,29.5,CS100003,일식
20193,11440680,합정동,66.7,50.0,50.0,CS100003,일식
20192,11440680,합정동,66.7,50.0,50.0,CS100003,일식
20191,11440680,합정동,66.7,50.0,50.0,CS100003,일식
20193,11440690,망원1동,,,,CS100003,일식
20192,11440690,망원1동,,,,CS100003,일식
20191,11440690,망원1동,,,,CS100003,일식
20193,11440700,망원2동,0.0,0.0,0.0,CS100003,일식
20192,11440700,망원2동,0.0,0.0,0.0,CS100003,일식
20191,11440700,망원2동,0.0,0.0,0.0,CS100003,일식
20193,11440710,연남동,57.1,57.1,42.9,CS100003,일식
20192,11440710,연남동,57.1,57.1,42.9,CS100003,일식
20191,11440710,연남동,57.1,57.1,42.9,CS100003,일식
20193,11440720,성산1동,100.0,100.0,100.0,CS100003,일식
20192,11440720,성산1동,100.0,100.0,100.0,CS100003,일식
20191,11440720,성산1동,100.0,100.0,100.0,CS100003,일식
20193,11440730,성산2동,100.0,100.0,100.0,CS100003,일식
20192,11440730,성산2동,100.0,100.0,100.0,CS100003,일식
20191,11440730,성산2동,100.0,100.0,100.0,CS100003,일식
20193,11440740,상암동,75.0,56.3,50.0,CS100003,일식
20192,11440740,상암동,75.0,56.3,50.0,CS100003,일식
20191,11440740,상암동,75.0,56.3,50.0,CS100003,일식
20193,11440555,아현동,,,,CS100004,양식
20192,11440555,아현동,,,,CS100004,양식
20191,11440555,아현동,,,,CS100004,양식
20193,11440565,공덕동,0.0,0.0,0.0,CS100004,양식
20192,11440565,공덕동,0.0,0.0,0.0,CS100004,양식
20191,11440565,공덕동,0.0,0.0,0.0,CS100004,양식
20193,11440585,도화동,75.0,75.0,50.0,CS100004,양식
20192,11440585,도화동,75.0,75.0,50.0,CS100004,양식
20191,11440585,도화동,75.0,75.0,50.0,CS100004,양식
20193,11440590,용강동,33.3,33.3,0.0,CS100004,양식
20192,11440590,용강동,33.3,33.3,0.0,CS100004,양식
20191,11440590,용강동,33.3,33.3,0.0,CS100004,양식
20193,11440600,대흥동,80.0,60.0,20.0,CS100004,양식
20192,11440600,대흥동,80.0,60.0,20.0,CS100004,양식
20191,11440600,대흥동,80.0,60.0,20.0,CS100004,양식
20193,11440610,염리동,,,,CS100004,양식
20192,11440610,염리동,,,,CS100004,양식
20191,11440610,염리동,,,,CS100004,양식
20193,11440630,신수동,,,,CS100004,양식
20192,11440630,신수동,,,,CS100004,양식
20191,11440630,신수동,,,,CS100004,양식
20193,11440655,서강동,73.9,52.2,39.1,CS100004,양식
20192,11440655,서강동,73.9,52.2,39.1,CS100004,양식
20191,11440655,서강동,73.9,52.2,39.1,CS100004,양식
20193,11440660,서교동,67.7,32.3,18.5,CS100004,양식
20192,11440660,서교동,67.7,32.3,18.5,CS100004,양식
20191,11440660,서교동,67.7,32.3,18.5,CS100004,양식
20193,11440680,합정동,80.0,30.0,30.0,CS100004,양식
20192,11440680,합정동,80.0,30.0,30.0,CS100004,양식
20191,11440680,합정동,80.0,30.0,30.0,CS100004,양식
20193,11440690,망원1동,,,,CS100004,양식
20192,11440690,망원1동,,,,CS100004,양식
20191,11440690,망원1동,,,,CS100004,양식
20193,11440700,망원2동,50.0,0.0,0.0,CS100004,양식
20192,11440700,망원2동,50.0,0.0,0.0,CS100004,양식
20191,11440700,망원2동,50.0,0.0,0.0,CS100004,양식
20193,11440710,연남동,87.5,50.0,31.3,CS100004,양식
20192,11440710,연남동,87.5,50.0,31.3,CS100004,양식
20191,11440710,연남동,87.5,50.0,31.3,CS100004,양식
20193,11440720,성산1동,100.0,0.0,0.0,CS100004,양식
20192,11440720,성산1동,100.0,0.0,0.0,CS100004,양식
20191,11440720,성산1동,100.0,0.0,0.0,CS100004,양식
20193,11440730,성산2동,100.0,100.0,100.0,CS100004,양식
20192,11440730,성산2동,100.0,100.0,100.0,CS100004,양식
20191,11440730,성산2동,100.0,100.0,100.0,CS100004,양식
20193,11440740,상암동,77.8,44.4,22.2,CS100004,양식
20192,11440740,상암동,77.8,44.4,22.2,CS100004,양식
20191,11440740,상암동,77.8,44.4,22.2,CS100004,양식
20193,11440555,아현동,100.0,100.0,100.0,CS100005,제과
20192,11440555,아현동,100.0,100.0,100.0,CS100005,제과
20191,11440555,아현동,100.0,100.0,100.0,CS100005,제과
20193,11440565,공덕동,100.0,100.0,100.0,CS100005,제과
20192,11440565,공덕동,100.0,100.0,100.0,CS100005,제과
20191,11440565,공덕동,100.0,100.0,100.0,CS100005,제과
20193,11440585,도화동,100.0,0.0,0.0,CS100005,제과
20192,11440585,도화동,100.0,0.0,0.0,CS100005,제과
20191,11440585,도화동,100.0,0.0,0.0,CS100005,제과
20193,11440590,용강동,,,,CS100005,제과
20192,11440590,용강동,,,,CS100005,제과
20191,11440590,용강동,,,,CS100005,제과
20193,11440600,대흥동,100.0,0.0,0.0,CS100005,제과
20192,11440600,대흥동,100.0,0.0,0.0,CS100005,제과
20191,11440600,대흥동,100.0,0.0,0.0,CS100005,제과
20193,11440610,염리동,100.0,100.0,100.0,CS100005,제과
20192,11440610,염리동,100.0,100.0,100.0,CS100005,제과
20191,11440610,염리동,100.0,100.0,100.0,CS100005,제과
20193,11440630,신수동,,,,CS100005,제과
20192,11440630,신수동,,,,CS100005,제과
20191,11440630,신수동,,,,CS100005,제과
20193,11440655,서강동,100.0,50.0,25.0,CS100005,제과
20192,11440655,서강동,100.0,50.0,25.0,CS100005,제과
20191,11440655,서강동,100.0,50.0,25.0,CS100005,제과
20193,11440660,서교동,65.5,37.9,34.5,CS100005,제과
20192,11440660,서교동,65.5,37.9,34.5,CS100005,제과
20191,11440660,서교동,65.5,37.9,34.5,CS100005,제과
20193,11440680,합정동,0.0,0.0,0.0,CS100005,제과
20192,11440680,합정동,0.0,0.0,0.0,CS100005,제과
20191,11440680,합정동,0.0,0.0,0.0,CS100005,제과
20193,11440690,망원1동,75.0,50.0,25.0,CS100005,제과
20192,11440690,망원1동,75.0,50.0,25.0,CS100005,제과
20191,11440690,망원1동,75.0,50.0,25.0,CS100005,제과
20193,11440700,망원2동,100.0,100.0,50.0,CS100005,제과
20192,11440700,망원2동,100.0,100.0,50.0,CS100005,제과
20191,11440700,망원2동,100.0,100.0,50.0,CS100005,제과
20193,11440710,연남동,80.0,60.0,60.0,CS100005,제과
20192,11440710,연남동,80.0,60.0,60.0,CS100005,제과
20191,11440710,연남동,80.0,60.0,60.0,CS100005,제과
20193,11440720,성산1동,50.0,50.0,50.0,CS100005,제과
20192,11440720,성산1동,50.0,50.0,50.0,CS100005,제과
20191,11440720,성산1동,50.0,50.0,50.0,CS100005,제과
20193,11440730,성산2동,75.0,25.0,25.0,CS100005,제과
20192,11440730,성산2동,75.0,25.0,25.0,CS100005,제과
20191,11440730,성산2동,75.0,25.0,25.0,CS100005,제과
20193,11440740,상암동,50.0,25.0,25.0,CS100005,제과
20192,11440740,상암동,50.0,25.0,25.0,CS100005,제과
20191,11440740,상암동,50.0,25.0,25.0,CS100005,제과
20193,11440555,아현동,,,,CS100006,패스트푸드
20192,11440555,아현동,,,,CS100006,패스트푸드
20191,11440555,아현동,,,,CS100006,패스트푸드
20193,11440565,공덕동,,,,CS100006,패스트푸드
20192,11440565,공덕동,,,,CS100006,패스트푸드
20191,11440565,공덕동,,,,CS100006,패스트푸드
20193,11440585,도화동,,,,CS100006,패스트푸드
20192,11440585,도화동,,,,CS100006,패스트푸드
20191,11440585,도화동,,,,CS100006,패스트푸드
20193,11440590,용강동,66.7,33.3,33.3,CS100006,패스트푸드
20192,11440590,용강동,66.7,33.3,33.3,CS100006,패스트푸드
20191,11440590,용강동,66.7,33.3,33.3,CS100006,패스트푸드
20193,11440600,대흥동,100.0,50.0,50.0,CS100006,패스트푸드
20192,11440600,대흥동,100.0,50.0,50.0,CS100006,패스트푸드
20191,11440600,대흥동,100.0,50.0,50.0,CS100006,패스트푸드
20193,11440610,염리동,100.0,0.0,0.0,CS100006,패스트푸드
20192,11440610,염리동,100.0,0.0,0.0,CS100006,패스트푸드
20191,11440610,염리동,100.0,0.0,0.0,CS100006,패스트푸드
20193,11440630,신수동,,,,CS100006,패스트푸드
20192,11440630,신수동,,,,CS100006,패스트푸드
20191,11440630,신수동,,,,CS100006,패스트푸드
20193,11440655,서강동,100.0,100.0,100.0,CS100006,패스트푸드
20192,11440655,서강동,100.0,100.0,100.0,CS100006,패스트푸드
20191,11440655,서강동,100.0,100.0,100.0,CS100006,패스트푸드
20193,11440660,서교동,90.0,70.0,40.0,CS100006,패스트푸드
20192,11440660,서교동,90.0,70.0,40.0,CS100006,패스트푸드
20191,11440660,서교동,90.0,70.0,40.0,CS100006,패스트푸드
20193,11440680,합정동,100.0,100.0,0.0,CS100006,패스트푸드
20192,11440680,합정동,100.0,100.0,0.0,CS100006,패스트푸드
20191,11440680,합정동,100.0,100.0,0.0,CS100006,패스트푸드
20193,11440690,망원1동,100.0,33.3,33.3,CS100006,패스트푸드
20192,11440690,망원1동,100.0,33.3,33.3,CS100006,패스트푸드
20191,11440690,망원1동,100.0,33.3,33.3,CS100006,패스트푸드
20193,11440700,망원2동,,,,CS100006,패스트푸드
20192,11440700,망원2동,,,,CS100006,패스트푸드
20191,11440700,망원2동,,,,CS100006,패스트푸드
20193,11440710,연남동,,,,CS100006,패스트푸드
20192,11440710,연남동,,,,CS100006,패스트푸드
20191,11440710,연남동,,,,CS100006,패스트푸드
20193,11440720,성산1동,100.0,100.0,100.0,CS100006,패스트푸드
20192,11440720,성산1동,100.0,100.0,100.0,CS100006,패스트푸드
20191,11440720,성산1동,100.0,100.0,100.0,CS100006,패스트푸드
20193,11440730,성산2동,100.0,100.0,100.0,CS100006,패스트푸드
20192,11440730,성산2동,100.0,100.0,100.0,CS100006,패스트푸드
20191,11440730,성산2동,100.0,100.0,100.0,CS100006,패스트푸드
20193,11440740,상암동,100.0,100.0,100.0,CS100006,패스트푸드
20192,11440740,상암동,100.0,100.0,100.0,CS100006,패스트푸드
20191,11440740,상암동,100.0,100.0,100.0,CS100006,패스트푸드
20193,11440555,아현동,100.0,100.0,100.0,CS100007,치킨
20192,11440555,아현동,100.0,100.0,100.0,CS100007,치킨
20191,11440555,아현동,100.0,100.0,100.0,CS100007,치킨
20193,11440565,공덕동,100.0,0.0,0.0,CS100007,치킨
20192,11440565,공덕동,100.0,0.0,0.0,CS100007,치킨
20191,11440565,공덕동,100.0,0.0,0.0,CS100007,치킨
20193,11440585,도화동,33.3,33.3,33.3,CS100007,치킨
20192,11440585,도화동,33.3,33.3,33.3,CS100007,치킨
20191,11440585,도화동,33.3,33.3,33.3,CS100007,치킨
20193,11440590,용강동,100.0,66.7,66.7,CS100007,치킨
20192,11440590,용강동,100.0,66.7,66.7,CS100007,치킨
20191,11440590,용강동,100.0,66.7,66.7,CS100007,치킨
20193,11440600,대흥동,,,,CS100007,치킨
20192,11440600,대흥동,,,,CS100007,치킨
20191,11440600,대흥동,,,,CS100007,치킨
20193,11440610,염리동,66.7,50.0,33.3,CS100007,치킨
20192,11440610,염리동,66.7,50.0,33.3,CS100007,치킨
20191,11440610,염리동,66.7,50.0,33.3,CS100007,치킨
20193,11440630,신수동,100.0,100.0,66.7,CS100007,치킨
20192,11440630,신수동,100.0,100.0,66.7,CS100007,치킨
20191,11440630,신수동,100.0,100.0,66.7,CS100007,치킨
20193,11440655,서강동,0.0,0.0,0.0,CS100007,치킨
20192,11440655,서강동,0.0,0.0,0.0,CS100007,치킨
20191,11440655,서강동,0.0,0.0,0.0,CS100007,치킨
20193,11440660,서교동,81.8,72.7,54.5,CS100007,치킨
20192,11440660,서교동,81.8,72.7,54.5,CS100007,치킨
20191,11440660,서교동,81.8,72.7,54.5,CS100007,치킨
20193,11440680,합정동,100.0,100.0,100.0,CS100007,치킨
20192,11440680,합정동,100.0,100.0,100.0,CS100007,치킨
20191,11440680,합정동,100.0,100.0,100.0,CS100007,치킨
20193,11440690,망원1동,20.0,20.0,20.0,CS100007,치킨
20192,11440690,망원1동,20.0,20.0,20.0,CS100007,치킨
20191,11440690,망원1동,20.0,20.0,20.0,CS100007,치킨
20193,11440700,망원2동,,,,CS100007,치킨
20192,11440700,망원2동,,,,CS100007,치킨
20191,11440700,망원2동,,,,CS100007,치킨
20193,11440710,연남동,100.0,100.0,100.0,CS100007,치킨
20192,11440710,연남동,100.0,100.0,100.0,CS100007,치킨
20191,11440710,연남동,100.0,100.0,100.0,CS100007,치킨
20193,11440720,성산1동,100.0,100.0,100.0,CS100007,치킨
20192,11440720,성산1동,100.0,100.0,100.0,CS100007,치킨
20191,11440720,성산1동,100.0,100.0,100.0,CS100007,치킨
20193,11440730,성산2동,80.0,40.0,40.0,CS100007,치킨
20192,11440730,성산2동,80.0,40.0,40.0,CS100007,치킨
20191,11440730,성산2동,80.0,40.0,40.0,CS100007,치킨
20193,11440740,상암동,66.7,33.3,0.0,CS100007,치킨
20192,11440740,상암동,66.7,33.3,0.0,CS100007,치킨
20191,11440740,상암동,66.7,33.3,0.0,CS100007,치킨
20193,11440555,아현동,50.0,50.0,50.0,CS100008,분식
20192,11440555,아현동,50.0,50.0,50.0,CS100008,분식
20191,11440555,아현동,50.0,50.0,50.0,CS100008,분식
20193,11440565,공덕동,71.4,42.9,28.6,CS100008,분식
20192,11440565,공덕동,71.4,42.9,28.6,CS100008,분식
20191,11440565,공덕동,71.4,42.9,28.6,CS100008,분식
20193,11440585,도화동,100.0,100.0,100.0,CS100008,분식
20192,11440585,도화동,100.0,100.0,100.0,CS100008,분식
20191,11440585,도화동,100.0,100.0,100.0,CS100008,분식
20193,11440590,용강동,33.3,0.0,0.0,CS100008,분식
20192,11440590,용강동,33.3,0.0,0.0,CS100008,분식
20191,11440590,용강동,33.3,0.0,0.0,CS100008,분식
20193,11440600,대흥동,80.0,60.0,60.0,CS100008,분식
20192,11440600,대흥동,80.0,60.0,60.0,CS100008,분식
20191,11440600,대흥동,80.0,60.0,60.0,CS100008,분식
20193,11440610,염리동,100.0,100.0,100.0,CS100008,분식
20192,11440610,염리동,100.0,100.0,100.0,CS100008,분식
20191,11440610,염리동,100.0,100.0,100.0,CS100008,분식
20193,11440630,신수동,33.3,33.3,0.0,CS100008,분식
20192,11440630,신수동,33.3,33.3,0.0,CS100008,분식
20191,11440630,신수동,33.3,33.3,0.0,CS100008,분식
20193,11440655,서강동,81.3,50.0,31.3,CS100008,분식
20192,11440655,서강동,81.3,50.0,31.3,CS100008,분식
20191,11440655,서강동,81.3,50.0,31.3,CS100008,분식
20193,11440660,서교동,68.3,31.7,17.1,CS100008,분식
20192,11440660,서교동,68.3,31.7,17.1,CS100008,분식
20191,11440660,서교동,68.3,31.7,17.1,CS100008,분식
20193,11440680,합정동,61.5,38.5,23.1,CS100008,분식
20192,11440680,합정동,61.5,38.5,23.1,CS100008,분식
20191,11440680,합정동,61.5,38.5,23.1,CS100008,분식
20193,11440690,망원1동,50.0,50.0,0.0,CS100008,분식
20192,11440690,망원1동,50.0,50.0,0.0,CS100008,분식
20191,11440690,망원1동,50.0,50.0,0.0,CS100008,분식
20193,11440700,망원2동,80.0,40.0,40.0,CS100008,분식
20192,11440700,망원2동,80.0,40.0,40.0,CS100008,분식
20191,11440700,망원2동,80.0,40.0,40.0,CS100008,분식
20193,11440710,연남동,57.1,42.9,14.3,CS100008,분식
20192,11440710,연남동,57.1,42.9,14.3,CS100008,분식
20191,11440710,연남동,57.1,42.9,14.3,CS100008,분식
20193,11440720,성산1동,66.7,50.0,16.7,CS100008,분식
20192,11440720,성산1동,66.7,50.0,16.7,CS100008,분식
20191,11440720,성산1동,66.7,50.0,16.7,CS100008,분식
20193,11440730,성산2동,66.7,33.3,33.3,CS100008,분식
20192,11440730,성산2동,66.7,33.3,33.3,CS100008,분식
20191,11440730,성산2동,66.7,33.3,33.3,CS100008,분식
20193,11440740,상암동,62.5,37.5,25.0,CS100008,분식
20192,11440740,상암동,62.5,37.5,25.0,CS100008,분식
20191,11440740,상암동,62.5,37.5,25.0,CS100008,분식
20193,11440555,아현동,66.7,33.3,22.2,CS100009,호프
20192,11440555,아현동,66.7,33.3,22.2,CS100009,호프
20191,11440555,아현동,66.7,33.3,22.2,CS100009,호프
20193,11440565,공덕동,77.8,44.4,22.2,CS100009,호프
20192,11440565,공덕동,77.8,44.4,22.2,CS100009,호프
20191,11440565,공덕동,77.8,44.4,22.2,CS100009,호프
20193,11440585,도화동,53.3,40.0,26.7,CS100009,호프
20192,11440585,도화동,53.3,40.0,26.7,CS100009,호프
20191,11440585,도화동,53.3,40.0,26.7,CS100009,호프
20193,11440590,용강동,100.0,100.0,60.0,CS100009,호프
20192,11440590,용강동,100.0,100.0,60.0,CS100009,호프
20191,11440590,용강동,100.0,100.0,60.0,CS100009,호프
20193,11440600,대흥동,83.3,33.3,0.0,CS100009,호프
20192,11440600,대흥동,83.3,33.3,0.0,CS100009,호프
20191,11440600,대흥동,83.3,33.3,0.0,CS100009,호프
20193,11440610,염리동,75.0,25.0,25.0,CS100009,호프
20192,11440610,염리동,75.0,25.0,25.0,CS100009,호프
20191,11440610,염리동,75.0,25.0,25.0,CS100009,호프
20193,11440630,신수동,80.0,60.0,40.0,CS100009,호프
20192,11440630,신수동,80.0,60.0,40.0,CS100009,호프
20191,11440630,신수동,80.0,60.0,40.0,CS100009,호프
20193,11440655,서강동,78.6,35.7,28.6,CS100009,호프
20192,11440655,서강동,78.6,35.7,28.6,CS100009,호프
20191,11440655,서강동,78.6,35.7,28.6,CS100009,호프
20193,11440660,서교동,75.0,40.1,23.7,CS100009,호프
20192,11440660,서교동,75.0,40.1,23.7,CS100009,호프
20191,11440660,서교동,75.0,40.1,23.7,CS100009,호프
20193,11440680,합정동,65.2,43.5,34.8,CS100009,호프
20192,11440680,합정동,65.2,43.5,34.8,CS100009,호프
20191,11440680,합정동,65.2,43.5,34.8,CS100009,호프
20193,11440690,망원1동,66.7,50.0,16.7,CS100009,호프
20192,11440690,망원1동,66.7,50.0,16.7,CS100009,호프
20191,11440690,망원1동,66.7,50.0,16.7,CS100009,호프
20193,11440700,망원2동,50.0,21.4,7.1,CS100009,호프
20192,11440700,망원2동,50.0,21.4,7.1,CS100009,호프
20191,11440700,망원2동,50.0,21.4,7.1,CS100009,호프
20193,11440710,연남동,85.7,38.1,23.8,CS100009,호프
20192,11440710,연남동,85.7,38.1,23.8,CS100009,호프
20191,11440710,연남동,85.7,38.1,23.8,CS100009,호프
20193,11440720,성산1동,62.5,25.0,25.0,CS100009,호프
20192,11440720,성산1동,62.5,25.0,25.0,CS100009,호프
20191,11440720,성산1동,62.5,25.0,25.0,CS100009,호프
20193,11440730,성산2동,66.7,33.3,33.3,CS100009,호프
20192,11440730,성산2동,66.7,33.3,33.3,CS100009,호프
20191,11440730,성산2동,66.7,33.3,33.3,CS100009,호프
20193,11440740,상암동,78.6,57.1,42.9,CS100009,호프
20192,11440740,상암동,78.6,57.1,42.9,CS100009,호프
20191,11440740,상암동,78.6,57.1,42.9,CS100009,호프
20193,11440555,아현동,87.5,62.5,37.5,CS100010,커피
20192,11440555,아현동,87.5,62.5,37.5,CS100010,커피
20191,11440555,아현동,87.5,62.5,37.5,CS100010,커피
20193,11440565,공덕동,71.4,57.1,42.9,CS100010,커피
20192,11440565,공덕동,71.4,57.1,42.9,CS100010,커피
20191,11440565,공덕동,71.4,57.1,42.9,CS100010,커피
20193,11440585,도화동,85.7,57.1,42.9,CS100010,커피
20192,11440585,도화동,85.7,57.1,42.9,CS100010,커피
20191,11440585,도화동,85.7,57.1,42.9,CS100010,커피
20193,11440590,용강동,90.9,45.5,18.2,CS100010,커피
20192,11440590,용강동,90.9,45.5,18.2,CS100010,커피
20191,11440590,용강동,90.9,45.5,18.2,CS100010,커피
20193,11440600,대흥동,76.9,53.8,38.5,CS100010,커피
20192,11440600,대흥동,76.9,53.8,38.5,CS100010,커피
20191,11440600,대흥동,76.9,53.8,38.5,CS100010,커피
20193,11440610,염리동,100.0,50.0,0.0,CS100010,커피
20192,11440610,염리동,100.0,50.0,0.0,CS100010,커피
20191,11440610,염리동,100.0,50.0,0.0,CS100010,커피
20193,11440630,신수동,83.3,83.3,50.0,CS100010,커피
20192,11440630,신수동,83.3,83.3,50.0,CS100010,커피
