quarter,trdar_code,industry_code,monthly_sales,monthly_count,weekday_sales,weekend_sales,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,time_00_06_sales,time_06_11_sales,time_11_14_sales,time_14_17_sales,time_17_21_sales,time_21_24_sales,male_sales,female_sales,age_10_sales,age_20_sales,age_30_sales,age_40_sales,age_50_sales,age_60_above_sales,weekday_count,weekend_count,mon_count,tue_count,wed_count,thu_count,fri_count,sat_count,sun_count,time_00_06_count,time_06_11_count,time_11_14_count,time_14_17_count,time_17_21_count,time_21_24_count,male_count,female_count,age_10_count,age_20_count,age_30_count,age_40_count,age_50_count,age_60_above_count
20191,3130197,CS100009,619277574,18043,444346152,174931422,117227651,68960010,70847791,85924458,101386242,92944098,81987324,84364447,17110862,42517462,57062172,165229849,252992782,391895181,146819454,482685,85408385,133716539,140957038,112614840,65535148,12292,5751,2945,2219,2010,2249,2869,3059,2692,2688,465,1148,1771,5220,6751,11347,4934,28,3209,4304,4000,3244,1497
20191,3110582,CS100001,232995995,10925,174930017,58065978,42388074,31143844,28252175,42823684,30322240,37410089,20655889,2569752,641605,65927939,32107131,110201072,21548496,112991936,99824780,2158929,49095603,66742997,35213032,41090559,18515596,7713,3212,1329,1604,1551,1671,1558,1848,1364,49,65,4122,2055,3737,897,6306,4276,142,3992,1815,1733,2108,793
20191,3120054,CS100005,225157559,28550,154085067,71072492,27863158,29149781,31539650,31095299,34437179,35507415,35565077,1508339,31493378,39321749,45407085,70367901,37059107,99603673,124265890,1295232,69888195,58877053,44366810,33355885,16086388,19950,8600,3630,3917,4274,4183,3946,4103,4497,140,4814,4658,5633,8567,4738,12249,16237,199,10867,7279,4687,3741,1711
20191,3110144,CS100010,12292616,2125,8116662,4175954,1393596,1265172,1562380,1780824,2114690,2232104,1943850,0,254186,2746702,3483310,3748670,2059748,6879742,5241950,48585,5889713,3575294,1083265,1274752,250083,1407,718,210,229,238,339,391,407,311,0,60,487,605,646,327,1155,959,12,1166,539,180,171,46
20191,3120094,CS100002,3259989725,132523,2196861414,1063128311,348770893,415322140,429076884,467995312,535696185,579797991,483330320,118940508,30978137,794730585,491108052,1356808542,467423901,1565170409,1373605429,29985667,1427148949,499104019,369049547,396100403,217387257,90419,42104,14985,17486,18011,19169,20768,22911,19193,4618,1422,36687,23852,52580,13364,62331,66134,2231,72237,19400,13326,15156,6112
20191,3110564,CS100008,231639984,6219,160545029,71094955,27064366,34111216,34271650,22674599,42423198,34416803,36678152,39558314,0,0,0,88502752,103578918,140033880,81338360,412543,107089651,65940491,32983614,13068921,1877020,4216,2003,733,887,840,626,1130,1039,964,978,0,0,0,2520,2721,3586,2404,15,3033,1724,771,370,77
20191,3120099,CS100001,1911042006,138720,1200652445,710389561,205056319,238164016,229634611,246447482,281350017,373488522,336901039,0,3244314,875854789,251057546,780885357,0,900288850,893638667,14423846,170409382,445820257,586926688,290574243,285773101,88277,50443,14757,17268,17739,19204,19309,26897,23546,0,261,61276,19309,57874,0,66356,67497,1633,14910,34307,39290,23946,19768
20191,3110564,CS100007,67889690,2259,43994289,23895401,7241083,8513757,8123106,8516066,11600277,13085918,10809483,5769341,0,113832,1212561,32609735,28184221,34726512,29997209,211543,28435673,20052717,10493043,3828545,1702201,1496,763,229,289,296,301,381,391,372,167,0,5,55,1143,889,1177,1000,9,974,611,367,152,64
20191,3110547,CS100009,80629449,2552,56958795,23670654,10336722,11330576,10483027,9964166,14844304,13693552,9977102,37961813,4609976,0,48015,10644347,27365298,49694155,27967348,2430460,19927952,27865068,13086995,10901925,3449104,1783,769,299,365,343,313,463,458,311,1134,153,0,3,325,937,1616,846,102,691,737,420,375,136
20191,3120096,CS100003,48416996,1941,37742751,10674245,7849398,7202771,6415486,6833548,9441548,0,10674245,0,0,14471963,8730453,22825378,2389202,15937130,27345914,769703,22122097,7161746,6063845,4778404,2387248,1594,347,351,328,297,297,321,0,347,0,0,672,395,799,75,571,1301,43,1044,290,204,210,82
20191,3130195,CS100008,1133070323,99604,879608282,253462041,138246707,160709849,180012390,189526260,211113076,157694932,95767109,57510834,92935814,304464231,184835425,332035896,161288123,466371093,468136363,17822261,199066726,299040523,251094410,130779616,36703921,77352,22252,13717,14450,15511,16569,17105,13908,8344,2902,14120,28402,15614,30017,8549,39633,53124,1468,21941,30758,24043,10894,3653
20191,3130195,CS100002,1237205273,27453,979919023,257286250,160989417,169759694,203994981,216950479,228224452,150587261,106698989,21069800,0,285010936,116800431,540872297,273451809,524324435,277665320,0,98285090,254218643,214567326,154929559,79989143,22391,5062,3876,4493,4448,4333,5241,3168,1894,390,0,12378,3245,8717,2723,14625,8058,0,3775,7463,5896,3682,1866
20191,3110557,CS100001,686147298,35489,553495175,132652123,85600428,83863364,126117046,135531579,122382758,84134280,48517843,94247608,3892573,201737055,41851710,164979249,179439103,359243298,184563465,2179343,98445957,114940585,162648135,118421437,47171309,29804,5685,5381,5423,5830,6868,6302,3531,2154,2595,261,16359,3230,7924,5120,18295,11704,168,6471,6955,8262,5651,2499
20191,3110575,CS100010,3000000,852,2840161,159839,415556,514261,612266,663645,634433,159839,0,0,912128,1098406,882815,106651,0,882408,1576219,0,254728,866960,463618,506173,367148,802,50,134,144,174,187,163,50,0,0,294,272,249,37,0,287,507,0,118,264,124,158,131
20191,3120106,CS100004,30410063,1723,26752341,3657722,5717544,5656727,4496130,5203493,5678447,3657722,0,0,0,14938594,4208697,10826915,435857,12640572,13163310,79642,4131228,8167610,7970677,2311779,3142948,1550,173,276,354,254,325,341,173,0,0,0,869,246,572,36,753,789,7,326,514,392,138,167
20191,3120100,CS100002,62179561,2486,51994915,10184646,8157923,7151852,10410648,13428861,12845631,10140904,43742,0,0,26646301,9965936,17978050,7589274,31056974,17504177,153098,9411867,12255111,14332867,7807986,4600223,2063,423,358,372,401,459,473,416,7,0,0,1196,481,692,117,1349,758,14,503,576,532,284,196
20191,3130191,CS100008,1804184589,124962,1166137785,638046804,202460786,221754274,237858909,235364725,268699091,352764992,285281812,87722065,4042037,357130052,383831482,649861343,321597610,625846187,1019966992,126326555,882997390,263520749,227963437,128190057,16814991,81125,43837,13819,15665,16125,16946,18570,23892,19945,5391,248,18971,30611,49555,20186,44392,78383,10742,63863,19923,16941,9971,1336
20191,3110572,CS100004,79848381,2138,60319200,19529181,10942837,12697102,13616884,6860854,16201523,10906867,8622314,16074090,0,4151865,246645,9316004,50059777,37277934,41881895,1180128,49702550,6150909,6930605,13796744,1398894,1581,557,309,318,297,288,369,289,268,452,0,525,31,318,812,1466,641,51,1085,310,289,321,51
20191,3120099,CS100003,707061,130,0,707061,0,0,0,0,0,0,707061,0,0,632634,74427,0,0,372137,334924,0,297710,186069,223282,0,0,0,130,0,0,0,0,0,0,130,0,0,111,19,0,0,65,65,0,55,28,47,0,0
20191,3120100,CS100001,1093510300,40885,732413215,361097085,115072338,133401295,130221144,169621930,184096508,215532716,145564369,8018700,22245488,258742383,151964897,501940272,150598560,509849114,400818052,8747775,243392060,269954505,197886674,125025609,65660543,32898,7987,5775,6306,6161,7829,6827,5377,2610,246,2314,15828,6457,14387,1653,21191,17734,752,15941,12441,4987,3648,1161
20191,3130196,CS100010,56763626,12177,49690970,7072656,8345573,7466386,11258316,10954166,11666529,5102397,1970259,0,7712601,20470200,11320541,12016810,5243474,28975091,21742583,274645,11965850,10300812,13036537,9763859,5375970,10599,1578,1872,1706,2216,2295,2510,1170,408,0,2532,4287,2446,2258,654,5954,5552,91,3186,2725,2811,1727,965
20191,3120101,CS100010,2064809448,256664,1297623510,767185938,207070967,239956608,253663992,263631955,333299988,437501925,329684013,13887837,112279724,382524943,506838450,760886803,288391691,767427947,1263237737,16229842,967222303,628809384,215935298,147808348,54660512,165202,91462,26221,31729,32057,34750,40445,50825,40637,1230,19043,49859,66348,89636,30548,99104,154675,2315,123483,78179,25657,17919,6222
20191,3130183,CS100001,4588823913,101085,3875595639,713228274,603746664,731227598,761984329,931343929,847293119,433605638,279622636,239054322,38498750,863376044,212684820,1843214842,1391995135,1968648161,944723163,7306799,487228225,932137996,908720578,422243002,155734723,85888,15197,14172,16150,17271,19543,18752,8979,6218,4807,1880,38677,6254,29578,19889,51722,28253,432,16263,26618,21634,10954,4076
20191,3110547,CS100010,108856345,15974,73926180,34930165,16901579,13222977,14133610,12864450,16803564,18937343,15992822,0,6050182,26823223,26725540,33998277,15259123,42812262,56092794,1051143,25963864,25980958,23470584,16500597,5937908,10686,5288,2191,2149,1963,1900,2483,2719,2569,0,1146,3652,4343,4698,2135,6521,8786,221,4598,3966,3698,2070,757
20191,3110547,CS100007,103967597,4364,72597207,31370390,9327583,14621008,21677658,8844759,18126199,18934030,12436360,10295481,0,2941209,6357613,46412695,37960599,52619165,46230081,413628,19404455,25073630,24145368,23103523,6708641,3003,1361,414,639,824,376,750,762,599,438,0,113,275,1912,1626,2307,1932,26,815,1103,1017,979,302
20191,3120054,CS100008,408812377,48744,275102512,133709865,51590847,56815230,53863169,56940469,55892797,63762805,69947060,63772578,33641656,66844278,58063478,109465060,77025327,237402833,157175225,4183156,216557451,83925637,41513125,38040389,10358300,33611,15133,6403,7070,6671,6778,6689,7315,7818,7079,4175,7697,6476,13451,9866,28308,19226,516,27398,9049,4156,5084,1335
20191,3110148,CS100006,45246346,9711,41031813,4214533,7935977,9692614,7909229,8859360,6634633,4068583,145950,0,10542731,13508256,10741594,9201849,1251916,22437190,20585595,2445252,29332585,3574450,2817114,3939489,913897,8787,924,1628,1884,1889,1978,1408,889,35,0,2564,2764,2040,2064,279,5171,4453,628,6872,754,509,725,134
20191,3110285,CS100010,51818687,5544,28169079,23649608,0,5766632,7886296,6855997,7660154,12156845,11492763,0,2707803,14796298,14154155,15132137,5028294,19422142,31394092,207761,5895553,16061661,15813082,10360552,2477624,3020,2524,0,649,843,692,836,1274,1250,0,321,1645,1612,1460,506,2050,3402,26,736,1742,1641,1065,243
20191,3120096,CS100010,661503812,100225,466743336,194760476,87784636,88071582,92918741,96376459,101591918,105577096,89183380,2302633,54956059,158380136,172247799,205799664,67817521,205189999,448772623,12238167,363886780,128834974,69204867,64003424,15794409,73011,27214,13422,13789,14820,15428,15552,14817,12397,336,12643,25451,25782,27745,8268,31028,68372,1884,58578,18507,9466,8963,2003
20191,3120096,CS100006,267190991,6636,202520836,64670155,41490705,38701623,33325993,43358236,45644279,28762850,35907305,15146022,13487951,63454906,50489879,103531721,21080512,73517842,95620517,5630684,47004119,56048234,30944986,18963572,10546766,4226,2410,768,777,888,781,1012,1098,1312,542,9,1195,744,3296,850,2646,3177,274,1775,1632,1110,693,338
20191,3110579,CS100001,298063879,5401,264016623,34047256,31853051,53876327,50158812,75407080,52721353,32330994,1716262,16518016,835430,36181074,5174104,94686614,144668641,106415458,47237205,0,21961487,75596032,34576508,12362069,9156568,5208,193,871,1004,1147,1188,998,177,16,120,191,3287,27,645,1131,2420,2032,0,1108,2184,731,354,70
20191,3130195,CS100003,840927497,19358,642955845,197971652,89453908,108714088,132302936,147332099,165152814,121304521,76667131,45564549,2987903,127274198,46792198,363119425,255189224,395762770,245187791,4124136,129553328,238541957,142281210,85568353,40881578,14168,5190,2243,2347,2902,3238,3438,2893,2297,1014,123,5576,2239,7275,3131,9665,7309,166,4363,5369,3607,2382,1083
20191,3120096,CS100004,35930617,2603,23658388,12272229,4668620,4336297,4502180,5435646,4715645,5627263,6644966,0,0,8299728,9204681,16791812,1634396,8855591,27075026,2031175,22913914,3064102,3329617,3810789,781020,1736,867,332,300,382,378,344,388,479,0,0,629,645,1217,112,517,2086,166,1668,241,245,242,41
20191,3110550,CS100010,145343226,21015,103183167,42160059,17928706,15619877,19671517,25548558,24414509,25482742,16677317,0,17361473,51170686,35618174,35804630,5388263,53203411,86790161,3652850,48131078,48801582,25016179,10596249,3795635,15302,5713,2749,2453,3012,3487,3601,3476,2237,0,3263,7191,5346,4526,689,7447,13177,907,7835,6520,3387,1553,423
20191,3120104,CS100001,7641175718,198245,5301876579,2339299139,858564834,925276114,1040786984,1109425240,1367823407,1429531619,909767520,597396318,38050727,1134484399,608640695,3059977577,2202626002,3691155958,2768287322,31508575,2146014654,1943290249,1199187919,798229100,341212769,144127,54118,26136,25244,28131,29963,34653,32637,21481,11708,3115,54364,21884,67105,40069,91705,88896,1673,68411,52093,30770,19051,8601
20191,3120106,CS100010,220297587,43236,176749295,43548292,30572220,34391373,37047528,38821893,35916281,25289597,18258695,0,49448710,75445920,42219617,36939882,16243458,100701829,96963784,853357,42987262,67678834,41506237,27657394,16982530,34609,8627,6264,6901,6833,7498,7113,4626,4001,0,12395,13174,7993,6882,2792,21194,19336,145,9826,13115,9081,5712,2649
20191,3110542,CS100001,281782046,12318,206252231,75529815,35584270,40030414,43877090,36312020,50448437,44209128,31320687,23340113,5600721,54348535,22826314,94665362,81001001,175748949,83379538,1556299,35651790,61844720,62700442,65090410,32284824,9465,2853,1700,1817,2068,1765,2115,1828,1025,737,384,3319,1424,3948,2506,7271,4047,96,1505,2644,2962,2679,1429
20191,3130185,CS100010,18081462,2280,9950578,8130884,918072,1067525,2459102,2261364,3244515,3601527,4529357,0,0,3827221,7930648,6078731,244862,5431391,12387057,403933,6786816,4218908,4348419,1409978,650395,1274,1006,139,145,295,336,359,469,537,0,0,471,957,789,63,664,1606,74,905,531,563,156,39
20191,3130191,CS100001,6372570864,215981,3999952208,2372618656,668462794,728119143,772952975,811637850,1018779446,1349074022,1023544634,688264454,146693719,500354782,638254253,2582094282,1816909374,3356245292,2798691930,187505939,3168853780,1356926938,828485609,503679686,109485272,136352,79629,23299,25231,26583,27982,33257,43641,35988,18207,6065,27251,31402,84027,49029,107784,105315,10434,114691,39962,26207,18169,3636
20191,3120103,CS100006,2235181439,180733,1380822305,854359134,242157929,274665166,277447169,255552993,330999048,468040601,386318533,152702221,136000563,445262434,457374650,774955003,268886568,969939079,1178719199,71600624,1131025697,504054019,220522659,174014245,47441030,117450,63283,21169,23423,23381,22697,26780,34308,28975,17819,11264,37613,36183,57796,20058,82617,94827,9163,98236,34921,17027,14782,3312
20191,3110557,CS100005,25376634,2292,15214863,10161771,2306009,2247723,4657571,2164946,3838614,3839593,6322178,0,2191395,7024806,7451182,8709251,0,9240150,15103971,80854,8499597,8328029,3827155,3146493,461993,1431,861,259,206,414,254,298,406,455,0,264,647,783,598,0,718,1472,16,764,623,428,299,59
20191,3130198,CS100001,377308951,16840,286969184,90339767,72981686,45000833,57378303,62077845,49530517,64566342,25773425,6661611,11511015,79869975,51150263,184691285,43424802,231307951,119438165,635467,20926701,58730798,86343078,97242205,86867865,12669,4171,2537,2301,2651,2682,2498,3062,1109,146,537,4532,2851,7483,1291,9555,6103,55,1180,2443,3772,4827,3381
20191,3110577,CS100001,283974921,9794,224248104,59726817,37704833,40367822,51347308,50092588,44735553,35954829,23771988,200728,2748979,115556140,23810860,118040538,23617676,112437518,95130397,177090,12503605,43116922,62807984,40516036,48446276,7482,2312,1235,1435,1595,1598,1619,1298,1014,21,147,4809,1199,3056,562,4673,3933,19,706,2108,2586,1478,1708
20191,3110559,CS100003,46244524,2489,35276158,10968366,8313490,5416185,6929878,5942430,8674175,6060688,4907678,0,0,16213078,7136829,19961836,2932781,24047625,13008305,47303,8384445,9703013,5374795,10625419,2920956,1873,616,464,320,326,344,419,303,313,0,0,828,497,1053,111,1207,833,6,616,573,254,473,118
20191,3120099,CS100008,162015698,16222,93302197,68713501,14095674,17455259,19638618,20528449,21584197,34018573,34694928,0,9113891,44000101,37495463,70827113,579130,67469936,85817604,1445269,21931277,47586609,52808442,22287681,7228262,9796,6426,1564,1786,1934,2272,2240,3265,3161,0,920,4227,3826,7186,63,6591,9134,180,2278,4883,5241,2269,875
20191,3110583,CS100001,931555362,17772,885755873,45799489,191639407,142477648,158637000,209656702,183345116,43898629,1900860,8538541,0,337577437,20950341,339160465,225328578,274998258,124183400,178845,32209361,116232490,119115462,111261636,20183866,17058,714,3548,2923,3680,3187,3720,694,20,185,0,9400,583,5233,2371,5948,4282,20,1432,3361,2913,1961,541
20191,3120104,CS100008,584724520,49028,425100861,159623659,56977764,82718006,93410520,99306511,92688060,94317714,65305945,0,22915329,226465262,107520313,209015236,18808380,234013306,291783643,4680134,178492554,181623660,99738688,44053989,17207928,37914,11114,6367,7328,7192,8704,8323,6979,4135,0,2057,18603,9240,17980,1148,20224,25759,645,15585,14689,9365,4114,1585
20191,3130183,CS100009,1225658450,21376,1012788519,212869931,141492830,174694140,234166118,257533746,204901685,159443922,53426009,382743993,0,0,0,122375036,720539421,649664815,261331564,8600256,196709326,316591596,285875853,82188812,21030539,17192,4184,2806,3256,3632,3830,3668,2767,1417,4962,0,0,0,3109,13305,12133,6098,354,5276,5948,4701,1627,327
20191,3130195,CS100004,135664068,1751,99971167,35692901,17691875,7381074,24156353,26474048,24267817,19106015,16586886,57362731,0,0,0,8234873,70066464,75664824,34166450,320024,15396157,40092322,35565256,8204682,10252833,1293,458,229,109,290,302,363,204,254,713,0,0,0,108,930,1051,447,12,254,556,423,157,96
20191,3120100,CS100005,142350252,16617,101679033,40671219,18116396,18587061,18542758,21937649,24495169,21381302,19289917,0,19550399,25732146,27368145,54762391,14937171,50428725,79296306,43864,25984148,33885091,34048413,20555480,15208035,11879,4738,2310,2215,2332,2478,2544,2281,2457,0,2295,2734,3297,6390,1901,5746,10199,7,3802,4240,3999,2222,1675
20191,3110578,CS100002,8748849,1219,6823826,1925023,1267248,1124655,1543238,1543239,1345446,1170653,754370,2651794,0,0,795768,3150873,2150414,5172578,2973697,101858,2307657,1486234,2106380,1763505,380641,943,276,170,157,239,193,184,170,106,323,0,0,120,469,307,756,403,19,320,180,292,283,65
20191,3110144,CS100001,268191137,4914,185946324,82244813,32216392,27472404,36103653,48148098,42005777,51807773,30437040,39927937,0,7036543,2548590,108196572,110481495,155024369,73364829,1218452,99210136,59116968,34931762,24185120,9726761,3276,1638,614,538,578,673,873,1005,633,1086,0,178,65,1483,2102,3021,1642,27,2263,1139,574,435,222
