law,query,source_filter,expected_articles
하수도법,배수설비 공사 신고 절차,SEWAGE_LAW_SOURCES,제27조 / 제2조 / 제34조 / 제37조
하수도법,배수설비 설치 기준,SEWAGE_LAW_SOURCES,제30조 / 제33조 / 제34조 / 제35조 / 제51조 / 제51조의2 / 제70조
상가임대차보호법,보증금 우선변제 상가건물,LEASE_LAW_STRICT_SOURCES,제10조의2 / 제14조 / 제14조의2 / 제20조 / 제5조 / 제6조 / 제7조
상가임대차보호법,보증금 월차임 환산 방법,LEASE_LAW_STRICT_SOURCES,제10조의2 / 제11조 / 제12조 / 제20조 / 제2조 / 제4조 / 제7조
가맹사업법,본부 지정 물품만 사야 하나요,FRANCHISE_LAW_SOURCES,제12조 / 제13조 / 제15조의6 / 제6조
부가가치세법,부가가치세 과세 대상 범위,VAT_LAW_SOURCES,제10조 / 제1조 / 제2조 / 제4조 / 제72조
부가가치세법,부가가치세 신고 납부 기한,VAT_LAW_SOURCES,제48조 / 제49조 / 제52조의2 / 제58조 / 제67조 / 제70조
공정거래법,부당 표시광고 금지,FAIR_TRADE_SOURCES,제125조 / 제45조 / 제89조
공정거래법,부당한 공동행위 담합 금지,FAIR_TRADE_SOURCES,제108조 / 제120조 / 제21조 / 제40조 / 제44조 / 제45조 / 제51조
근로기준법,부당해고 구제 신청,LABOR_LAW_SOURCES,제111조 / 제23조 / 제28조 / 제30조 / 제31조 / 제32조 / 제33조 / 제51조의2
가맹사업법,불공정거래행위 구속조건부 거래 필수품목 가맹사업법,FRANCHISE_LAW_SOURCES,제12조 / 제12조의7 / 제13조
공정거래법,불공정거래행위 금지 거래강제 공정거래법,FAIR_TRADE_SOURCES,제102조 / 제38조 / 제40조 / 제44조 / 제45조 / 제51조
공정거래법,불공정거래행위 유형 분류,FAIR_TRADE_SOURCES,제45조 / 제51조 / 제5조 / 제89조
건축법,불법건축물 과태료 처벌,BUILDING_LAW_SOURCES,제106조 / 제77조의4 / 제80조 / 제80조의2
부가가치세법,사업자등록 개업 전 신청,VAT_LAW_SOURCES,제48조 / 제5조 / 제60조 / 제8조
부가가치세법,사업자등록 미신청 가산세,VAT_LAW_SOURCES,제38조 / 제5조 / 제70조 / 제8조
부가가치세법,사업자등록 신청 절차 부가가치세법,VAT_LAW_SOURCES,제5조 / 제60조 / 제6조 / 제8조
부가가치세법,사업자등록증 발급 절차,VAT_LAW_SOURCES,제6조 / 제7조 / 제8조
식품위생법,사전 위생교육 이수 의무,FOOD_HYGIENE_SOURCES,제41조 / 제54조
상가임대차보호법,상가 임대차 보호 대상 기준,LEASE_LAW_STRICT_SOURCES,제21조 / 제2조 / 제5조
상가임대차보호법,상가 임대차 적용 범위 대상,LEASE_LAW_STRICT_SOURCES,제21조 / 제2조
상가임대차보호법,상가건물 임대차 분쟁조정,LEASE_LAW_STRICT_SOURCES,제20조 / 제21조 / 제2조 / 제8조 / 제9조
가맹사업법,상권보호 영업구역 보장 가맹사업법,FRANCHISE_LAW_SOURCES,제12조의4 / 제2조
부가가치세법,세금계산서 기재 사항,VAT_LAW_SOURCES,제270조의2 / 제32조 / 제39조 / 제60조 / 제68조의2
부가가치세법,세금계산서 미발급 가산세,VAT_LAW_SOURCES,제32조 / 제33조 / 제39조 / 제60조 / 제68조의2
부가가치세법,세금계산서 발급 의무 부가가치세법,VAT_LAW_SOURCES,제32조 / 제33조 / 제34조 / 제39조 / 제60조 / 제68조의2
소방시설법,소방시설 설치 면제 조건,FIRE_SAFETY_SOURCES,제11조 / 제12조 / 제13조 / 제15조 / 제7조
소방시설법,소방시설 설치 의무 기준 소방시설법,FIRE_SAFETY_SOURCES,제10조 / 제12조 / 제13조 / 제15조 / 제2조 / 제7조
소방시설법,소방시설 성능위주설계,FIRE_SAFETY_SOURCES,제12조 / 제15조 / 제2조 / 제7조 / 제9조
소방시설법,소방시설 위반 벌칙 과태료,FIRE_SAFETY_SOURCES,제15조 / 제36조 / 제57조 / 제58조 / 제59조 / 제61조 / 제7조
소방시설법,소방시설 유지관리 의무,FIRE_SAFETY_SOURCES,제12조 / 제15조 / 제4조 / 제7조
소방시설법,소방시설 자체점검 정기점검 소방시설법,FIRE_SAFETY_SOURCES,제22조 / 제23조
소방시설법,소방시설 점검 결과 보고,FIRE_SAFETY_SOURCES,제12조 / 제22조 / 제23조 / 제61조
근로기준법,수습기간 해고 예고 예외,LABOR_LAW_SOURCES,제23조 / 제26조 / 제76조의3
소방시설법,스프링클러 소화기 설치 기준,FIRE_SAFETY_SOURCES,제10조 / 제11조 / 제12조 / 제13조 / 제2조
식품위생법,시설기준 영업자 준수사항 식품위생법,FOOD_HYGIENE_SOURCES,제3조 / 제44조 / 제47조의2 / 제49조 / 제52조
공정거래법,시장지배적 지위 남용 금지,FAIR_TRADE_SOURCES,제108조 / 제14조 / 제40조 / 제5조 / 제7조
식품위생법,식품 표시기준 의무,FOOD_HYGIENE_SOURCES,제10조 / 제49조
식품위생법,식품위생교육 시간 대상,FOOD_HYGIENE_SOURCES,제31조의6 / 제41조 / 제51조 / 제52조
식품위생법,식품위생법 위반 과태료 벌칙,FOOD_HYGIENE_SOURCES,제101조 / 제76조 / 제77조 / 제78조 / 제83조 / 제97조
식품위생법,식품이력추적관리 등록,FOOD_HYGIENE_SOURCES,제49조 / 제49조의2 / 제69조 / 제71조 / 제74조
식품위생법,식품접객업 시설기준,FOOD_HYGIENE_SOURCES,제36조 / 제47조의2 / 제49조 / 제52조
식품위생법,식품접객업 영업신고 절차,FOOD_HYGIENE_SOURCES,제37조 / 제47조의2 / 제52조
상가임대차보호법,신규 임차인 주선 권리금,LEASE_LAW_STRICT_SOURCES,제10조의3 / 제10조의4 / 제10조의6
근로기준법,아르바이트 근로계약서 필수 사항,LABOR_LAW_SOURCES,제17조
근로기준법,야간근로 가산임금,LABOR_LAW_SOURCES,제51조 / 제51조의2 / 제56조 / 제6조
근로기준법,연장근로 가산임금 50퍼센트,LABOR_LAW_SOURCES,제51조 / 제56조 / 제69조 / 제6조
근로기준법,연장근로 한도 주 12시간,LABOR_LAW_SOURCES,제51조 / 제52조 / 제53조 / 제54조 / 제59조 / 제60조 / 제69조
근로기준법,연차 유급휴가 일수 계산,LABOR_LAW_SOURCES,제51조 / 제51조의2 / 제60조 / 제61조
식품위생법,영업승계 신고 절차,FOOD_HYGIENE_SOURCES,제39조 / 제42조 / 제52조 / 제94조
식품위생법,영업신고 영업허가 절차 식품위생법,FOOD_HYGIENE_SOURCES,제21조 / 제36조 / 제37조 / 제40조 / 제41조 / 제52조
식품위생법,영업자 준수사항 위반 제재,FOOD_HYGIENE_SOURCES,제44조 / 제67조
식품위생법,영업정지 취소 사유,FOOD_HYGIENE_SOURCES,제49조 / 제52조 / 제62조 / 제75조
식품위생법,영업종류 분류 식품접객업,FOOD_HYGIENE_SOURCES,제36조 / 제37조 / 제47조의2 / 제52조
가맹사업법,영업지역 미설정 가맹계약서 미기재,FRANCHISE_LAW_SOURCES,제11조 / 제11조의2 / 제12조의4 / 제2조 / 제37조의2 / 제41조
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,FRANCHISE_LAW_SOURCES,제12조의4 / 제14조 / 제7조
가맹사업법,영업지역 설정 의무 가맹계약서 기재,FRANCHISE_LAW_SOURCES,제11조 / 제11조의2 / 제12조의4 / 제13조 / 제2조
가맹사업법,영업지역 침해 거리제한 가맹사업법,FRANCHISE_LAW_SOURCES,제12조의4 / 제13조의4
식품위생법,영업허가 대상 업종 식품위생법,FOOD_HYGIENE_SOURCES,제36조 / 제37조 / 제40조 / 제52조
가맹사업법,예상매출액 산정서 서면 제공 의무,FRANCHISE_LAW_SOURCES,제12조의6 / 제43조 / 제9조
하수도법,오수 배출 개인하수처리시설 설치 배수설비 하수도법,SEWAGE_LAW_SOURCES,제2조 / 제34조 / 제35조 / 제37조 / 제38조 / 제40조 / 제44조
건축법,용도변경 신고 허가 대상,BUILDING_LAW_SOURCES,제10조 / 제11조 / 제16조 / 제19조 / 제78조 / 제80조
가맹사업법,월 매출 5000만원 보장한다고 했는데 실제 1500만원,FRANCHISE_LAW_SOURCES,제35조 / 제41조 / 제43조 / 제8조 / 제9조
건축법,위반건축물 이행강제금,BUILDING_LAW_SOURCES,제106조 / 제77조 / 제80조 / 제80조의2
식품위생법,위생교육 미이수 과태료,FOOD_HYGIENE_SOURCES,제101조 / 제41조 / 제54조 / 제68조의4 / 제83조
식품위생법,위생교육 식품접객업 의무 식품위생법,FOOD_HYGIENE_SOURCES,제41조 / 제43조 / 제54조 / 제84조
식품위생법,위해식품 판매 금지,FOOD_HYGIENE_SOURCES,제4조 / 제5조의4 / 제7조의4
식품위생법,음식점 영업허가 필요 서류,FOOD_HYGIENE_SOURCES,제21조 / 제37조 / 제47조의2 / 제52조
하수도법,음식점 오수 처리 방법,SEWAGE_LAW_SOURCES,제2조 / 제34조 / 제37조 / 제38조의2 / 제46조 / 제5조 / 제62조
장애인편의법,음식점 편의시설 설치 의무 여부,ACCESSIBILITY_LAW_SOURCES,제10조의2 / 제12조 / 제17조 / 제2조 / 제3조 / 제7조 / 제8조 / 제9조
부가가치세법,일반과세자 간이과세자 전환,VAT_LAW_SOURCES,제44조 / 제61조 / 제66조 / 제70조
근로기준법,임금 지급 시기 방법,LABOR_LAW_SOURCES,제43조 / 제44조의4 / 제48조 / 제60조
근로기준법,임금 지급 최저임금 주휴수당 가산임금 근로기준법,LABOR_LAW_SOURCES,제13조 / 제43조 / 제51조의2 / 제56조 / 제6조 / 제8조 / 제95조
근로기준법,임금 체불 신고 방법,LABOR_LAW_SOURCES,제43조 / 제43조의2 / 제48조
상가임대차보호법,임대인 갱신거절 통지 기간,LEASE_LAW_STRICT_SOURCES,제10조 / 제9조
상가임대차보호법,임대인 권리금 방해 행위 금지,LEASE_LAW_STRICT_SOURCES,제10조 / 제10조의3 / 제10조의4
상가임대차보호법,임대차 계약갱신 특례,LEASE_LAW_STRICT_SOURCES,제10조 / 제10조의2 / 제10조의9 / 제21조 / 제9조
상가임대차보호법,임대차 기간 최소 보장 상가건물,LEASE_LAW_STRICT_SOURCES,제10조 / 제20조 / 제2조 / 제9조
상가임대차보호법,임대차 대항력 확정일자,LEASE_LAW_STRICT_SOURCES,제21조 / 제3조 / 제3조의3 / 제4조 / 제6조 / 제7조
소방시설법,임시소방시설 설치 의무,FIRE_SAFETY_SOURCES,제15조 / 제7조
상가임대차보호법,임차권등기명령 보증금 반환,LEASE_LAW_STRICT_SOURCES,제10조의2 / 제14조 / 제18조 / 제20조 / 제5조 / 제6조
장애인편의법,장애인 화장실 설치 기준,ACCESSIBILITY_LAW_SOURCES,제10조의2 / 제12조 / 제16조 / 제9조
부가가치세법,전자세금계산서 발급 방법,VAT_LAW_SOURCES,제32조 / 제33조 / 제39조 / 제48조 / 제60조
장애인편의법,점자블록 설치 기준,ACCESSIBILITY_LAW_SOURCES,제10조의2 / 제12조 / 제16조 / 제22조 / 제3조 / 제8조 / 제9조 / 제9조의2
가맹사업법,정보공개서 기재 사항 항목,FRANCHISE_LAW_SOURCES,제4조 / 제5조의3 / 제6조 / 제6조의2 / 제6조의3
가맹사업법,정보공개서 등록 의무 가맹본부 가맹사업법,FRANCHISE_LAW_SOURCES,제5조의2 / 제5조의4 / 제5조의5 / 제6조 / 제6조의2 / 제6조의3 / 제6조의4 / 제7조
가맹사업법,정보공개서 등록 취소 사유,FRANCHISE_LAW_SOURCES,제14조의3 / 제5조의2 / 제5조의6 / 제5조의7 / 제6조의3 / 제6조의4
가맹사업법,정보공개서 미제공 가맹계약 효력,FRANCHISE_LAW_SOURCES,제13조 / 제37조의2 / 제41조 / 제6조의2 / 제7조
가맹사업법,정보공개서 변경 등록 의무,FRANCHISE_LAW_SOURCES,제5조의3 / 제6조의2 / 제6조의3
가맹사업법,정보공개서 제공 시기 14일 숙고기간,FRANCHISE_LAW_SOURCES,제37조의2 / 제6조 / 제7조
가맹사업법,정보공개서 허위 기재 처벌,FRANCHISE_LAW_SOURCES,제41조 / 제4조 / 제6조의2 / 제6조의3 / 제9조
근로기준법,주 52시간 근로시간 상한,LABOR_LAW_SOURCES,제50조 / 제51조 / 제51조의2 / 제53조
근로기준법,주휴수당 지급 기준,LABOR_LAW_SOURCES,제17조 / 제55조 / 제56조 / 제57조
상가임대차보호법,차임 증액 제한 5퍼센트,LEASE_LAW_STRICT_SOURCES,제11조 / 제12조 / 제4조 / 제5조
개인정보보호법,최소한의 개인정보 수집 원칙,PRIVACY_LAW_SOURCES,제15조 / 제16조 / 제30조 / 제30조의3
근로기준법,최저임금 위반 벌칙,LABOR_LAW_SOURCES,제107조 / 제28조 / 제43조 / 제6조 / 제8조
식품위생법,카페 영업신고 방법 절차,FOOD_HYGIENE_SOURCES,제21조 / 제37조 / 제52조
건축법,카페 용도 근린생활시설 해당 여부,BUILDING_LAW_SOURCES,제19조 / 제19조의2 / 제2조
근로기준법,퇴직급여 퇴직금 지급 기준,LABOR_LAW_SOURCES,제34조
소방시설법,특정소방대상물 소방시설 설치 기준,FIRE_SAFETY_SOURCES,제10조 / 제12조 / 제13조 / 제15조 / 제2조 / 제7조
장애인편의법,편의시설 미설치 과태료,ACCESSIBILITY_LAW_SOURCES,제12조 / 제16조 / 제25조 / 제8조
장애인편의법,편의시설 설치 면제 조건,ACCESSIBILITY_LAW_SOURCES,제12조 / 제15조 / 제17조 / 제3조 / 제8조 / 제9조의2
장애인편의법,편의시설 설치 의무 대상 300제곱미터,ACCESSIBILITY_LAW_SOURCES,제12조 / 제17조 / 제3조 / 제7조 / 제8조 / 제9조 / 제9조의2
장애인편의법,편의시설 설치기준 경사로 출입구 장애인편의법,ACCESSIBILITY_LAW_SOURCES,제10조의2 / 제16조 / 제17조 / 제22조 / 제3조 / 제8조 / 제9조의2
장애인편의법,편의시설 적합성 확인 절차,ACCESSIBILITY_LAW_SOURCES,제10조의2 / 제10조의5 / 제11조 / 제24조 / 제3조 / 제8조 / 제9조의2 / 제9조의3
상가임대차보호법,표준권리금계약서 작성,LEASE_LAW_STRICT_SOURCES,제10조의4 / 제10조의6 / 제19조
하수도법,하수도법 위반 과태료 벌칙,SEWAGE_LAW_SOURCES,제39조 / 제80조 / 제82조
근로기준법,해고 예고 30일 전 통보,LABOR_LAW_SOURCES,제26조 / 제27조 / 제51조의2
가맹사업법,허위 과장 정보제공 예상매출액 가맹사업법,FRANCHISE_LAW_SOURCES,제34조 / 제41조 / 제8조 / 제9조
가맹사업법,허위 매출 정보 손해배상 가맹사업법,FRANCHISE_LAW_SOURCES,제10조 / 제12조의5 / 제35조 / 제41조 / 제8조 / 제9조
상가임대차보호법,환산보증금 서울 기준 금액,LEASE_LAW_STRICT_SOURCES,제12조 / 제14조 / 제14조의2 / 제2조 / 제5조 / 제6조
상가임대차보호법,환산보증금 차임 증감청구 보증금 보호,LEASE_LAW_STRICT_SOURCES,제10조의2 / 제11조 / 제12조 / 제14조 / 제20조 / 제2조 / 제4조 / 제6조 / 제7조
근로기준법,휴게시간 부여 기준,LABOR_LAW_SOURCES,제54조 / 제59조 / 제74조
