law,query,expected_articles,returned_article,match,snippet,f1,human_verdict,action
가맹사업법,동일 브랜드 직영점 입점 제한 가맹사업법,제12조의4,제12조의4,정답,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.5,O,
가맹사업법,동일 브랜드 직영점 입점 제한 가맹사업법,제12조의4,제2조,,"이하 같다)이 다 음의 어느 하나에 해당하는 경우에는 해당 사실 1) 이 법, 「독점규제 및 공정거래에 관한 법률」 또는 「약관의 규제에 관한 법률」을 위반한 경우 2) 사기ㆍ횡령ㆍ배임 등 타인의 재산을 영득하거나",0.5,X,무관 (전문가)
가맹사업법,동일 브랜드 직영점 입점 제한 가맹사업법,제12조의4,제6조의3,,"[제6조의3] <개 정 2016. 12. 20., 2018. 1. 16., 2021. 5. 18.> 1. 정보공개서나 그 밖의 신청서류에 거짓이 있거나 필요한 내용을 적지 아니한 경우 2. 정보공개서에 기재된 가맹사",0.5,X,무관 (전문가)
가맹사업법,영업지역 설정 의무 가맹계약서 기재,제12조의4,제14조의2,,제14조의2(가맹점사업자단체의 거래조건 변경 협의 등),0.333,X,무관 (전문가)
가맹사업법,영업지역 설정 의무 가맹계약서 기재,제12조의4,제13조,,[제13조] 그 밖에 가맹점사업자가 가맹사업을 정상적으로 유지하기 위하여 필요하다고 인정되는 것으로서 대통령령으 로 정하는 사항,0.333,O,정답에 추가
가맹사업법,영업지역 설정 의무 가맹계약서 기재,제12조의4,제12조의4,정답,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.333,O,
가맹사업법,영업지역 설정 의무 가맹계약서 기재,제12조의4,제4조,,제4조(정보공개서의 기재사항) ①법 제2조제10호 각 목 외의 부분에서 “대통령령으로 정하는 사항”이란 별표 1의 기재 사항(이하 “정보공개사항”이라 한다)을 말한다. <개정 2008. 1. 31.> ②정보공개서는,0.333,X,무관 (전문가)
가맹사업법,영업지역 설정 의무 가맹계약서 기재,제12조의4,제11조의2,,제11조의2(표준가맹계약서) ① 공정거래위원회는 건전한 가맹사업거래질서를 확립하고 불공정한 내용의 가맹계약이 통용되는 것을 방지하기 위하여 일정한 가맹사업거래에서 표준이 되는 가맹계약서(이하 “표준가맹계약서”라 한다,0.333,O,정답에 추가 (전문가)
가맹사업법,상권보호 영업구역 보장 가맹사업법,제12조의4,제12조의4,정답,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.333,O,
가맹사업법,상권보호 영업구역 보장 가맹사업법,제12조의4,제31조,,제31조(가맹거래사의 등록취소와 자격정지),0.333,X,무관
가맹사업법,상권보호 영업구역 보장 가맹사업법,제12조의4,제15조의4,,제15조의4(가맹본부와 가맹점사업자 간 협약체결의 권장 등) ① 공정거래위원회는 가맹본부와 가맹점사업자가 가맹사 업 관계 법령의 준수 및 상호 지원ㆍ협력을 약속하는 자발적인 협약을 체결하도록 권장할 수 있다. ② 공,0.333,X,무관
가맹사업법,상권보호 영업구역 보장 가맹사업법,제12조의4,제12조의7,,제12조의7(업종별 거래기준 권고) 공정거래위원회는 가맹사업거래의 공정한 거래질서 확립을 위하여 필요한 경우 업 종별로 바람직한 거래기준을 정하여 가맹본부에 이의 준수를 권고할 수 있다. [본조신설 2013. 8.,0.333,X,무관
가맹사업법,상권보호 영업구역 보장 가맹사업법,제12조의4,제13조의3,,제13조의3(부당한 영업시간 구속 금지의 판단기준) ① 법 제12조의3제2항제1호에서 “대통령령으로 정하는 심야 영업 시간대”란 오전 0시부터 오전 6시까지 또는 오전 1시부터 오전 6시까지를 말한다. <개정 201,0.333,X,무관
가맹사업법,가맹본부 영업지역 변경 협의 가맹사업법,제12조의4 / 제12조의5,제12조의4,정답,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.333,O,
가맹사업법,가맹본부 영업지역 변경 협의 가맹사업법,제12조의4 / 제12조의5,제14조의2,,제14조의2(가맹점사업자단체의 거래조건 변경 협의 등),0.333,X,무관
가맹사업법,가맹본부 영업지역 변경 협의 가맹사업법,제12조의4 / 제12조의5,제6조,,1. 가맹사업의 통일성 및 가맹본부의 명성을 유지하기 위한 노력 2. 가맹본부의 공급계획과 소비자의 수요충족에 필요한 적정한 재고유지 및 상품진열 3. 가맹본부가 상품 또는 용역에 대하여 제시하는 적절한 품질기준의,0.333,X,무관
가맹사업법,가맹본부 영업지역 변경 협의 가맹사업법,제12조의4 / 제12조의5,제5조의3,,[제5조의3] ③ 가맹본부는 별표 1의2에서 정한 변경등록사항이 변경된 경우에는 같은 표에서 정한 기한 내에 별지 제4호서식 의 정보공개서 변경등록 신청서에 다음 각 호의 서류를 첨부하여 공정거래위원회 또는 시ㆍ도지,0.333,X,무관
가맹사업법,가맹본부 영업지역 변경 협의 가맹사업법,제12조의4 / 제12조의5,,MISS,[미반환] 기대 조문: 제12조의5,0.333,,정답 유지
가맹사업법,가맹점 반경 500m 동일 브랜드 출점,제12조의4,제14조,,"제14조 및 제37조의2를 준용한다. 이 경우 “가맹점사업자”는 “가맹지역본부”로, “가맹계약 ”은 “가맹대행계약”으로 본다. [본조신설 2025. 12. 30.] [시행일: 2026. 12. 31.]",0.0,X,미시행 - 자동 제외
가맹사업법,가맹점 반경 500m 동일 브랜드 출점,제12조의4,제13조의5,,제13조의5(광고ㆍ판촉행사의 실시 등),0.0,X,무관
가맹사업법,가맹점 반경 500m 동일 브랜드 출점,제12조의4,제14조의2,,[제14조의2] ② 특정 가맹본부와 가맹계약을 체결ㆍ유지하고 있는 가맹점사업자(복수의 영업표지를 보유한 가맹본부와 계약 중 인 가맹점사업자의 경우에는 동일한 영업표지를 사용하는 가맹점사업자로 한정한다)로만 구성된 가,0.0,X,무관
가맹사업법,가맹점 반경 500m 동일 브랜드 출점,제12조의4,제9조,,⑥ 가맹본부는 예상매출액 산정서를 가맹계약 체결일부터 5년간 보관하여야 한다.<신설 2013. 8. 13.>,0.0,X,무관
가맹사업법,가맹점 반경 500m 동일 브랜드 출점,제12조의4,제14조의3,,[제14조의3] ① 제14조의2제1항에 따라 구성된 가맹점사업자단체 중 다음 각 호의 요건을 모두 갖춘 가맹점사업자단체는 공정거래위원회에 등록할 수 있다. 1. 특정 가맹본부와 가맹계약을 체결ㆍ유지하고 동일한 영업표,0.0,X,무관
가맹사업법,가맹점 반경 500m 동일 브랜드 출점,제12조의4,,MISS,[미반환] 기대 조문: 제12조의4,0.0,,정답 유지
가맹사업법,영업지역 미설정 가맹계약서 미기재,제12조의4,제9조,,[제9조] ⑥ 가맹본부는 예상매출액 산정서를 가맹계약 체결일부터 5년간 보관하여야 한다.<신설 2013. 8. 13.>,0.333,X,무관 (전문가)
가맹사업법,영업지역 미설정 가맹계약서 미기재,제12조의4,제41조,,"[제41조] ①제9조제1항의 규정에 위반하여 허위ㆍ과장의 정보제공행위나 기만적인 정보제공행위를 한 자는 5년 이하의 징역 또는 3억원 이하의 벌금에 처한다. <개정 2007. 8. 3., 2013. 8. 13.>",0.333,X,무관 (전문가)
가맹사업법,영업지역 미설정 가맹계약서 미기재,제12조의4,제37조의2,,행위에 따른 벌금 및 과징금 5. 위반행위의 기간ㆍ횟수 6. 가맹본부의 재산상태 7. 가맹본부의 피해구제 노력의 정도 ④ 제1항 또는 제2항에 따라 손해배상청구의 소가 제기된 경우 「독점규제 및 공정거래에 관한 법률,0.333,O,정답에 추가 (전문가)
가맹사업법,영업지역 미설정 가맹계약서 미기재,제12조의4,제12조의4,정답,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.333,O,
가맹사업법,영업지역 미설정 가맹계약서 미기재,제12조의4,제11조의2,,제11조의2(표준가맹계약서) ① 공정거래위원회는 건전한 가맹사업거래질서를 확립하고 불공정한 내용의 가맹계약이 통용되는 것을 방지하기 위하여 일정한 가맹사업거래에서 표준이 되는 가맹계약서(이하 “표준가맹계약서”라 한다,0.333,O,정답에 추가 (전문가)
가맹사업법,가맹본부 영업지역 침해 손해배상,제12조의4,제9조,,[제9조] ⑥ 가맹본부는 예상매출액 산정서를 가맹계약 체결일부터 5년간 보관하여야 한다.<신설 2013. 8. 13.>,0.0,X,무관 (전문가)
가맹사업법,가맹본부 영업지역 침해 손해배상,제12조의4,제41조,,"[제41조] ①제9조제1항의 규정에 위반하여 허위ㆍ과장의 정보제공행위나 기만적인 정보제공행위를 한 자는 5년 이하의 징역 또는 3억원 이하의 벌금에 처한다. <개정 2007. 8. 3., 2013. 8. 13.>",0.0,X,무관 (전문가)
가맹사업법,가맹본부 영업지역 침해 손해배상,제12조의4,제37조의2,,행위에 따른 벌금 및 과징금 5. 위반행위의 기간ㆍ횟수 6. 가맹본부의 재산상태 7. 가맹본부의 피해구제 노력의 정도 ④ 제1항 또는 제2항에 따라 손해배상청구의 소가 제기된 경우 「독점규제 및 공정거래에 관한 법률,0.0,O,정답에 추가
가맹사업법,가맹본부 영업지역 침해 손해배상,제12조의4,제2조,,4. “가맹희망자”란 가맹계약을 체결하기 위하여 가맹본부나 가맹지역본부와 상담하거나 협의하는 자를 말한다. 5. “가맹점운영권”이란 가맹점사업자가 가맹본부의 가맹사업과 관련하여 가맹점을 운영할 수 있는 계약상의 권리,0.0,X,무관 (전문가)
가맹사업법,가맹본부 영업지역 침해 손해배상,제12조의4,제13조,,가맹점사업자에게 천재지변이나 그 밖에 대통령령 으로 정하는 부득이한 사유가 있는 경우에는 그러하지 아니하다. [전문개정 2007. 8. 3.],0.0,X,무관 (전문가)
가맹사업법,가맹본부 영업지역 침해 손해배상,제12조의4,,MISS,[미반환] 기대 조문: 제12조의4,0.0,,정답 유지
가맹사업법,불공정거래행위 구속조건부 거래 필수품목 가맹사업법,제12조,제11조,,[제11조] 10. 가맹희망자가 정보공개서에 대하여 변호사 또는 제27조에 따른 가맹거래사의 자문을 받은 경우 이에 관한 사항 11. 가맹본부 또는 가맹본부 임원의 위법행위 또는 가맹사업의 명성이나 신용을 훼손하는,0.333,X,무관
가맹사업법,불공정거래행위 구속조건부 거래 필수품목 가맹사업법,제12조,제37조의2,,[제37조의2] ④ 제1항 또는 제2항에 따라 손해배상청구의 소가 제기된 경우 「독점규제 및 공정거래에 관한 법률」,0.333,X,무관
가맹사업법,불공정거래행위 구속조건부 거래 필수품목 가맹사업법,제12조,제12조,정답,배상 의무를 부담시키는 행위 가맹사업거래의 공정화에 관한 법률 6. 제1호부터 제3호까지 및 제5호 외의 행위로서 부당하게 경쟁가맹본부의 가맹점사업자를 자기와 거래하도록 유 인하는 행위 등 가맹사업의 공정한 거래를,0.333,O,
가맹사업법,불공정거래행위 구속조건부 거래 필수품목 가맹사업법,제12조,제13조,,제13조(불공정거래행위의 유형 또는 기준) ①법 제12조제2항의 규정에 의한 불공정거래행위의 유형 또는 기준은 별표 2와 같다. ②공정거래위원회는 필요하다고 인정하는 경우에 별표 2의 유형 또는 기준의 범위내에서 특,0.333,O,정답에 추가
가맹사업법,불공정거래행위 구속조건부 거래 필수품목 가맹사업법,제12조,제12조의7,,제12조의7(업종별 거래기준 권고) 공정거래위원회는 가맹사업거래의 공정한 거래질서 확립을 위하여 필요한 경우 업 종별로 바람직한 거래기준을 정하여 가맹본부에 이의 준수를 권고할 수 있다. [본조신설 2013. 8.,0.333,O,정답에 추가
가맹사업법,가맹본부 물품 구입 강제 가맹사업법,제12조,제14조의2,,제14조의2(가맹점사업자단체의 거래조건 변경 협의 등),0.0,X,무관 (전문가)
가맹사업법,가맹본부 물품 구입 강제 가맹사업법,제12조,제3조,,[제3조] 이하 같다) 5. 그 밖에 가맹본부에 귀속되지 않는 금전으로서 소비자가 제3의 기관에 지급하는 것을 가맹본부가 대행하는 것,0.0,X,무관 (전문가)
가맹사업법,가맹본부 물품 구입 강제 가맹사업법,제12조,제6조,,1. 가맹사업의 통일성 및 가맹본부의 명성을 유지하기 위한 노력 2. 가맹본부의 공급계획과 소비자의 수요충족에 필요한 적정한 재고유지 및 상품진열 3. 가맹본부가 상품 또는 용역에 대하여 제시하는 적절한 품질기준의,0.0,X,무관 (전문가)
가맹사업법,가맹본부 물품 구입 강제 가맹사업법,제12조,제14조,,제14조(가맹계약의 갱신거절사유 등) ① 법 제13조제1항제3호다목에서 “대통령령으로 정하는 사항”이란 다음 각 호의 어느 하나에 해당하는 사항을 말한다. 1. 가맹본부의 가맹사업 경영에 필수적인 지식재산권의 보호에,0.0,X,무관 (전문가)
가맹사업법,가맹본부 물품 구입 강제 가맹사업법,제12조,,MISS,[미반환] 기대 조문: 제12조,0.0,,정답 유지
가맹사업법,가맹본부 세제 설탕 종이컵 본부 구매 강제,제12조,제3조,,[제3조] 이하 같다) 5. 그 밖에 가맹본부에 귀속되지 않는 금전으로서 소비자가 제3의 기관에 지급하는 것을 가맹본부가 대행하는 것,0.0,X,무관
가맹사업법,가맹본부 세제 설탕 종이컵 본부 구매 강제,제12조,제13조,,[제13조] 그 밖에 가맹점사업자가 가맹사업을 정상적으로 유지하기 위하여 필요하다고 인정되는 것으로서 대통령령으 로 정하는 사항,0.0,O,정답에 추가
가맹사업법,가맹본부 세제 설탕 종이컵 본부 구매 강제,제12조,제2조,,4. “가맹희망자”란 가맹계약을 체결하기 위하여 가맹본부나 가맹지역본부와 상담하거나 협의하는 자를 말한다. 5. “가맹점운영권”이란 가맹점사업자가 가맹본부의 가맹사업과 관련하여 가맹점을 운영할 수 있는 계약상의 권리,0.0,X,무관
가맹사업법,가맹본부 세제 설탕 종이컵 본부 구매 강제,제12조,,MISS,[미반환] 기대 조문: 제12조,0.0,,정답 유지
가맹사업법,가맹본부 불공정거래 유형 가맹사업법,제12조,제15조의3,,의 인가를 받아 공제조합(이하 “공제조합”이라 한다)을 설립할 수 있다. 가맹사업거래의 공정화에 관한 법률,0.333,X,무관 (전문가)
가맹사업법,가맹본부 불공정거래 유형 가맹사업법,제12조,제14조의2,,[제14조의2] ① 가맹점사업자는 권익보호 및 경제적 지위 향상을 도모하기 위하여 단체(이하 “가맹점사업자단체”라 한다)를 구성할 수 있다. 가맹사업거래의 공정화에 관한 법률,0.333,X,무관 (전문가)
가맹사업법,가맹본부 불공정거래 유형 가맹사업법,제12조,제12조,정답,배상 의무를 부담시키는 행위 가맹사업거래의 공정화에 관한 법률 6. 제1호부터 제3호까지 및 제5호 외의 행위로서 부당하게 경쟁가맹본부의 가맹점사업자를 자기와 거래하도록 유 인하는 행위 등 가맹사업의 공정한 거래를,0.333,O,
가맹사업법,가맹본부 불공정거래 유형 가맹사업법,제12조,제2조,,4. “가맹희망자”란 가맹계약을 체결하기 위하여 가맹본부나 가맹지역본부와 상담하거나 협의하는 자를 말한다. 5. “가맹점운영권”이란 가맹점사업자가 가맹본부의 가맹사업과 관련하여 가맹점을 운영할 수 있는 계약상의 권리,0.333,X,무관 (전문가)
가맹사업법,가맹본부 불공정거래 유형 가맹사업법,제12조,제13조,,제13조(불공정거래행위의 유형 또는 기준) ①법 제12조제2항의 규정에 의한 불공정거래행위의 유형 또는 기준은 별표 2와 같다. ②공정거래위원회는 필요하다고 인정하는 경우에 별표 2의 유형 또는 기준의 범위내에서 특,0.333,O,정답에 추가 (전문가)
가맹사업법,가맹본부 부당한 거래조건 강제,제12조,제14조의2,,제14조의2(가맹점사업자단체의 거래조건 변경 협의 등),0.0,X,무관 (전문가)
가맹사업법,가맹본부 부당한 거래조건 강제,제12조,제6조,,경우 사업장의 위치변경 또는 가맹점운영권의 양도 금지 10. 가맹계약기간중 가맹본부와 동일한 업종을 영위하는 행위의 금지 11. 가맹본부의 영업기술이나 영업비밀의 누설 금지 12. 영업표지에 대한 제3자의 침해사실을,0.0,X,무관 (전문가)
가맹사업법,가맹본부 부당한 거래조건 강제,제12조,제2조,,4. “가맹희망자”란 가맹계약을 체결하기 위하여 가맹본부나 가맹지역본부와 상담하거나 협의하는 자를 말한다. 5. “가맹점운영권”이란 가맹점사업자가 가맹본부의 가맹사업과 관련하여 가맹점을 운영할 수 있는 계약상의 권리,0.0,X,무관 (전문가)
가맹사업법,가맹본부 부당한 거래조건 강제,제12조,,MISS,[미반환] 기대 조문: 제12조,0.0,,정답 유지
가맹사업법,본부 지정 물품만 사야 하나요,제12조,제9조,,[제9조] ⑥ 가맹본부는 예상매출액 산정서를 가맹계약 체결일부터 5년간 보관하여야 한다.<신설 2013. 8. 13.>,0.0,X,무관
가맹사업법,본부 지정 물품만 사야 하나요,제12조,제41조,,"[제41조] ①제9조제1항의 규정에 위반하여 허위ㆍ과장의 정보제공행위나 기만적인 정보제공행위를 한 자는 5년 이하의 징역 또는 3억원 이하의 벌금에 처한다. <개정 2007. 8. 3., 2013. 8. 13.>",0.0,X,무관
가맹사업법,본부 지정 물품만 사야 하나요,제12조,제2조,,4. “가맹희망자”란 가맹계약을 체결하기 위하여 가맹본부나 가맹지역본부와 상담하거나 협의하는 자를 말한다. 5. “가맹점운영권”이란 가맹점사업자가 가맹본부의 가맹사업과 관련하여 가맹점을 운영할 수 있는 계약상의 권리,0.0,X,무관
가맹사업법,본부 지정 물품만 사야 하나요,제12조,제13조,,가맹점사업자에게 천재지변이나 그 밖에 대통령령 으로 정하는 부득이한 사유가 있는 경우에는 그러하지 아니하다. [전문개정 2007. 8. 3.],0.0,O,정답에 추가
가맹사업법,본부 지정 물품만 사야 하나요,제12조,,MISS,[미반환] 기대 조문: 제12조,0.0,,정답 유지
가맹사업법,가맹본부 공산품 독점 공급 강제,제12조,제12조의4,,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.0,X,무관
가맹사업법,가맹본부 공산품 독점 공급 강제,제12조,제2조,,4. “가맹희망자”란 가맹계약을 체결하기 위하여 가맹본부나 가맹지역본부와 상담하거나 협의하는 자를 말한다. 5. “가맹점운영권”이란 가맹점사업자가 가맹본부의 가맹사업과 관련하여 가맹점을 운영할 수 있는 계약상의 권리,0.0,X,무관
가맹사업법,가맹본부 공산품 독점 공급 강제,제12조,제6조,,직원 그 밖의 대리 인의 사업장 출입허용 9. 가맹본부의 동의를 얻지 아니한 경우 사업장의 위치변경 또는 가맹점운영권의 양도 금지 10. 가맹계약기간중 가맹본부와 동일한 업종을 영위하는 행위의 금지 11. 가맹본부의,0.0,X,무관
가맹사업법,가맹본부 공산품 독점 공급 강제,제12조,제11조,,[제11조] 10. 가맹희망자가 정보공개서에 대하여 변호사 또는 제27조에 따른 가맹거래사의 자문을 받은 경우 이에 관한 사항 11. 가맹본부 또는 가맹본부 임원의 위법행위 또는 가맹사업의 명성이나 신용을 훼손하는,0.0,X,무관
가맹사업법,가맹본부 공산품 독점 공급 강제,제12조,,MISS,[미반환] 기대 조문: 제12조,0.0,,정답 유지
가맹사업법,가맹본부 식자재 독점 공급 문제,제12조,제12조의4,,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.0,X,무관
가맹사업법,가맹본부 식자재 독점 공급 문제,제12조,제2조,,4. “가맹희망자”란 가맹계약을 체결하기 위하여 가맹본부나 가맹지역본부와 상담하거나 협의하는 자를 말한다. 5. “가맹점운영권”이란 가맹점사업자가 가맹본부의 가맹사업과 관련하여 가맹점을 운영할 수 있는 계약상의 권리,0.0,X,무관
가맹사업법,가맹본부 식자재 독점 공급 문제,제12조,,MISS,[미반환] 기대 조문: 제12조,0.0,,정답 유지
가맹사업법,허위 과장 정보제공 예상매출액 가맹사업법,제9조,제9조,정답,[제9조] ① 가맹본부는 가맹희망자나 가맹점사업자에게 정보를 제공함에 있어서 다음 각 호의 행위를 하여서는 아니 된다. <개정 2013. 8. 13.> 가맹사업거래의 공정화에 관한 법률 1. 사실과 다르게 정보를 제,0.667,O,
가맹사업법,허위 과장 정보제공 예상매출액 가맹사업법,제9조,제8조,,제8조(허위ㆍ과장의 정보제공행위 등의 유형) ① 법 제9조제1항제1호에 따른 허위ㆍ과장의 정보제공행위의 유형은 다 음 각 호와 같다. 1. 객관적인 근거 없이 가맹희망자의 예상수익상황을 과장하여 제공하거나 사실과 다,0.667,O,정답에 추가
가맹사업법,매출 보장 허위 광고 가맹사업법,제9조,제12조의6,,[제12조의6] ② 가맹본부는 가맹점사업자가 비용의 전부 또는 일부를 부담하는 광고나 판촉행사를 실시한 경우 그 집행 내역을 가맹점사업자에게 통보하고 가맹점사업자의 요구가 있는 경우 이를 열람할 수 있도록 하여야 한,0.0,X,무관
가맹사업법,매출 보장 허위 광고 가맹사업법,제9조,제2조,,법률」을 위반한 경우 2) 사기ㆍ횡령ㆍ배임 등 타인의 재산을 영득하거나 편취하는 죄에 관련된 민사소송에서 패소의 확정판결을 받 았거나 민사상 화해를 한 경우 3) 사기ㆍ횡령ㆍ배임 등 타인의 재산을 영득하거나 편취하는,0.0,X,무관
가맹사업법,매출 보장 허위 광고 가맹사업법,제9조,제13조의6,,① 가맹본부는 법 제12조의6제2항에 따라 매 사업연도 종료 후 3개월 이내에 가맹점사업자에게 다음 각 호의 사항을 통보해야 한다. <개정 2022. 6. 7.> 1. 해당 사업연도에 실시한 광고나 판촉행사(해당 사,0.0,X,무관
가맹사업법,매출 보장 허위 광고 가맹사업법,제9조,,MISS,[미반환] 기대 조문: 제9조,0.0,,정답 유지
가맹사업법,예상매출액 산정서 서면 제공 의무,제9조,제3조,,[제3조] 나 용역을 구입ㆍ임차 또는 교환할 수 있는 가격을 말하며 가맹본부가 해당 물품이나 용역을 다른 사업자로부터 구입하여 공급하는 경우에는 그 구입가격을 말한다.,0.4,X,무관
