직업사전_세세분류_코드,,,,,,,,,,
,,,,,,,,,,
대분류코드,중분류코드,소분류코드,직업코드,일련번호,대분류명,중분류명,소분류명,직업명,관련직업,유사직업명칭
 , , ,1311,10, , , ,바이오화학제품연구기획자, , 
 , , ,1312,10, , , ,대학총무처장,대학사무처장, 
 , , ,1311,11, , , ,석유화학연구기획자, , 
 , , ,1312,11, , , ,대학학생처장,대학교학처장, 
 , , ,1311,12, , , ,의약품연구기획자, , 
 , , ,1311,13, , , ,정밀화학연구기획자, , 
 , ,132, , , , ,보험 및 금융 관리자, , , 
 , , ,1320,1, , , ,국제투자사무관리자, ,국제투자기획원
 , , ,1320,2, , , ,금융기관지역사업부장, , 
 , , ,1320,3, , , ,금융기관지점관리자,금융기관지점장, 
 , , ,1320,4, , , ,금융위험관리관리자,금융리스크관리관리자, 
 , , ,1320,5, , , ,보험관리자, , 
 , , ,1320,6, , , ,보험대리점소장,보험대리점사장, 
 , , ,1320,7, , , ,선물옵션거래관리자,파생상품거래관리자, 
 , , ,1320,8, , , ,신용조사관리자, , 
 , , ,1320,9, , , ,신용평가관리자, , 
 , , ,1320,10, , , ,신탁사무관리자, , 
 , , ,1320,11, , , ,여신사무관리자, , 
 , , ,1320,12, , , ,증권거래소관리자, , 
 , , ,1320,13, , , ,증권회사심사관리자, , 
 , , ,1320,14, , , ,채권추심관리자, , 
 , , ,1320,15, , , ,카드사무관리자, , 
 , , ,1320,16, , , ,파생상품거래관리자,선물옵션거래관리자, 
 , ,133, , , , ,보건 및 사회복지 관련 관리자, , , 
 , , ,1331,1, , , ,간호부장, , 
 , , ,1332,1, , , ,보육시설원장, , 
 , , ,1331,2, , , ,병원관리자, ,"병원장, 병원사무장"
 , , ,1332,2, , , ,사회복지시설관리자, ,"양로원장, 영아원장, 육아원장, 재활원장, 아동사회복지시설관리자, 여성사회복지시설관리자, 장애인사회복지시설관리자, 일반사회복지시설관리자, 저소득사회복지시설관리자, 노숙인사회복지시설관리자, 청소년사회복지시설관리자, 노인복지시설관리자 (노인주거복지시설관리자, 노인의료복지시설관리자, 노인여가복지시설관리자, 재가노인복지시설관리자, 노인보호전문기관관리자), 노인재가복지센터장 등"
 , , ,1331,3, , , ,보건소장, , 
 , , ,1332,3, , , ,사회사업단체임원, , 
 , , ,1331,4, , , ,헌혈권장관리자,헌혈홍보관리자, 
 , ,134, , , , ,문화·예술 관련 관리자, , , 
 , , ,1340,1, , , ,과학관관리자,과학관장, 
 , , ,1340,2, , , ,극장관리자,극장지배인, 
 , , ,1340,3, , , ,도서관관리자,도서관장, 
 , , ,1340,4, , , ,동물원관리자,동물원장, 
 , , ,1340,5, , , ,디자인부서관리자, , 
 , , ,1340,6, , , ,미술관관리자,미술관장,"화랑디렉터(갤러리운영자, 갤러리스트), 미술품경매관리자, 아트페어관리자"
 , , ,1340,7, , , ,박물관관리자,박물관장, 
 , , ,1340,8, , , ,방송심의위원, ,"심의하는 방송매체의 종류에 따라 라디오방송심의위원, 텔레비전방송심의위원, 심의하는 대상의 종류에 따라 시청자불만심의위원, 영화심의위원, 광고심의위원"
 , , ,1340,9, , , ,수족관관리자,수족관장, 
 , , ,1340,10, , , ,식물원관리자,식물원장, 
 , , ,1340,11, , , ,신문제작국장, , 
 , , ,1340,12, , , ,연극제작자, , 
 , , ,1340,13, , , ,영화배급관리자, ,"국내배급관리자, 해외배급관리자"
 , , ,1340,14, , , ,영화제작자,영화프로듀서,방송제작자
 , , ,1340,15, , , ,자동차디자인관리자, , 
 , , ,1340,16, , , ,취재관리자,취재국장, 
 , ,135, , , , ,정보 통신 관련 관리자, , , 
 , , ,1350,1, , , ,인터넷데이터센터관리자, , 
 , , ,1350,2, , , ,전보송수신관리자, , 
 , , ,1350,3, , , ,전산부서관리자, , 
 , , ,1350,4, , , ,전화국장, , 
 , , ,1350,5, , , ,철도통신설비관리자, , 
 , , ,1350,6, , , ,컴퓨터소프트웨어개발관리자, , 
 , , ,1350,7, , , ,컴퓨터운영관리자,"시스템관리자, 네트워크관리자, 컴퓨터시스템관리자, 홈페이지관리자, 웹서버관리자", 
 , , ,1350,8, , , ,컴퓨터하드웨어개발관리자, , 
 , , ,1350,9, , , ,통신관리자,정보통신관리자, 
 , ,139, , , , ,기타 전문 서비스 관리자, , , 
 , , ,1390,2, , , ,부동산관리자, ,"정비사업관리자, 부동산개발업관리자, 부동산분양관리자, 주택분양관리자, 부동산임대관리자, 부동산시설물관리자"
 , , ,1390,3, , , ,조사관리자, , 
 , , ,1390,4, , , ,연예인총괄관리자, , 
 , , ,1390,5, , , ,의상모델총괄관리자, , 
 , , ,1390,6, , , ,인력파견관리자,"인력공급부서관리자, 인재파견부서관리자", 
 ,14, , , , ,건설·전기 및 생산 관련 관리직, , , , 
 , ,141, , , , ,건설·전기 및 생산 관련 관리자, , , 
 , , ,1411,1, , , ,가스설비공사관리자, , 
 , , ,1412,1, , , ,발전운영계획관리자, ,"복합화력발전운영계획원, 수력발전운영계획원, 원자력발전운영계획원, 화력발전운영계획원, 태양열발전운영계획원, 태양광발전운영계획원, 풍력발전운영계획원, 조력발전운영계획원"
 , , ,1413,1, , , ,가죽제품제조관리자, , 
 , , ,1411,2, , , ,공사현장관리자,공사현장소장,건설현장 규모에 따라 예산집행 및 계약 등 행정업무를 전적으로 담당하는 경우 현장공무기술자
 , , ,1412,2, , , ,배전운영계획관리자, ,"배전계획원, 배전운영원, 지중배전운영계획원, 배전기술계획원"
 , , ,1413,2, , , ,고무제품제조관리자, , 
 , , ,1411,3, , , ,광산관리자,채광관리자,석탄광산에서 채탄작업을 감독하는 경우 채탄감독
 , , ,1412,3, , , ,변전운영계획관리자, , 
 , , ,1413,3, , , ,금속가구제조관리자, , 
 , , ,1411,4, , , ,광업안전보안관리자, , 
 , , ,1412,4, , , ,용수관리종합상황실관리자, , 
 , , ,1413,4, , , ,담배제조관리자, , 
 , , ,1411,5, , , ,광업종합관리자, , 
 , , ,1412,5, , , ,중앙급전관리자, , 
 , , ,1413,5, , , ,동물백신생산관리자, , 
 , , ,1411,6, , , ,선광관리자, ,석탄을 선탄하는 작업원들을 감독하는 경우 석탄감독
 , , ,1413,6, , , ,맥주양조책임자,"브루마스터, 맥주마이스터, 맥주양조기술자, 맥주양조사", 
 , , ,1411,7, , , ,연탄제조관리자, , 
 , , ,1413,7, , , ,목재가구제조관리자, , 
 , , ,1411,8, , , ,철도토목관리자, , 
 , , ,1413,8, , , ,방사방적관리자, , 
 , , ,1411,9, , , ,토사석채취관리자, ,"골재채취감독, 모래채취감독, 석재채취감독"
 , , ,1413,9, , , ,생산관리자(일반),공장장, 
 , , ,1413,10, , , ,석유정제업관리자, , 
 , , ,1413,11, , , ,섬유제품제조관리자, , 
 , , ,1413,12, , , ,음반제조관리자, ,"카세트테이프제작관리자, CD음반제작관리자, DVD음반제작관리자"
 , , ,1413,13, , , ,의류제조관리자, , 
 , , ,1413,14, , , ,의약품제조관리자, , 
 , , ,1413,15, , , ,직조관리자,편직감독, 
 , , ,1413,16, , , ,콘크리트제조관리자, , 
 , , ,1413,17, , , ,편조물제조관리자,편조물제조반장, 
 , , ,1413,18, , , ,합성수지제품제조관리자,플라스틱제품제조관리자, 
 , , ,1413,19, , , ,정밀화학생산기획자, , 
 , ,149, , , , ,기타 건설·전기 및 생산 관련 관리자, , , 
 , , ,1490,1, , , ,가금부화관리자, ,"메추리인공부화관리자, 병아리인공부화관리자, 오리인공부화관리자"
 , , ,1490,2, , , ,과수작물재배관리자, ,"과수를 분류하는 기준에 따라 과실작물재배관리자, 수실작물재배관리자, 재배하는 작물의 전문적인 품종에 따라 감귤재배관리자, 감재배관리자, 대추재배관리자, 밤재배관리자, 배재배관리자, 복숭아재배관리자, 사과재배관리자, 포도재배관리자"
 , , ,1490,3, , , ,목재수확관리자,벌목관리자, 
 , , ,1490,4, , , ,산림관리자, , 
 , , ,1490,5, , , ,수산종묘생산업자,"수산종묘배양업자, 사상체배양업자, 포자배양업자","어류종묘생산업자, 패류종묘생산업자, 해조류종묘생산업자"
 , , ,1490,6, , , ,시설작물재배관리자, ,"시설물의 종류에 따라 온실재배관리자, 수경재배를 하는 경우 수경재배관리자"
 , , ,1490,7, , , ,양식업관리자,양식원,"양식하는 어류의 종류에 따라 가물치양식업자, 게양식업자, 광어양식업자, 메기양식업자, 미꾸라지양식업자, 새우양식업자, 송어양식업자, 잉어양식업자, 장어양식업자, 향어양식업자, 패류의 종류에 따라 굴양식업자, 조개양식업자, 진주조개양식업자, 해조류의 종류에 따라 김양식업자, 다시마양식업자, 미역양식업자"
 , , ,1490,8, , , ,종묘원관리자,양묘장관리자, 
 , , ,1490,9, , , ,채소작물재배관리자, ,"과채작물재배관리자, 엽경채작물재배관리자, 근채작물재배관리자, 조미채소작물재배관리자"
 , , ,1490,10, , , ,축산농장관리자, ,"양돈장관리자, 말목장관리자, 사슴농장관리자, 양목장관리자, 육우목장관리자, 젖소목장관리자, 토끼농장관리자, 양계농장관리자, 가금농장관리자, 염소목장관리자"
 , , ,1490,11, , , ,특용작물재배관리자, ,"섬유작물재배관리자, 약용작물재배관리자, 염료작물재배관리자, 유지작물재배관리자, 전매작물재배관리자, 향료작물재배관리자"
 , , ,1490,12, , , ,화훼작물재배관리자, ,"화훼작물을 분류하는 방법에 따라 구근작물재배관리자, 관엽식물재배관리자, 수경작물재배관리자, 초화작물재배관리자, 화목작물관리자, 재배 품종에 따라 난재배관리자, 다육식물재배관리자, 분재재배관리자, 선인장재배관리자, 자생식물재배관리자"
 , , ,1490,13, , , ,유기재배관리자,농부, 
 ,15, , , , ,판매 및 고객 서비스 관리직, , , , 
 , ,151, , , , ,판매 및 운송 관리자, , , 
 , , ,1511,1, , , ,광고판매관리자, , 
 , , ,1512,1, , , ,귀중품호송관리자, , 
 , , ,1511,2, , , ,백화점운영부서관리자, , 
 , , ,1512,2, , , ,도시철도신호제어설비관리자, ,"도시철도통신설비관리자, 도시철도전기설비관리자"
 , , ,1511,3, , , ,임대차량영업소장, , 
 , , ,1512,3, , , ,배송센터관리자, , 
 , , ,1512,4, , , ,역무자동화설비관리자, , 
 , , ,1512,5, , , ,철도시설관리자, , 
 , , ,1512,6, , , ,철도신호제어설비관리자, , 
 , , ,1512,7, , , ,철도역장, , 
 , , ,1512,8, , , ,컨테이너부두운영관리자, , 
 , , ,1512,9, , , ,컨테이너화물집하장운영관리자,CFS운영관리자, 
 , ,152, , , , ,고객 서비스 관리자, , , 
 , , ,1521,1, , , ,경기장관리자, ,"경마장관리자, 실내경기장관리자, 야구장관리자, 육상경기장관리자, 축구장관리자, 경륜장관리자"
 , , ,1522,1, , , ,외식업체매니저,페밀리레스토랑매니저,외식업체점장
 , , ,1521,2, , , ,경마중계소관리자,장외발매소관리자, 
 , , ,1522,2, , , ,유람선식당지배인, , 
 , , ,1521,3, , , ,골프장코스관리자,"그린키퍼, 골프장잔디관리자", 
 , , ,1522,3, , , ,호텔식음업장지배인, ,레스토랑지배인
 , , ,1521,4, , , ,도시민박운영자, ,한옥체험운영자
 , , ,1521,5, , , ,스파매니저,스파테라피스트, 
 , , ,1521,6, , , ,운동시설관리자, ,"골프연습장관리원, 골프장관리원, 사격장관리자, 수영장관리자, 스케이트장관리원, 스키장관리자, 야구연습장관리자, 정구장관리자, 탁구장관리자, 경륜장관리자"
 , , ,1521,7, , , ,유기장관리자, ,"기원관리자, 당구장관리자, 댄스교습소관리자, 댄스홀관리자, 미니골프장관리자, 볼링장관리자, 전자오락실관리자, 낚시터관리자, 롤러스케이트장관리원"
 , , ,1521,8, , , ,유람선운영관리자, , 
 , , ,1521,9, , , ,유원지관리자, , 
 , , ,1521,10, , , ,카지노관리자,카지노총지배인,담당 근무조의 전반적인 영업관리를 총괄하고 직원의 인사관리 담당업무를 하는 경우 쉬프트매니저
 , , ,1521,11, , , ,케이블카운영관리자, , 
 , , ,1521,12, , , ,호텔객실관리지배인,하우스키핑(Housekeeping)지배인, 
 , , ,1521,13, , , ,호텔레비뉴매니저, , 
 , , ,1521,14, , , ,호텔총지배인, GM(제너럴매니저), 
 , , ,1521,15, , , ,호텔현관지배인,프런트데스크지배인, 
 , ,153, , , , ,환경·청소 및 경비 관련 관리자, , , 
 , , ,1530,1, , , ,공공폐수처리시설관리자, , 
 , , ,1530,2, , , ,세탁소관리자, , 
 , , ,1530,3, , , ,공동주택관리사무소장,공동주택관리소장,"아파트관리사무소장, 연립주택관리사무소장, 빌딩관리사무소장, 상가건물관리사무소장, 오피스텔관리사무소장(다만 아파트 연립주택만 공동주택에 포함됨)"
 , ,159, , , , ,기타 판매 및 고객 서비스 관리자, , , 
 , , ,1590,1, , , ,협회사무장,"협회사무국장, 협회사무총장",회원단체사무국장
2, , , , ,전문가 및 관련 종사자, , , , , 
 ,21, , , , ,과학 전문가 및 관련직, , , , 
 , ,211, , , , ,생명 및 자연과학 관련 전문가, , , 
 , , ,2111,1, , , ,곤충연구원, ,"곤충을 연구하는 전문분야에 따라 곤충자원연구원, 곤충이용연구원, 잠업기술개발 및 잠종 생산·보급 양봉과 관련된 벌에 대한 품종개량 등에 대한 연구를 하는 경우 잠사양봉연구원"
 , , ,2112,1, , , ,고분자재료연구원 , ,"고분자계 복합소재, 복합공정, 복합구조 등에 관한 연구를 할 경우 고분자복합재료연구원, 고분자구조재료연구원, 중합반응공정기술연구원, 개질기술연구원, 전자정보용소재기술연구원, 의료용소재기술연구원, 에너지환경산업용소재기술연구원, 특수기능성소재기술연구원, 고분자재활용기술연구원, 고분자가공기술연구원, 나노소재기술연구원"
 , , ,2111,2, , , ,과수연구원, ,"연구분야에 따라 과수육종연구원, 과수재배연구원"
 , , ,2112,2, , , ,고분자화학연구원, ,"고분자합성연구원, 고분자구조물성연구원, 고분자물리화학연구원, 전기전자광특성고분자연구원, 기능성고분자연구원, 친환경성고분자연구원, 에너지고분자연구원"
 , , ,2111,3, , , ,관상어종자전문가,관상어브리더, 
 , , ,2112,3, , , ,고체화학연구원, , 
 , , ,2111,4, , , ,국민보건연구원, ,"연구분야에 따라 만성병역학연구원, 감염병역학연구원, 분자유전체역학연구원, 보건통계연구원, 보건정보관리연구원, 노인가족보건연구원, 보건영양연구원, 산업보건연구원, 환경질환평가관리연구원, 보건정책연구원, 보건경제경영연구원, 보건교육연구원"
 , , ,2112,4, , , ,광산지질조사원,광상조사원,"조사하는 광상의 종류에 따라 금속광상조사원, 비금속광상조사원, 석탄광상조사원, 석회석광상조사원"
 , , ,2111,5, , , ,국민체력과학연구원, , 
 , , ,2112,5, , , ,광화학연구원, ,"유기광화학연구원, 무기광화학연구원, 생물광화학연구원, 고분자광화학연구원, 물리광화학연구원, 광소재화학연구원, 태양에너지화학연구원, 전기광화학연구원"
 , , ,2111,6, , , ,나노바이오연구원, , 
 , , ,2112,6, , , ,극지과학연구원, ,"빙하학연구원, 동토학연구원, 극지환경감시연구원, 극지생물자원탐사연구원, 극지광물자원탐사연구원, 극지생태계연구원, 극지해양연구원, 극지우주과학연구원, 극지저온생물학연구원"
 , , ,2111,7, , , ,농업기술정보화연구원, ,"농업기술정보를 개발하고 보급하기 위한 전문분야에 따라 농업정보개발연구원, 농업통계분석연구원"
 , , ,2112,7, , , ,기상연구원,기상학연구원,"연구분야에 따라 기상계측연구원, 예보연구원, 원격탐사연구원, 응용기상연구원, 기상관측분석기술연구원, 기상원격탐사기술연구원, 기상예보기술연구원, 기상조절연구원, 수치예보연구원, 농업기상연구원, 해양기상연구원, 보건기상연구원, 산업기상연구원, 항공기상연구원, 생명기상연구원"
 , , ,2111,8, , , ,농업생화학연구원, ,"농업생화학에 대한 전문연구분야에 따라 기능성물질생합성연구원, 대사조절연구원, 생물화학농약연구원, 천연물화학연구원, 농업유해물질안전성관리연구원, 농산물위생품질관리연구원, 축산물위생품질관리연구원, 잔류농약중금속독성연구원, 미생물독소연구원"
 , , ,2112,8, , , ,기상컨설턴트,날씨경영컨설턴트, 
 , , ,2111,9, , , ,농업해충연구원, ,"농업에 영향을 미치는 해충에 관하여 연구하는 전문분야에 따라 곤충분류연구원, 곤충생리생태연구원, 해충천적연구원, 해충방제연구원, 선충연구원"
 , , ,2112,9, , , ,기후변화연구원, , 
 , , ,2111,10, , , ,농업환경생태연구원, ,"농업환경생태를 연구하는 전문분야에 따라 농업환경오염연구원, 농업폐자원관리연구원, 농업환경영양평가연구원, 농업생태계연구원, 농업기상연구원, 식물검역연구원, 형질전환식물안정성관리연구원, 농업생태계관리연구원, 농업환경정화연구원, 농업기후변화대응연구원, 바이오메스연구원, 농업자원활용연구원"
 , , ,2112,10, , , ,나노화학연구원, ,"나노소재화학연구원, 나노물성화학연구원, 나노의약화학연구원, 무기나노화학연구원, 나노고분자화학연구원, 나노바이오화학연구원, 나노광화학연구원, 나노구조화학연구원"
 , , ,2111,11, , , ,단백질의약품세포주개발원, , 
 , , ,2112,11, , , ,노심계통해석연구원, , 
 , , ,2111,12, , , ,단백질의약품연구원,"단백질신약연구원, 바이오시밀러연구원, 바이오베터연구원", 
 , , ,2112,12, , , ,농어업온실가스연구원, , 
 , , ,2111,13, , , ,담배재배연구원, ,"연구하는 전문분야에 따라 담배병충해연구원, 담배비료토양연구원, 담배육종연구원, 잎담배건조연구원"
 , , ,2112,13, , , ,단백질화학연구원, , 
 , , ,2111,14, , , ,도시농업연구원, , 
 , , ,2112,14, , , ,무기화학연구원, ,"이론무기화학연구원, 무기초분자화학연구원, 유기금속화학연구원, 생무기화학연구원, 고체무기화학연구원, 무기소재화학연구원, 촉매화학연구원, 무기의약화학연구원"
 , , ,2111,15, , , ,동물백신개발연구원, , 
 , , ,2111,16, , , ,동물병리학연구원,수의병리학연구원, 
 , , ,2112,16, , , ,물리표준연구원, , 
 , , ,2111,17, , , ,동물자원과학연구원, ,"동물유전자원연구원, 동물유전육종연구원, 동물생명공학연구원, 동물번식생리연구원, 동물영양생리연구원, 동물사료연구원, 동물소재공학연구원, 동물시설환경연구원"
 , , ,2112,17, , , ,물리학연구원,물리학자,"광물리학연구원, 보건물리학연구원, 역학물리학연구원, 열물리학연구원, 음향물리학연구원, 전자물리학연구원, 핵물리학 연구원"
 , , ,2111,18, , , ,미생물발효연구원, , 
 , , ,2112,18, , , ,방사선연구원, , 
 , , ,2111,19, , , ,미생물의약연구원, , 
 , , ,2112,19, , , ,의료보건통계전문가, ,"임상시험통계연구원, 의약통계연구원, 임상통계전문가"
 , , ,2111,20, , , ,미생물학연구원,세균학자,"세균학의 특수분야에 따라 공업세균연구원, 낙농세균연구원, 바이러스연구원, 산업세균연구원, 식품세균연구원, 약학세균연구원, 어류세균연구원, 의학세균연구원, 토양세균연구원, 수질세균연구원"
 , , ,2112,20, , , ,산업수학모더레이터,"수학모더레이터, 산업수학코디네이터, 산업수학컨설턴트", 
